obj_1,obj_2,obj_3,odd,reason_for_similarity
Deadpool,Green Arrow,Daredevil,Daredevil,Deadpool and Green Arrow are archers
Augustus,Commodus,Caracalla,Augustus,Commodus and Caracalla are known for their brutality
Chopin,Tchaikovsky,Wagner,Chopin,Tchaikovsky and Wagner are both known for their operas
Paul Klee,Wassily Kandinsky,Claude Monet,Claude Monet,Paul Klee and Wassily Kandinsky were associated with the Bauhaus school
Penguin,Sparrow,Puffin,Sparrow,Puffin and Penguin are both seabirds
Quail,Albatross,Pheasant,Albatross,Pheasant and Quail are both game birds
Jimmy Carter,Desmond Tutu,John Nash,John Nash,Desmond Tutu and Jimmy Carter won the Nobel Peace Prize
Haiku,Tanka,Sonnet,Sonnet,Haiku and Tanka are forms of Japanese poetry
Isis,Dionysus,Demeter,Isis,Both are gods associated with agriculture in Greek mythology
Winston Churchill,Otto von Bismarck,Confucius,Confucius,Bismarck and Churchill were both statesmen
Ottoman Empire,Mongol Empire,British Empire,British Empire,Mongol and Ottoman Empires are Asian empires
Beef Stroganoff,Blini,Coq au Vin,Coq au Vin,Both are traditional Russian dishes
Maastricht Treaty,Geneva Convention,Versailles Treaty,Geneva Convention,Versailles and Maastricht treaties formed unions
Tomato,Eggplant,Oak,Oak,Tomato and Eggplant are both from the Solanaceae family
Scoria,Gneiss,Pumice,Gneiss,Pumice and Scoria are vesicular rocks.
Tiberius,Maximian,Diocletian,Tiberius,Diocletian and Maximian jointly ruled Rome
The Social Network (2010),The Hurt Locker (2009),Slumdog Millionaire (2008),The Social Network (2010),Slumdog Millionaire and The Hurt Locker both won Best Picture and Best Director Oscars.
Aluminum,Silicon,Boron,Silicon,Boron and Aluminum are both elements in Group 13 (Boron Group)
Sonoran,Atacama,Mojave,Atacama,Both Mojave and Sonoran have cacti
Ravel,Debussy,Haydn,Haydn,Debussy and Ravel were both from the Impressionist period
Black Panther,Winter Soldier,Falcon (Marvel),Black Panther,Winter Soldier and Falcon are both friends of Captain America
Watercolor,Oil Painting,Fresco,Watercolor,Fresco and Oil Painting are both painting techniques used during the Renaissance
The Great Sphinx,The Pieta,Christ the Redeemer,The Pieta,The Great Sphinx and Christ the Redeemer are both religious monuments
Ella Baker,Aretha Franklin,Fannie Lou Hamer,Aretha Franklin,Fannie Lou Hamer and Ella Baker were both influential women in the civil rights movement
Aloe,Maple,Cactus,Maple,Cactus and Aloe are both succulents
Cuckoo,Dove,Penguin,Penguin,Cuckoo and Dove are both pigeons
Simmering,Broiling,Grilling,Simmering,Grilling and Broiling both involve direct heat.
Pine,Eucalyptus,Acacia,Pine,Eucalyptus and Acacia are both native to Australia
Friction,Gravity,Magnetism,Gravity,Friction and Magnetism are contact forces
Moat,Throne,Drawbridge,Throne,Drawbridge and Moat are castle defenses
Liszt,Handel,Vivaldi,Liszt,Handel and Vivaldi were both from the Baroque period
Cobalt,Ruthenium,Iron,Cobalt,Iron and Ruthenium are both elements in Group 8 (Iron Group)
Flan,Donuts,Creme Brulee,Donuts,Creme Brulee and Flan both have a caramelized sugar top.
Wolverine,Deadpool,Daredevil,Deadpool,Daredevil and Wolverine have heightened senses
Franklin D. Roosevelt,John F. Kennedy,Abraham Lincoln,Franklin D. Roosevelt,Lincoln and Kennedy were both assassinated U.S. Presidents
William H. Taft,Woodrow Wilson,George Washington,George Washington,William H. Taft and Woodrow Wilson were both presidents during the Progressive Era.
Maat,Saqqara,Giza,Maat,Saqqara and Giza are both ancient Egyptian necropolises.
Ankh,Book of the Dead,Scarab,Book of the Dead,Scarab and Ankh are both ancient Egyptian symbols.
Sicily,Hawaii,Sardinia,Hawaii,Sicily and Sardinia are both Italian Islands.
Green Arrow,Thor,Black Lightning,Green Arrow,Black Lightning and Thor can control electricity
Carpals,Metatarsals,Metacarpals,Carpals,Metacarpals and Metatarsals are both long bones.
Red pill,Blue pill,Green pill,Green pill,Red pill and Blue pill are choices offered to Neo in the Matrix
Eli Whitney,John Logie Baird,Philo Farnsworth,Eli Whitney,Baird and Farnsworth both contributed to the invention of television
Robert E. Lee,Napoleon Bonaparte,Ulysses S. Grant,Napoleon Bonaparte,The first two were generals in the American Civil War
London,Stockholm,Oslo,London,Both are in Scandinavia
Foie Gras,Kangaroo Meat,Cuy (Guinea Pig),Foie Gras,Cuy and Kangaroo Meat are both types of game meat
Nova,Pulsar,Supernova,Pulsar,Supernova and Nova are stellar explosions
Slate,Granite,Phyllite,Granite,Slate and Phyllite are foliated rocks.
The Scream,The Broken Column,The Dream,The Dream,The Broken Column and The Scream both depict emotional pain
Bach,Beethoven,Schubert,Bach,Schubert and Beethoven were both from the Romantic period
Brahms,Handel,Dvorak,Handel,Dvorak and Brahms were both from the Romantic period
White Dwarf,Red Giant,Black Hole,Red Giant,Black Hole and White Dwarf are end stages of stars
The Statue of David,The Venus of Milo,Madonnina,Madonnina,The Statue of David and The Venus of Milo are both nude sculptures
Jane Goodall,Rosalind Franklin,Dian Fossey,Rosalind Franklin,Fossey and Goodall were primatologists
Hurricane,Typhoon,Thunderstorm,Thunderstorm,Both are tropical cyclones
Siege of Troy,Siege of Petersburg,Siege of Vicksburg,Siege of Troy,The first two were sieges in the American Civil War
The Townshend Acts,The Intolerable Acts,The Napoleonic Code,The Napoleonic Code,Both are acts that led to the American Revolution
Moth,Bee,Butterfly,Bee,Butterflies and Moths are both Lepidoptera
Andre-Marie Ampere,Alessandro Volta,Johannes Gutenberg,Johannes Gutenberg,Volta and Ampere both made significant contributions to electromagnetism
Dustin Hoffman,Robert Redford,Tom Cruise,Robert Redford,"Tom Cruise and Dustin Hoffman starred in ""Rain Man"""
Tuff,Scoria,Lignite,Lignite,Tuff and Scoria are pyroclastic rocks.
Warren Harding,William Howard Taft,Herbert Hoover,Warren Harding,William Howard Taft and Herbert Hoover were both presidents who had previously served as Secretary of War.
Venus Flytrap,Sundew,Oak,Oak,Venus Flytrap and Sundew are both carnivorous plants
Werner Heisenberg,Niels Bohr,Albert Einstein,Albert Einstein,Bohr and Heisenberg were quantum physicists
Mint,Oak,Basil,Oak,Mint and Basil are both herbs
Breccia,Conglomerate,Andesite,Andesite,Conglomerate and Breccia are clastic rocks.
Turkey,Peacock,Hummingbird,Hummingbird,Peacock and Turkey both have large tails
Magnolia,Tulip Tree,Cedar,Cedar,Tulip Tree and Magnolia both have large flowers
George Eastman,Edwin Land,James Watt,James Watt,Eastman and Land both contributed to the development of photography
Fern,Pine,Moss,Pine,Fern and Moss are both non-flowering plants
Samuel Morse,Guglielmo Marconi,George Eastman,George Eastman,Morse and Marconi both invented communication devices
Escargot,Caviar,Foie Gras,Caviar,Escargot and Foie Gras are both French delicacies
Roasting,Steaming,Grilling,Steaming,Roasting and Grilling both involve cooking with dry heat.
Gluteus Maximus,Biceps Brachii,Triceps Brachii,Gluteus Maximus,Biceps Brachii and Triceps Brachii are both muscles in the arm.
Pierre Clostermann,Red Baron,Eddie Rickenbacker,Pierre Clostermann,Red Baron and Eddie Rickenbacker were famous pilots in World War I
Allspice,Mint,Clove,Mint,Clove and Allspice both have a sweet flavor.
Hot Chocolate,Iced Tea,Lemonade,Hot Chocolate,Lemonade and Iced Tea are both served cold
Loki,Thanos,Doctor Doom,Doctor Doom,Thanos and Loki both have used the Tesseract
Will Smith,Morgan Freeman,Tommy Lee Jones,Morgan Freeman,"Will Smith and Tommy Lee Jones starred in ""Men in Black"""
Sound wave,Light wave,Water wave,Sound wave,Light wave and Water wave are transverse
Diorite,Quartzite,Sandstone,Diorite,Quartzite and Sandstone are arenite rocks.
Esophagus,Trachea,Larynx,Larynx,Esophagus and Trachea are both tubes that connect the throat to other organs.
Yttrium,Scandium,Zinc,Zinc,Scandium and Yttrium are both elements in Group 3 (Scandium Group)
Marcus Aurelius,Vespasian,Domitian,Marcus Aurelius,Domitian and Vespasian are from the Flavian dynasty
Chiton,Stola,Toga,Chiton,"Toga and Stola were Roman garments, Chiton was a Greek garment"
Oakland Raiders,Tampa Bay Buccaneers,New York Jets,New York Jets,Both have a pirate theme.
Coquina,Travertine,Granite,Granite,Travertine and Coquina are bioclastic rocks.
Ronald Reagan,Calvin Coolidge,Warren G. Harding,Ronald Reagan,Warren G. Harding and Calvin Coolidge were both presidents during the Roaring Twenties.
Elliptical Galaxy,Spiral Galaxy,Star Cluster,Star Cluster,Spiral and Elliptical are types of galaxies
Hawk,Mallard,Teal,Hawk,Mallard and Teal are both ducks
Earth,Mars (Planet),Venus (Planet),Venus (Planet),Mars and Earth have moons
Parabola,Hyperbola,Line,Line,Parabola and Hyperbola are both types of conic sections
Constantine,Galba,Otho,Constantine,Galba and Otho ruled during the Year of the Four Emperors
Douglas Fir,Norway Spruce,Beech,Beech,Douglas Fir and Norway Spruce are both conifers
Samurai,Shi ,Shogun,Shi ,Samurai and Shogun are both Japanese warrior classes
Aristotle,Seneca,Plato,Seneca,Aristotle and Plato were both students and teachers in ancient Greece
Marie Curie,Rosalind Franklin,Robert Oppenheimer,Robert Oppenheimer,Curie and Franklin were chemists
Schist,Gypsum,Halite,Schist,Gypsum and Halite are evaporite rocks.
Small Intestine,Stomach,Liver,Liver,Stomach and Small Intestine are both part of the digestive tract.
Bamboo,Sugarcane,Coconut,Coconut,Bamboo and Sugarcane are both grasses
Birch,Sequoia,Redwood,Birch,Sequoia and Redwood are both the tallest trees
Bilbo Baggins,Smeagol,Gollum,Bilbo Baggins,Gollum and Smeagol are the same person
Atacama,Gobi Desert,Sahara,Sahara,Both Atacama and Gobi have the presence of salt flats
Cat,Bat,Dolphin,Cat,Dolphin and Bat are both mammals that can echolocate
Whelk,Sea Urchin,Conch,Sea Urchin,Whelk and Conch have spiral shells.
Steel,Copper,Gold,Gold,Steel and Copper are used in wiring
Ritalin,Adderall,Fish Oil,Fish Oil,Adderall and Ritalin are ADHD medications
Vitamin D,Vitamin A,Vitamin B2,Vitamin B2,Vitamins D and A are involved in vision
Hydrangea,Marigold,Iris,Iris,Hydrangea and Marigold have multiple petals
Ginger,B12,Turmeric,B12,Turmeric and Ginger are anti-inflammatory
Painted Daisy,Shasta Daisy,Gerbera Daisy,Shasta Daisy,Painted and Gerbera are both used in bouquets
Bamboo,Chestnut,Walnut,Bamboo,Chestnut and Walnut are nut-bearing trees
Cardiovascular System,Digestive System,Endocrine System,Cardiovascular System,Endocrine and Digestive Systems are involved in nutrient absorption and metabolism
Scattergories,Connect Four,Trivial Pursuit,Connect Four,Trivial Pursuit and Scattergories are trivia games
Iguanodon,Parasaurolophus,Allosaurus,Allosaurus,Iguanodon and Parasaurolophus are both herbivores
Privet,Forsythia,Lilac,Privet,Lilac and Forsythia have yellow flowers
Camembert,Brie,Yogurt,Yogurt,Brie and Camembert are types of soft cheeses
Unicorn,Pegasus,Centaur,Centaur,Pegasus and Unicorn are mythical horses
Hematite,Quartz,Bauxite,Quartz,Bauxite and Hematite are ores
Hume,Locke,Sartre,Sartre,"Locke and Hume were both British philosophers from the Enlightenment period, while Sartre was a 20th century French philosopher."
Sobek,Bastet,Anubis,Bastet,Anubis and Sobek are both associated with death.
Swan,Hawk,Duck,Hawk,Swan and Duck are water birds
Boston Terrier,French Bulldog,Golden Retriever,Golden Retriever,Boston Terrier and French Bulldog are both breeds with bat ears
Tempranillo,Zinfandel,Rioja,Zinfandel,Tempranillo and Rioja are both from Spain
Yogurt,Sour Cream,Cheese,Cheese,Sour Cream and Yogurt are fermented dairy products
Badshahi Mosque,Taj Mahal,Faisal Mosque,Taj Mahal,The other two are mosques in Pakistan
Freya,Dionysus,Artemis,Dionysus,Freya and Artemis are goddesses associated with hunting
Werewolf,Dragon,Vampire,Dragon,Werewolf and Vampire are mythical creatures that transform from humans.
Crepe,Corn Dog,Funnel Cake,Crepe,Corn Dog and Funnel Cake are both deep-fried
Wormwood,Quassia,Ginger,Ginger,Quassia and Wormwood are used for digestive issues.
Iron,Palladium,Platinum,Iron,Platinum and Palladium are precious metals
Celery,Carrot,Asparagus,Carrot,Asparagus and Celery are stalk vegetables
Zoroastrianism,Taoism,Christianity,Taoism,Christianity and Zoroastrianism are monotheistic religions
Kale,Collard Greens,Celery,Celery,Collard Greens and Kale are leafy greens
Gold,Iron,Silver,Iron,Gold and Silver are ductile metals
Cucumber,Pumpkin,Zucchini,Cucumber,Pumpkin and Zucchini are squashes
Taleggio,Asiago,Limburger,Asiago,Limburger and Taleggio are washed rind cheeses
Geranium,Begonia,Dahlia,Dahlia,Begonia and Geranium are both popular houseplants
Hennessy,Bacardi,Courvoisier,Bacardi,Courvoisier and Hennessy are cognacs
Cantaloupe,Papaya,Apple,Apple,Papaya and Cantaloupe are melons
Bok Choy,Swiss Chard,Arugula,Arugula,Bok Choy and Swiss Chard are both part of the cabbage family
Hercules (constellation),Sagittarius (constellation),Centaurus (constellation),Hercules (constellation),Centaurus and Sagittarius are both centaur constellations.
School Shark,Whale Shark,Silky Shark,Whale Shark,School and Silky Sharks are known to be migratory
Dogfish Shark,Blackmouth Catshark,Thresher Shark,Dogfish Shark,Blackmouth Catshark and Thresher Sharks have elongated upper caudal fins
Striped Owl,Hawk Owl,Mottled Owl,Hawk Owl,Mottled Owl and Striped Owl have striped patterns
Sun Bear,Brown Bear,Polar Bear,Sun Bear,Polar and Brown Bears are found in the Northern Hemisphere
Humpback Whale,Blue Whale,Sperm Whale,Sperm Whale,Humpback Whale and Blue Whale are both known for their songs
Sperm Whale,Blue Whale,Minke Whale,Sperm Whale,Minke Whale and Blue Whale are both baleen whales
Venus (Planet),Mercury,Saturn,Saturn,Venus and Mercury are the planets closest to the Sun
Sagittarius (Constellation),Taurus (Constellation),Gemini (Constellation),Sagittarius (Constellation),Taurus and Gemini are visible in the same season (Winter)
Pilot Whale,Blue Whale,Killer Whale,Blue Whale,Pilot Whale and Killer Whale are both part of the Dolphin family
Jupiter,Mercury,Saturn,Mercury,Jupiter and Saturn have ring systems
Cave Lion,Barbary Lion,Sea Lion,Sea Lion,Barbary and Cave Lions are extinct subspecies of lions
Saturn,Jupiter,Venus (Planet),Venus,Saturn and Jupiter are gas giants
Coral Snake,Cottonmouth,Copperhead,Coral Snake,Copperhead and Cottonmouth are pit vipers
Neptune,Mars (Planet),Mercury,Neptune,Mars and Mercury are rocky planets
Black Mamba,Bull Snake,Gopher Snake,Black Mamba,Gopher and Bull Snakes are non-venomous
The Ballot or the Bullet,The Chance for Peace,Give me Liberty or Give me Death,The Chance for Peace,First two are speeches advocating for revolution
King Cobra,Brown Snake,Tiger Snake,King Cobra,Tiger and Brown Snakes are Australian snakes
Monopod,Tripod,Flashgun,Flashgun,Tripod and Monopod are used for camera stability
Pisces (Constellation),Capricornus (Constellation),Aries (Constellation),Capricornus (Constellation),Pisces and Aries are visible in the same season (Spring)
Spectacled Bear,Grizzly Bear,Sloth Bear,Grizzly Bear,Spectacled and Sloth Bears are from the same family (Ursidae) and are not carnivorous
King Cobra,Eastern Diamondback,Western Diamondback,King Cobra,Eastern and Western Diamondbacks are rattlesnakes
Sea Snake,Adder,Viper,Sea Snake,Adder and Viper are terrestrial snakes
Golden Poison Frog,Tomato Frog,Dart Frog,Tomato Frog,Golden Poison Frog and Dart Frog are both types of Poison Dart Frogs
Thorny Devil,Monitor Lizard,Bearded Dragon,Monitor Lizard,Thorny Devil and Bearded Dragon are from Australia
Orca,Narwhal,Beluga Whale,Orca,Beluga Whale and Narwhal are both Arctic whales
Venus (Planet),Saturn,Jupiter,Venus,Jupiter and Saturn are the heaviest planets
Wide Angle Lens,Telephoto Lens,Macro Lens,Macro Lens,Wide Angle and Telephoto Lenses are used for distanced subjects
David Beckham,Cristiano Ronaldo,Lionel Messi,Usain Bolt,Both Ronaldo and Messi have won the Ballon d'Or
As You Like It,King Lear,Macbeth,As You Like It,King Lear and Macbeth are tragedies
Hercules (constellation),Scorpius,Bootes  (constellation),Scorpius,Hercules and Bootes are visible in the same season (Summer)
Mercury,Uranus,Neptune,Mercury,Uranus and Neptune have similar atmospheric makeup
Marsh Frog,Edible Frog,Pool Frog,Edible Frog,Marsh Frog and Pool Frog are both native to Europe
Sharpnose Sevengill Shark,Basking Shark,Sixgill Shark,Basking Shark,Sharpnose Sevengill and Sixgill Sharks have multiple gills
Right Whale,Killer Whale,Bowhead Whale,Killer Whale,Bowhead Whale and Right Whale are both have a large head
Earth,Mars (Planet),Saturn,Saturn,Mars and Earth have polar ice caps
Salmon Shark,Bronze Whaler Shark,Bullhead Shark,Bullhead Shark,Bronze Whaler and Salmon Sharks are known for their speed
Bald Eagle,Aplomado,Peregrine,Bald Eagle,The Peregrine and Aplomado are both species of falcons
Uranus,Venus (Planet),Mercury,Uranus,Venus and Mercury have no moons
Lyra (constellation),Orion (constellation),Sagitta (constellation),Orion,Sagitta and Lyra are visible in the same season (Summer)
Golden Eagle,White-bellied Sea Eagle,African Fish Eagle,Golden Eagle,African Fish and White-bellied Sea Eagles live near water bodies.
Thales,Pythagoras,Protagoras,Protagoras,Thales and Pythagoras were both pre-Socratic philosophers
Saturn,Mars (Planet),Uranus,Mars,Uranus and Saturn are visible without a telescope
Saturn,Earth,Venus (Planet),Saturn,Earth and Venus have magnetic fields
Kefir,Goji Berries,Sauerkraut,Goji Berries,Kefir and Sauerkraut are both fermented foods.
Minke Whale,Fin Whale,Orca,Orca,Minke Whale and Fin Whale are both part of the Rorqual family
Beluga Whale,Blue Whale,Fin Whale,Beluga Whale,Fin Whale and Blue Whale are both have a slender body shape
Heraclitus,Zeno of Citium,Epicurus,Heraclitus,Epicurus and Zeno of Citium were founders of philosophical schools
Great White Shark,Nurse Shark,Pygmy Shark,Great White Shark,Pygmy and Nurse Sharks are small in size
The Omen,Psycho,Rosemary's Baby,Psycho,Movies Involving Devil's Child
Cucumber,Spinach,Kale,Cucumber,Kale and Spinach are both leafy greens.
Steller's Sea Eagle,Harpy Eagle,White-tailed Eagle,Harpy Eagle,White-tailed and Steller's Sea Eagles are cold climate eagles.
Sandbar Shark,Megamouth Shark,Reef Shark,Megamouth Shark,Sandbar and Reef Sharks live in shallow waters
Aquila (constellation),Gemini (constellation),Taurus (constellation),Aquila (constellation),Gemini and Taurus are visible in the same season (Winter)
Libra (constellation),Orion (constellation),Cancer (constellation),Orion (constellation),Cancer and Libra are visible in the same season (Summer)
Socrates,Diogenes,Epicurus,Epicurus,Socrates and Diogenes were both Athenian
Spectacled Bear,Grizzly Bear,Kodiak Bear,Spectacled Bear,Grizzly and Kodiak Bears are subspecies of brown bears
The Kalevala,Beowulf,The Aeneid,The Kalevala,Both are epic poems based on heroes
Red-Legged Frog,Wood Frog,Green Frog,Red-Legged Frog,Green Frog and Wood Frog both hibernate during winter
Angel Shark,Mako Shark,Basking Shark,Angel Shark,Mako and Basking Sharks are filter feeders
Labrador Wolf,African Golden Wolf,Hudson Bay Wolf,African Golden Wolf,Hudson Bay and Labrador wolves are Canadian subspecies
Prairie,Red-Tailed,Osprey,Prairie,The other two are both species of hawks
Aquarius (constellation),Capricornus (Constellation),Leo (constellation),Leo (constellation),Aquarius and Capricornus are visible in the same season (Autumn)
Almonds,Cashews,Onion,Onion,Almonds and Cashews are both types of nuts.
Golden Eagle,Bald Eagle,Steller's Sea Eagle,Steller's Sea Eagle,Golden and Bald Eagles have dark brown body feathers.
Harpy Eagle,African Fish Eagle,Philippine Eagle,African Fish Eagle,Harpy and Philippine Eagles are apex predators.
Sei Whale,Minke Whale,Narwhal,Narwhal,Sei Whale and Minke Whale are both part of the Rorqual family
Gray Whale,Sperm Whale,Narwhal,Sperm Whale,Gray Whale and Narwhal are both have a mottled skin color
Ursa Minor (Constellation),Cassiopeia (Constellation),Scorpius ,Scorpius,Cassiopeia and Ursa Minor are circumpolar constellations
Aquila (constellation),Ursa Minor (Constellation),Cygnus,Ursa Major,Aquila and Cygnus are part of the Summer Triangle
Bald Eagle,African Fish Eagle,Golden Eagle,African Fish Eagle,Golden and Bald Eagles are not specialized fish eaters.
Milk Snake,Hognose Snake,King Snake,Hognose Snake,Milk and King Snakes have similar band patterns
Epicurus,Seneca,Marcus Aurelius,Epicurus,Seneca and Marcus Aurelius were both Roman Stoic philosophers
Democritus,Plato,Leucippus,Plato,Democritus and Leucippus were both atomists
Ursa Major (constellation) ,Pavo (constellation) ,Phoenix (constellation) ,Ursa Major (constellation) ,Pavo and Phoenix are both bird constellations
Spirulina,Chlorella,Maca,Maca,Spirulina and Chlorella are both types of algae.
Goblin Shark,Zebra Shark,Thresher Shark,Goblin Shark,Thresher and Zebra Sharks have long tails
Gorgias,Socrates,Protagoras,Socrates,Protagoras and Gorgias were both Sophists
Zeno of Elea,Heraclitus,Pyrrho,Heraclitus,Pyrrho and Zeno of Elea were both pre-Socratic philosophers
African Wood Owl,Marsh Owl,Snowy Owl,Snowy Owl,Marsh Owl and African Wood Owl are found in Africa
Polar Bear,Brown Bear,Spectacled Bear,Spectacled Bear,Polar and Brown Bears have a hibernation period
Loggerhead Sea Turtle,Mud Turtle,Musk Turtle,Loggerhead Sea Turtle,Mud Turtle and Musk Turtle both prefer slow-moving or still bodies of water
Sperm Whale,Killer Whale,Blue Whale,Blue Whale,Sperm Whale and Killer Whale are both toothed whales
Cacao,Coconut,Avocado,Cacao,Avocado and Coconut are both high in healthy fats.
Sperm Whale,Killer Whale,Gray Whale,Gray Whale,Killer Whale and Sperm Whale are both have conical teeth
Draco (constellation) ,Cetus (constellation) ,Delphinus (constellation) ,Draco (constellation) ,Delphinus and Cetus are both sea creature constellations
The Mahabharata,The Lusiads,The Iliad,The Lusiads,Both are epic poems based on wars
Vintage Watch,Old Compass,Antique Clock,Old Compass,Both Vintage Watch and Antique Clock are timekeeping devices
Prairie,Harpy,Gyrfalcon,Harpy,The Gyrfalcon and Prairie are both species of falcons
Leo (Constellation),Virgo (Constellation),Aquarius (Constellation),Aquarius (Constellation),Virgo and Leo are visible in the same season (Spring)
Polar Bear,Asiatic Black Bear,Malayan Sun Bear,Polar Bear,Asiatic Black and Malayan Sun Bears are found in Asia
Earth,Mars (Planet),Pluto,Pluto,Earth and Mars have seasons
The Taming of the Shrew,Antony and Cleopatra,Romeo and Juliet,The Taming of the Shrew,Antony and Cleopatra and Romeo and Juliet are tragedies about star-crossed lovers
Blue Shark,Blacktip Shark,Leopard Shark,Leopard Shark,Blacktip and Blue Sharks are pelagic species
Chuckwalla,Komodo Dragon,Desert Iguana,Komodo Dragon,Chuckwalla and Desert Iguanas are from Iguanidae family
Cooper's Hawk,White-tailed Hawk,Rough-legged Hawk,Cooper's Hawk,White-tailed and Rough-legged Hawks are Buteos
Plato,Aristotle,Seneca,Seneca,Aristotle and Plato were both Athenian
Serpens (constellation) ,Hydra (constellation) ,Ursa Minor (constellation) ,Ursa Minor (constellation) ,Hydra and Serpens are both snake constellations
Harpy Eagle,Golden Eagle,Philippine Eagle,Golden Eagle,Philippine and Harpy Eagles are rainforest dwellers.
Vintage Stamp,Antique Map,Old Postcard,Antique Map,The other two are postal-related
Lucretius,Epicurus,Pyrrho,Pyrrho,Epicurus and Lucretius were both Epicurean philosophers
Humpback Whale,Beluga Whale,Narwhal,Humpback Whale,Narwhal and Beluga Whale are both have no dorsal fin
Saturn,Uranus,Venus,Venus,Saturn and Uranus have multiple moons
Mars (Planet),Pluto,Venus,Pluto,Mars and Venus have atmospheres
Mamba,Anaconda,Taipan,Anaconda,Taipan and Mamba are highly venomous snakes
Speedlight,Reflectors,Softbox,Speedlight,Reflectors and Softbox are used for light diffusion
Sand Tiger Shark,Atlantic Angel Shark,Scalloped Hammerhead,Sand Tiger Shark,Atlantic Angel and Scalloped Hammerhead Sharks have flattened bodies
Plotinus,Proclus,Socrates,Socrates,Plotinus and Proclus were both Neoplatonists
Garter Snake,Cottonmouth,Corn Snake,Cottonmouth,Corn and Garter Snakes are harmless to humans
Tundra Wolf,Steppe Wolf,Maned Wolf,Maned Wolf,Tundra and Steppe wolves are Eurasian subspecies
Rattlesnake,Green Anaconda,Copperhead,Green Anaconda,Rattlesnake and Copperhead are pit vipers
Grass Owl,Powerful Owl,Morepork,Powerful Owl,Morepork and Grass Owl are found in Australia
Uranus,Mars (Planet),Neptune,Mars,Neptune and Uranus are ice giants
The Ramayana,The Divine Comedy,The Mahabharata,The Divine Comedy,Both are Indian epic poems
Jupiter,Earth,Venus (Planet),Jupiter,Venus and Earth are similar in size
Brown Bear,Panda Bear,Grizzly Bear,Panda Bear,Grizzly and Brown Bears are carnivorous
Barn Owl,Masked Owl,Rufous Owl,Rufous Owl,Masked Owl and Barn Owl are in the same family (Tytonidae)
Flax Seeds,Turmeric,Ginger,Flax Seeds,Ginger and Turmeric are both roots.
King Lear,Othello,The Tempest,The Tempest,Othello and King Lear are tragedies
Taro,Onion,Garlic,Taro,Onion and Garlic are both part of the Allium genus.
Hanukkah,Passover,Shavuot,Hanukkah,Passover and Shavuot are part of the Three Pilgrimage Festivals
Strawberry,Blueberry,Huckleberry,Strawberry,Blueberry and Huckleberry are native to North America
Passion Fruit,Pear,Guava,Pear,Guava and Passion Fruit are tropical fruits
Marigold,Daisy,Sunflower,Daisy,Sunflower and Marigold have disc-shaped flowers
Myoblast,Adipocyte,Satellite Cell,Adipocyte,Satellite Cell and Myoblast are both types of muscle stem cells
Manatee,Fin Whale,Dugong,Fin Whale,Manatee and Dugong are both herbivorous mammals
Andromeda,Taurus,Perseus (Constellation),Taurus,Perseus and Andromeda are both visible in winter.
Horus,Ra,Anubis,Anubis,Horus and Ra are both sky deities.
Hanukkah,Lent,Ramadan,Hanukkah,Ramadan and Lent are periods of fasting and prayer
Wax,Wood,Resin,Resin,Wax and Wood can be sculpted
Echeveria,String of Dolphins,Jade Plant,String of Dolphins,Jade Plant and Echeveria have rosette shapes.
Osprey,Condor,Peacock,Peacock,Osprey and Condor are birds of prey
Moth,Tick,Bedbug,Moth,Bedbug and Tick both are blood-sucking insects
Villanelle,Sonnet,Limerick,Limerick,Sonnet and Villanelle both have a strict form and structure.
Beignet,Madeleine,Palmier,Beignet,Madeleine and Palmier are both types of French pastries
Frisee,Spinach,Escarole,Spinach,Escarole and Frisee are both part of the chicory family
Spinach,Asparagus,Rhubarb,Spinach,Asparagus and Rhubarb are perennial plants
Arabic,Hebrew,Hindi,Hindi,Arabic and Hebrew are Semitic languages
Coconut Oil,Margarine,Lard,Lard,Margarine and Coconut Oil are both plant fats
Anagram,Word Ladder,Rubik's Cube,Rubik's Cube,Word Ladder and Anagram are puzzles based on rearranging letters.
Juniper,Hydrangea,Forsythia,Juniper,Hydrangea and Forsythia have large flowers
Bacchus,Dionysus,Freya,Freya,Dionysus and Bacchus are gods of wine
Daikon,Yam,Sweet Potato,Daikon,Sweet Potato and Yam are both starchy root vegetables.
Black Widow,Aquaman,Hawkeye,Aquaman,Black Widow and Hawkeye are members of The Avengers
Angelfish,Mollie,Guppy,Angelfish,Mollie and Guppy are both livebearers
Flag of Latvia,Flag of Poland,Flag of Austria,Flag of Latvia,Austria and Poland have horizontal bicolour in their flags
Poison Ivy (Character),Catwoman,Mystique,Mystique,Catwoman and Poison Ivy are Batman's enemies
Orchid,Daffodil,Tulip,Orchid,Daffodil and Tulip are spring bloomers
Ant,Bee,Termite,Bee,Termite and Ant both live in colonies underground
Rabbi,Priest,Cantor,Priest,The other two are Jewish religious leaders
Walrus,Seal,Arctic whale,Arctic whale,Walrus and Seal are both pinnipeds
Kingpin,Doctor Doom,Sinestro,Sinestro,Doctor Doom and Kingpin are Marvel villains
Wheat,Soybean,Peanut,Wheat,Soybean and Peanut are legumes
Johann Strauss II,Johann Sebastian Bach,Ludwig van Beethoven,Johann Strauss II,Bach and Beethoven were both German composers
Venus,Mercury,Cupid,Mercury,Venus and Cupid are both associated with love
Richard Wagner,Johannes Brahms,Johann Sebastian Bach,Johann Sebastian Bach,Brahms and Wagner were both Romantic composers
