obj_1,obj_2,obj_3,obj_4,odd,reason_for_similarity,valid
Urban Shocker,Tris Speaker,Ty Cobb,Eddie Collins,Urban Shocker,The others are members of the 3000 hit club,
Joe Sewell,Lew Fonseca,Luke Sewell,Waite Hoyt,Waite Hoyt,The others are Indians players,
George Sisler,Urban Shocker,Marty McManus,Baby Doll Jacobson,Urban Shocker,The others are Browns players,
Mark Koenig,Herb Pennock,Bob Meusel,Tony Lazzeri,Herb Pennock,The others are Yankees teammates,
Red Faber,Ty Cobb,Charlie Gehringer,Harry Heilmann,Red Faber,The others are Tigers Hall of Famers,
Lou Gehrig,Tony Lazzeri,Earl Combs,Bob Meusel,Earl Combs,The others are Yankees infielders,
Mel Ott,Freddie Lindstrom,Waite Hoyt,Travis Jackson,Waite Hoyt,The others are Giants players,
Dazzy Vance,Babe Ruth,Burleigh Grimes,Urban Shocker,Babe Ruth,The others are pitchers,
Kiki Cuyler,Guy Bush,Hack Wilson,Charlie Root,Kiki Cuyler,The others are Cubs players,
Lu Blue,Harry Heilmann,Johnny Bassler,Ty Cobb,Ty Cobb,The others are Tigers infielders,
Gene Tunney,Frankie Frisch,Rogers Hornsby,Bob O'Farrell,Gene Tunney,The others are Cardinals players,
Ted Blankenship,Red Faber,Luke Appling,Ted Lyons,Luke Appling,The others are White Sox pitchers,
Bob Shawkey,Herb Pennock,Waite Hoyt,Lou Gehrig,Lou Gehrig,The others are Yankees pitchers,
Mark Koenig,Bob Meusel,Tony Lazzeri,Earle Combs,Mark Koenig,The others are Yankees outfielders,
Jim Bottomley,Rogers Hornsby,Bob O'Farrell,Frankie Frisch,Bob O'Farrell,The others are Cardinals Hall of Famers,
Al Simmons,Jimmie Foxx,Mickey Cochrane,Lefty Grove,Lefty Grove,The others are Athletics teammates,
Joe Cronin,Bump Hadley,Goose Goslin,Sam Rice,Bump Hadley,The others are Senators players,
Hack Wilson,Kiki Cuyler,Gabby Hartnett,Charlie Root,Charlie Root,The others are Cubs players,
Bob Meusel,Tony Lazzeri,Mark Koenig,Earle Combs,Earle Combs,The others are Yankees World Series winners,
Ty Cobb,Nap Lajoie,Tris Speaker,Eddie Collins,Nap Lajoie,The others are members of the 3000 hit club,
Bob Meusel,Waite Hoyt,Urban Shocker,Herb Pennock,Bob Meusel,The others are Yankees pitchers,
Travis Jackson,Bill Terry,Mel Ott,Freddie Lindstrom,Bill Terry,The others are Giants infielders,
Babe Ruth,Earle Combs,Lou Gehrig,Bob Meusel,Earle Combs,The others are Yankees outfielders,
Mickey Cochrane,Charlie Gehringer,Harry Heilmann,Ty Cobb,Mickey Cochrane,The others are Tigers Hall of Famers,
Urban Shocker,Dazzy Vance,Red Faber,Burleigh Grimes,Red Faber,The others are pitchers,
Lefty Grove,Mickey Cochrane,Jimmie Foxx,Al Simmons,Lefty Grove,The others are Athletics sluggers,
Lou Gehrig,Herb Pennock,Tony Lazzeri,Bob Meusel,Herb Pennock,The others are Yankees infielders,
Mark Koenig,Bob Meusel,Earle Combs,Waite Hoyt,Waite Hoyt,The others are Yankees World Series winners,
Luke Appling,Joe Cronin,Bob Feller,Joe Sewell,Bob Feller,The others are shortstops,
Dizzy Dean,Mickey Cochrane,Lefty Grove,Carl Hubbell,Mickey Cochrane,The others are pitchers,
Heinie Manush,Earl Webb,Bill Dickey,Earl Averill,Bill Dickey,The others are outfielders,
Red Ruffing,Lou Gehrig,Ted Lyons,Lefty Gomez,Lou Gehrig,The others are pitchers,
Charlie Gehringer,Billy Herman,Tony Lazzeri,Al Simmons,Al Simmons,The others are second basemen,
Mickey Cochrane,Chuck Klein,Hack Wilson,Al Simmons,Mickey Cochrane,The others are outfielders,
Bob Johnson,Beau Bell,Sam West,Lefty Grove,Lefty Grove,The others are outfielders,
Joe Medwick,Ripper Collins,Dizzy Dean,Chick Hafey,Dizzy Dean,The others are Cardinals players,
Bill Terry,Ted Lyons,Lou Gehrig,Jimmie Foxx,Ted Lyons,The others are first basemen,
Paul Waner,Lloyd Waner,Kiki Cuyler,Bob Feller,Bob Feller,The others are outfielders,
Joe Sewell,Tony Lazzeri,Joe Cronin,Mickey Cochrane,Mickey Cochrane,The others are infielders,
Lefty Gomez,Bill Terry,Johnny Frederick,Mel Ott,Lefty Gomez,The others are Giants players,
Waite Hoyt,Lou Gehrig,Carl Hubbell,Herb Pennock,Lou Gehrig,The others are pitchers,
Earl Webb,Heinie Manush,Al Simmons,Bob Johnson,Bob Johnson,The others are American League players,
Mickey Cochrane,Gabby Hartnett,Joe Cronin,Bill Dickey,Joe Cronin,The others are catchers,
Carl Hubbell,Earl Averill,Lefty Gomez,Dizzy Dean,Earl Averill,The others are pitchers,
Red Ruffing,Bob Feller,Tony Lazzeri,Kiki Cuyler,Kiki Cuyler,The others are pitchers,
Bill Terry,Al Simmons,Jimmie Foxx,Lou Gehrig,Al Simmons,The others are first basemen,
Luke Appling,Joe Cronin,Joe Sewell,Chuck Klein,Chuck Klein,The others are infielders,
Waite Hoyt,Red Ruffing,Mel Ott,Ted Lyons,Mel Ott,The others are pitchers,
Ripper Collins,Paul Waner,Lloyd Waner,Mickey Cochrane,Mickey Cochrane,The others are outfielders,
Joe Medwick,Joe Cronin,Billy Herman,Tony Lazzeri,Joe Medwick,The others are infielders,
Lefty Gomez,Heinie Manush,Bob Feller,Red Ruffing,Heinie Manush,The others are pitchers,
Gabby Hartnett,Bill Dickey,Mickey Cochrane,Jimmie Foxx,Jimmie Foxx,The others are catchers,
Kiki Cuyler,Al Simmons,Carl Hubbell,Earl Averill,Carl Hubbell,The others are outfielders,
Johnny Frederick,Bill Terry,Lou Gehrig,Lefty Gomez,Lefty Gomez,The others are first basemen,
Luke Appling,Joe Cronin,Bob Johnson,Joe Sewell,Bob Johnson,The others are shortstops,
Carl Hubbell,Ted Lyons,Dizzy Dean,Waite Hoyt,Ted Lyons,The others are pitchers,
Hack Wilson,Mickey Cochrane,Al Simmons,Chuck Klein,Mickey Cochrane,The others are outfielders,
Tony Lazzeri,Bob Feller,Red Ruffing,Lefty Gomez,Tony Lazzeri,The others are pitchers,
Johnny Frederick,Mel Ott,Mickey Cochrane,Bill Terry,Mickey Cochrane,The others are Giants players,
Lloyd Waner,Ripper Collins,Lou Gehrig,Paul Waner,Lou Gehrig,The others are outfielders,
Red Ruffing,Wes Ferrell,Mel Ott,Lefty Grove,Mel Ott,The others are pitchers.,
Billy Rogell,Al Simmons,Charlie Gehringer,Hank Greenberg,Al Simmons,The others are Detroit Tigers.,
Al Simmons,Mule Haas,Jimmie Foxx,Joe Cronin,Mule Haas,The others are Hall of Famers.,
Daffy Dean,Gabby Hartnett,Dizzy Dean,Paul Dean,Gabby Hartnett,The others are brothers.,
Red Faber,Johnny Rigney,Luke Appling,Ted Lyons,Luke Appling,The others are White Sox pitchers.,
Bill Dickey,Earle Combs,Lou Gehrig,Joe Sewell,Lou Gehrig,The others are Yankees' position players.,
Ben Chapman,Tony Lazzeri,Herb Pennock,Babe Ruth,Herb Pennock,The others are Yankees' starters.,
Bob Johnson,Mule Haas,Al Simmons,Mickey Cochrane,Bob Johnson,The others are Philadelphia Athletics.,
Joe Gordon,Herb Pennock,Waite Hoyt,Lefty Grove,Joe Gordon,The others are Yankees' pitchers.,
Tony Lazzeri,Earle Combs,Lou Gehrig,Joe Corsi,Joe Corsi,The others are Yankees' stars.,
Hank Greenberg,Billy Rogell,Sam West,Charlie Gehringer,Sam West,The others are Tigers' infielders.,
Jimmie Foxx,Pinky Higgins,Mickey Cochrane,Al Simmons,Pinky Higgins,The others are Athletics' stars.,
Kiki Cuyler,Lloyd Waner,Glenn Wright,Paul Waner,Glenn Wright,The others are Pirates' outfielders.,
Bill Dickey,Lefty Gomez,Johnny Allen,Red Ruffing,Bill Dickey,The others are Yankees' pitchers.,
Joe Cronin,Heinie Manush,Sam Rice,Joe Kuhel,Sam Rice,The others are Senators' stars.,
Daffy Dean,Dizzy Dean,Frankie Frisch,Paul Dean,Frankie Frisch,The others are Dean brothers.,
Bill Terry,Mel Ott,Hal Schumacher,Freddie Fitzsimmons,Hal Schumacher,The others are Giants' stars.,
Johnny Rigney,Jackie Haynes,Red Faber,Ted Lyons,Jackie Haynes,The others are White Sox starters.,
Billy Rogell,Hank Greenberg,Schoolboy Rowe,Charlie Gehringer,Schoolboy Rowe,The others are Tigers' stars.,
Billy Jurges,Billy Herman,Gabby Hartnett,Augie Galan,Billy Jurges,The others are Cubs' stars.,
Luke Appling,Monty Stratton,Johnny Rigney,Ted Lyons,Monty Stratton,The others are White Sox pitchers.,
Spud Davis,Joe Medwick,Dizzy Dean,Frankie Frisch,Spud Davis,The others are Cardinals' stars.,
Al Simmons,Mickey Cochrane,Jimmie Foxx,Dynie Burten,Dynie Burten,The others are Athletics' Hall of Famers.,
Lou Gehrig,Tony Lazzeri,Joe Sewell,Bob Meusel,Joe Sewell,The others are Yankees' infielders.,
Earle Combs,Mark Koenig,Bob Meusel,Tony Lazzeri,Mark Koenig,The others are Yankees' outfielders.,
Charlie Gehringer,Hank Greenberg,Gee Walker,Billy Rogell,Gee Walker,The others are Tigers' stars.,
Johnny Rigney,Ted Lyons,Red Faber,Les Tietje,Les Tietje,The others are White Sox pitchers.,
Ossie Bluege,Heinie Manush,Joe Kuhel,Joe Cronin,Ossie Bluege,The others are Senators' stars.,
Daffy Dean,Paul Dean,Dizzy Dean,Pepper Martin,Pepper Martin,The others are Dean brothers.,
Bill Terry,Gus Mancuso,Freddie Fitzsimmons,Mel Ott,Gus Mancuso,The others are Giants' stars.,
Hank Greenberg,Charlie Gehringer,Elden Auker,Billy Rogell,Elden Auker,The others are Tigers' stars.,
Gabby Hartnett,Billy Herman,Augie Galan,Charlie Root,Charlie Root,The others are Cubs' stars.,
Red Ruffing,Johnny Allen,Frankie Frisch,Lefty Gomez,Frankie Frisch,The others are Yankees,
Paul Dean,Gabby Hartnett,Dizzy Dean,Daffy Dean,Gabby Hartnett,The others are brothers,
Lefty Grove,Hank Greenberg,Billy Rogell,Charlie Gehringer,Charlie Gehringer,The others are Tigers,
Mel Ott,Bill Terry,Carl Hubbell,Chuck Klein,Chuck Klein,The others are Giants,
Ted Lyons,Ted Lyons,Tony Lazzeri,Red Faber,Tony Lazzeri,The others are White Sox,
Buddy Myer,Joe Cronin,Joe Kuhel,Al Simmons,Al Simmons,The others are Senators,
Joe Vosmik,Wes Ferrell,Earl Averill,Hal Trosky,Wes Ferrell,The others are Indians,
Jimmie Foxx,Al Simmons,Lefty Grove,Mickey Cochrane,Mickey Cochrane,The others are Athletics,
Joe Cronin,Tony Lazzeri,Joe Sewell,Lou Gehrig,Joe Cronin,The others are Yankees,
Kiki Cuyler,Lloyd Waner,Paul Waner,George Grantham,George Grantham,The others are Pirates,
Al Simmons,Bob Johnson,Lefty Grove,Jimmie Foxx,Lefty Grove,The others are Athletics,
Cy Williams,Pinky Whitney,Chuck Klein,Lefty O'Doul,Cy Williams,The others are Phillies,
Joe Medwick,Frankie Frisch,Leo Durocher,Dizzy Dean,Leo Durocher,The others are Cardinals,
Joe Sewell,Lefty Gomez,Bill Dickey,Tony Lazzeri,Joe Sewell,The others are Yankees,
Pie Traynor,Lloyd Waner,Glenn Wright,Paul Waner,Glenn Wright,The others are Pirates,
Al Simmons,Heinie Manush,Sam West,Goose Goslin,Heinie Manush,The others are Senators,
Lou Gehrig,Tony Lazzeri,Joe Sewell,Earle Combs,Joe Sewell,The others are Yankees,
Leo Durocher,Dizzy Dean,Joe Medwick,Frankie Frisch,Frankie Frisch,The others are Cardinals,
Tony Lazzeri,Lou Gehrig,Bob Meusel,Earle Combs,Bob Meusel,The others are Yankees,
Chuck Klein,Lefty O'Doul,Cy Williams,Don Hurst,Don Hurst,The others are Phillies,
Joe Cronin,Sam West,Joe Kuhel,Buddy Myer,Sam West,The others are Senators,
Mickey Cochrane,Lefty Grove,Jimmie Foxx,Al Simmons,Mickey Cochrane,The others are Athletics,
Charlie Grimm,Billy Jurges,Gabby Hartnett,Kiki Cuyler,Charlie Grimm,The others are Cubs,
Bill Terry,Mel Ott,Carl Hubbell,Travis Jackson,Travis Jackson,The others are Giants,
Charlie Gehringer,Hank Greenberg,Billy Rogell,Mickey Cochrane,Mickey Cochrane,The others are Tigers,
Bob Johnson,Jimmie Foxx,Al Simmons,Mickey Cochrane,Mickey Cochrane,The others are Athletics,
Leo Durocher,Joe Medwick,Frankie Frisch,Dizzy Dean,Joe Medwick,The others are Cardinals,
Joe Vosmik,Hal Trosky,Earl Averill,Wes Ferrell,Hal Trosky,The others are Indians,
Joe Cronin,Al Simmons,Heinie Manush,Sam West,Joe Cronin,The others are Senators,
Tony Lazzeri,Bill Dickey,Joe Sewell,Lou Gehrig,Joe Sewell,The others are Yankees,
Pinky Whitney,Lefty O'Doul,Chuck Klein,Cy Williams,Cy Williams,The others are Phillies,
Jimmie Foxx,Mel Ott,Mickey Cochrane,Joe Cronin,Mel Ott,The others are Hall of Famers from PA,
Herb Pennock,Tony Lazzeri,Waite Hoyt,Lefty Grove,Herb Pennock,The others are pitchers,
Lou Gehrig,Earl Averill,Joe Cronin,Bill Dickey,Earl Averill,The others played for NY Yankees,
Bob Feller,Charlie Gehringer,Mickey Cochrane,Hank Greenberg,Bob Feller,The others played for Detroit,
Ted Lyons,Schoolboy Rowe,Tommy Bridges,Jimmy Dykes,Jimmy Dykes,The others pitched in the AL,
Lloyd Waner,Paul Waner,Kiki Cuyler,Dave Harris,Dave Harris,The others are brothers,
Chuck Klein,Fresco Thompson,Cy Williams,Lefty O'Doul,Fresco Thompson,The others played for Philadelphia,
Billy Rogell,Marty McManus,Earl Averill,Joe Vosmik,Marty McManus,The others played for Cleveland,
Gus Mancuso,Bill Terry,Mel Ott,Freddie Lindstrom,Gus Mancuso,The others played for NY Giants,
Mickey Cochrane,Jimmie Foxx,Al Simmons,Bob Johnson,Jimmie Foxx,The others played for Philadelphia,
Earl Whitehill,Alvin Crowder,General Crowder,Joe Cronin,Joe Cronin,The others were pitchers,
Mickey Cochrane,Charlie Gehringer,Schoolboy Rowe,Hank Greenberg,Schoolboy Rowe,The others played for Detroit,
Joe Cronin,Joe Vosmik,Heinie Manush,Roy Johnson,Joe Vosmik,The others played for Washington,
Nellie Fox,Luis Aparicio,Joe Cronin,Ted Lyons,Joe Cronin,The others are White Sox legends,
Mel Harder,Wes Ferrell,Lou Gehrig,Bob Feller,Lou Gehrig,The others pitched for Cleveland,
Lou Gehrig,Schoolboy Rowe,Tommy Bridges,Johnny Allen,Lou Gehrig,The others pitched in the AL,
Cy Perkins,Al Simmons,Mickey Cochrane,Joe Cronin,Joe Cronin,The others played for Philadelphia,
Bob O'Farrell,Joe Medwick,Dizzy Dean,Frankie Frisch,Bob O'Farrell,The others played for St. Louis,
Mel Ott,Freddie Lindstrom,Johnny Allen,Bill Terry,Johnny Allen,The others played for NY Giants,
Charlie Gehringer,Al Simmons,Jimmie Foxx,Mickey Cochrane,Charlie Gehringer,The others played for Philadelphia,
Lou Gehrig,Waite Hoyt,Lefty Grove,Herb Pennock,Lou Gehrig,The others pitched in the AL,
Billy Rogell,Earl Averill,Bob Johnson,Marty McManus,Bob Johnson,The others played for Cleveland,
Lloyd Waner,Kiki Cuyler,Joe Cronin,Paul Waner,Joe Cronin,The others played for Pittsburgh,
Chuck Klein,Cy Williams,Tommy Bridges,Lefty O'Doul,Tommy Bridges,The others played for Philadelphia,
Bill Dickey,Mel Harder,Lou Gehrig,Joe Cronin,Mel Harder,The others played for NY Yankees,
Earl Averill,Al Lopez,Rick Ferrell,Mickey Cochrane,Earl Averill,The others played for Brooklyn,
Joe Cronin,Jimmie Foxx,Ted Lyons,Mickey Cochrane,Ted Lyons,The others played for Philadelphia,
Frankie Crosetti,Joe Gordon,Joe DiMaggio,Mickey Cochrane,Mickey Cochrane,The others played for NY Yankees,
Bob Feller,Johnny Allen,Mel Harder,Joe Cronin,Joe Cronin,The others pitched for Cleveland,
Lou Gehrig,Tommy Bridges,General Crowder,Schoolboy Rowe,Lou Gehrig,The others pitched in the AL,
Charlie Gehringer,Mickey Cochrane,Wes Ferrell,Hank Greenberg,Wes Ferrell,The others played for Detroit,
Travis Jackson,Joe Cronin,Tommy Heinrich,Joe Sewell,Tommy Heinrich,The others are shortstops,
Red Ruffing,Lou Gehrig,Lefty Grove,Waite Hoyt,Red Ruffing,The others are pitchers,
Paul Waner,Billy Herman,Lloyd Waner,Kiki Cuyler,Billy Herman,The others are outfielders,
Mel Ott,Tony Lazzeri,Chuck Klein,Hack Wilson,Tony Lazzeri,The others are National Leaguers,
Rogers Hornsby,Frankie Frisch,Charlie Gehringer,Bob O'Farrell,Bob O'Farrell,The others are second basemen,
Ted Lyons,Ted Lyons,Joe Vosmik,Tommy Thomas,Joe Vosmik,The others are pitchers,
Lefty Grove,Carl Hubbell,Joe Medwick,Dizzy Dean,Joe Medwick,The others are All-Stars,
Lou Gehrig,Joe Cronin,Hank Greenberg,Jimmie Foxx,Joe Cronin,The others are first basemen,
Billy Rogell,Mickey Cochrane,Earl Averill,Earl Whitehill,Earl Whitehill,The others are Tigers,
Bill Terry,Frankie Frisch,Lefty O'Doul,Travis Jackson,Travis Jackson,The others are Giants,
Paul Waner,Lloyd Waner,Arky Vaughan,Pie Traynor,Arky Vaughan,The others are Pirates,
Mickey Cochrane,Joe Vosmik,Joe Cronin,Al Simmons,Joe Vosmik,The others are Senators,
Waite Hoyt,Lou Gehrig,Red Ruffing,Lefty Grove,Lou Gehrig,The others are Yankees,
Frankie Frisch,Charlie Gehringer,Mickey Cochrane,Rogers Hornsby,Charlie Gehringer,The others are second basemen,
Riggs Stephenson,Billy Herman,Kiki Cuyler,Hack Wilson,Billy Herman,The others are Cubs,
Lou Gehrig,Bill Dickey,Joe Sewell,Joe Cronin,Joe Sewell,The others are Yankees,
Luke Appling,Ted Lyons,Ed Durham,Red Faber,Ed Durham,The others are White Sox,
Charlie Gehringer,Hank Greenberg,Jimmie Foxx,Lou Gehrig,Charlie Gehringer,The others are Hall of Famers,
Paul Waner,Mel Ott,Lloyd Waner,Chuck Klein,Paul Waner,The others are outfielders,
Billy Rogell,Mickey Cochrane,Charlie Gehringer,Hank Greenberg,Billy Rogell,The others are Tigers,
Tex Carleton,Dizzy Dean,Frankie Frisch,Paul Derringer,Frankie Frisch,The others are Cardinals,
Waite Hoyt,Lefty Grove,Red Ruffing,Joe DiMaggio,Joe DiMaggio,The others are Yankees,
Ted Lyons,Ed Durham,Tommy Thomas,Kennesaw Mountain Landis,Kennesaw Mountain Landis,The others are pitchers,
Hank Greenberg,Lou Gehrig,Joe Medwick,Jimmie Foxx,Joe Medwick,The others are first basemen,
Charlie Gehringer,Joe Cronin,Mickey Owen,Mickey Cochrane,Charlie Gehringer,The others are catchers,
Carl Hubbell,Lou Gehrig,Dizzy Dean,Lefty Grove,Lou Gehrig,The others are All-Stars,
Frankie Frisch,Charlie Gehringer,Billy Herman,Joe Cronin,Joe Cronin,The others are second basemen,
Hank Greenberg,Jimmie Foxx,Al Simmons,Lou Gehrig,Al Simmons,The others are power hitters,
Gabby Hartnett,Hack Wilson,Kiki Cuyler,Riggs Stephenson,Gabby Hartnett,The others are Cubs,
Lloyd Waner,Paul Waner,Arky Vaughan,Chuck Klein,Arky Vaughan,The others are Pirates,
Joe Cronin,Joe Sewell,Al Simmons,Travis Jackson,Al Simmons,The others are shortstops,
Red Ruffing,Joe Cronin,Lefty Gomez,Johnny Allen,Joe Cronin,The others are pitchers,
Paul Waner,Kiki Cuyler,Pie Traynor,Lloyd Waner,Pie Traynor,The others are outfielders,
Daffy Dean,Paul Dean,Dizzy Dean,Gabby Hartnett,Gabby Hartnett,The others are members of the Dean brothers,
Billy Rogell,Charlie Gehringer,Mickey Cochrane,Hank Greenberg,Mickey Cochrane,The others are Detroit Tigers,
Carl Reynolds,Luke Appling,Mule Haas,Ted Lyons,Luke Appling,The others are Chicago White Sox,
Willis Hudlin,Earl Averill,Mel Harder,Bob Feller,Earl Averill,The others are Cleveland Indians pitchers,
Al Simmons,Jimmie Foxx,Lefty Grove,Mickey Cochrane,Lefty Grove,The others are Philadelphia Athletics,
Mark Koenig,Tony Lazzeri,Bob Meusel,Joe Sewell,Bob Meusel,The others are New York Yankees,
Cy Williams,Chuck Klein,Pinky Whitney,Don Hurst,Cy Williams,The others are Philadelphia Phillies,
Eddie Rommel,Lefty Grove,Rube Walberg,Al Simmons,Al Simmons,The others are Philadelphia Athletics pitchers,
Luke Appling,Tony Piet,Jimmy Dykes,Zeke Bonura,Zeke Bonura,The others are Chicago White Sox infielders,
Goose Goslin,Heinie Manush,Joe Cronin,Bump Hadley,Bump Hadley,The others are Washington Senators,
Mel Ott,Bill Terry,Carl Hubbell,Freddie Lindstrom,Carl Hubbell,The others are New York Giants position players,
General Crowder,Gee Walker,Schoolboy Rowe,Elden Auker,Gee Walker,The others are Detroit Tigers pitchers,
Ducky Medwick,Pepper Martin,Frankie Frisch,Joe Medwick,Frankie Frisch,The others are St. Louis Cardinals outfielders,
Al Lopez,Gabby Hartnett,Charlie Grimm,Billy Herman,Charlie Grimm,The others are Chicago Cubs catchers,
Jack Knott,Ted Lyons,Zeke Bonura,Johnny Rigney,Zeke Bonura,The others are Chicago White Sox pitchers,
Bill Dickey,Joe Sewell,Tony Lazzeri,Bob Meusel,Bob Meusel,The others are New York Yankees infielders,
Hal Trosky,Earl Averill,Wes Ferrell,Joe Vosmik,Wes Ferrell,The others are Cleveland Indians outfielders,
Dazzy Vance,Frankie Frisch,Rogers Hornsby,Jesse Haines,Jesse Haines,The others are St. Louis Cardinals Hall of Famers,
Heinie Manush,Sam Rice,Joe Judge,Bucky Harris,Bucky Harris,The others are Washington Senators outfielders,
Lefty Gomez,Spud Chandler,Bill Dickey,Johnny Murphy,Bill Dickey,The others are New York Yankees pitchers,
Kiki Cuyler,Lloyd Waner,Paul Waner,Pie Traynor,Pie Traynor,The others are Pittsburgh Pirates outfielders,
Travis Jackson,Mel Ott,Joe Sewell,Joe Cronin,Mel Ott,The others are shortstops,
Gabby Hartnett,Frankie Frisch,Billy Herman,Charlie Gelbert,Gabby Hartnett,The others are second basemen,
Ted Lyons,Johnny Allen,Red Ruffing,Zeke Bonura,Zeke Bonura,The others are American League pitchers,
Joe Cronin,Lou Gehrig,Jimmie Foxx,Mickey Cochrane,Mickey Cochrane,The others are American League MVPs,
Al Simmons,Mickey Cochrane,Jimmy Dykes,Lefty Grove,Lefty Grove,The others are Philadelphia Athletics sluggers,
Lloyd Waner,Pie Traynor,Paul Waner,Arky Vaughan,Arky Vaughan,The others are Pittsburgh Pirates Hall of Famers,
Lefty Grove,Al Simmons,Jimmie Foxx,Mickey Cochrane,Lefty Grove,The others are Philadelphia Athletics stars,
Dazzy Vance,Rogers Hornsby,Jesse Haines,Frankie Frisch,Jesse Haines,The others are St. Louis Cardinals legends,
Chuck Klein,Hack Wilson,Mel Ott,Bob Feller,Bob Feller,The others are outfielders,
Lefty Gomez,Johnny Allen,Earle Combs,Red Ruffing,Earle Combs,The others are pitchers,
Travis Jackson,Lefty O'Doul,Eppa Rixey,Bill Terry,Travis Jackson,The others played for the Giants,
Earl Averill,Heinie Manush,Pie Traynor,Goose Goslin,Pie Traynor,The others are left-handed hitters,
Chuck Klein,Gabby Hartnett,Kiki Cuyler,Babe Herman,Gabby Hartnett,The others played for the Phillies,
Heinie Manush,Goose Goslin,Joe Judge,Joe Cronin,Heinie Manush,The others played for the Senators,
Earle Combs,Mark Koenig,Tony Lazzeri,Joe Dugan,Earle Combs,The others played for the Yankees,
Lloyd Waner,Pie Traynor,Paul Waner,Kiki Cuyler,Pie Traynor,The others played for the Pirates,
Heinie Manush,Charlie Gehringer,Hank Greenberg,Mickey Cochrane,Mickey Cochrane,The others played for the Tigers,
Rogers Hornsby,Frankie Frisch,Bill Hallahan,Bob O'Farrell,Bill Hallahan,The others played for the Cardinals,
Jimmy Dykes,Lefty Grove,Mickey Cochrane,Al Simmons,Jimmy Dykes,The others played for the Athletics,
Leo Durocher,Dizzy Dean,Pepper Martin,Joe Medwick,Leo Durocher,The others played for the Cardinals,
Red Faber,Luke Appling,Ted Lyons,Bill Dietrich,Luke Appling,The others played for the White Sox,
Wes Ferrell,Earl Averill,Joe Vosmik,Odell Hale,Wes Ferrell,The others played for the Indians,
Bill Terry,Mel Ott,Carl Hubbell,Freddie Fitzsimmons,Carl Hubbell,The others played for the Giants,
Pinky Whitney,Cy Williams,Don Hurst,Chuck Klein,Cy Williams,The others played for the Phillies,
Earl Averill,Hal Trosky,Bob Feller,Mel Harder,Hal Trosky,The others played for the Indians,
Johnny Allen,Lefty Gomez,Red Ruffing,Joe Sears,Joe Sears,The others played for the Yankees,
Arky Vaughan,Pie Traynor,Paul Waner,Lloyd Waner,Pie Traynor,The others played for the Pirates,
Frankie Frisch,Jesse Haines,Chick Hafey,Rogers Hornsby,Jesse Haines,The others played for the Cardinals,
Lefty Grove,Al Simmons,Jimmie Foxx,Mickey Cochrane,Lefty Grove,The others played for the Athletics,
Dizzy Dean,Joe Medwick,Joe Durek,Leo Durocher,Leo Durocher,The others played for the Cardinals,
Ted Lyons,Luke Appling,Jimmy Dykes,Red Faber,Red Faber,The others played for the White Sox,
Charlie Gehringer,Schoolboy Rowe,Hank Greenberg,Billy Rogell,Schoolboy Rowe,The others played for the Tigers,
Kiki Cuyler,Gabby Hartnett,Augie Galan,Billy Herman,Billy Herman,The others played for the Cubs,
Bob O'Farrell,Rogers Hornsby,Jesse Haines,Bill Hallahan,Rogers Hornsby,The others played for the Cardinals,
Chuck Klein,Cy Williams,Pinky Whitney,Don Hurst,Don Hurst,The others played for the Phillies,
Carl Hubbell,Hank Lieber,Bill Terry,Mel Ott,Carl Hubbell,The others played for the Giants,
Joe Dugan,Tony Lazzeri,Mark Koenig,Earle Combs,Tony Lazzeri,The others played for the Yankees,
Sam Rice,Goose Goslin,Heinie Manush,Joe Cronin,Sam Rice,The others played for the Senators,
Mel Ott,Babe Herman,Chuck Klein,Lefty O'Doul,Mel Ott,The others played for the Brooklyn Dodgers,
Mel Ott,Bill Terry,Lefty Gomez,Freddie Lindstrom,Lefty Gomez,The others played for the New York Giants,
Joe Cronin,Rick Ferrell,Luke Sewell,Al Simmons,Al Simmons,The others were catchers,
Red Ruffing,Ted Lyons,Carl Hubbell,Lefty Grove,Carl Hubbell,The others were primarily starters,
Cecil Travis,Joe Cronin,Luke Appling,Lefty Grove,Lefty Grove,The others were shortstops,
Lou Gehrig,Jimmie Foxx,Joe Cronin,Mel Harder,Mel Harder,The others were MVP winners,
Jimmie Foxx,Herb Pennock,Al Simmons,Mickey Cochrane,Herb Pennock,The others played for the Philadelphia Athletics,
Paul Waner,Kiki Cuyler,Lloyd Waner,Dazzy Vance,Dazzy Vance,The others were outfielders,
Herb Pennock,Joe Sewell,Red Ruffing,Lefty Gomez,Joe Sewell,The others played for the New York Yankees,
Lefty O'Doul,Mel Ott,Ross Youngs,Bill Terry,Lefty O'Doul,The others played for the New York Giants,
Babe Herman,Joe Medwick,Chuck Klein,Lefty O'Doul,Joe Medwick,The others played for the Philadelphia Phillies,
Lou Gehrig,Joe Cronin,Red Ruffing,Jimmie Foxx,Red Ruffing,The others were First Basemen,
Ted Lyons,Al Simmons,Red Ruffing,Lefty Grove,Al Simmons,The others were pitchers,
Luke Sewell,Jimmie Foxx,Joe Cronin,Rick Ferrell,Jimmie Foxx,The others were managers,
Ted Lyons,Lefty Grove,Mickey Cochrane,Red Ruffing,Mickey Cochrane,The others were Hall of Famers,
Lefty O'Doul,Bill Terry,Mel Ott,Ross Youngs,Lefty O'Doul,The others played for the New York Giants,
