"Montesquieu","Voltaire","Rousseau","Marx","Marx","The others are Enlightenment philosophers"
"Guillotine","Spinning Jenny","Steam Engine","Cotton Gin","Guillotine","The others are industrial inventions"
"Declaration of Independence","Constitution of the United States","Bill of Rights","Emancipation Proclamation","Emancipation Proclamation","The others are foundational American documents"
"...","...","...","...","...","..."
"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"-------","-------","-------","-------","-----","-----------------------"
"Charles Dickens","George Eliot","Thomas Hardy","Claude Monet","Claude Monet","The others are 19th century British authors."
"Napoleon Bonaparte","Queen Victoria","Abraham Lincoln","Thomas Edison","Thomas Edison","The others are 19th century political leaders."
"The American Civil War","The Franco-Prussian War","The Crimean War","The Boxer Rebellion","The Boxer Rebellion","The others are 19th century wars involving European powers."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Suez Canal","The Suez Canal","The others are 19th century structures in major cities."
"The Industrial Revolution","The Meiji Restoration","The California Gold Rush","The French Revolution","The French Revolution","The others are 19th century economic and social changes."
"Charles Darwin","Gregor Mendel","Louis Pasteur","Karl Marx","Karl Marx","The others are 19th century scientists."
"The British Empire","The French Empire","The Russian Empire","The Ottoman Empire","The Ottoman Empire","The others are 19th century empires in Europe."
"The Telegraph","The Steam Engine","The Telephone","The Printing Press","The Printing Press","The others are 19th century inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Louisiana Purchase","The Louisiana Purchase","The others are 19th century events related to westward expansion in the United States."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","William Wordsworth","William Wordsworth","The others are 19th century American poets."
"The American Civil War","The War of 1812","The Spanish-American War","The Napoleonic Wars","The Napoleonic Wars","The others are 19th century wars involving the United States."
"The Suez Canal","The Panama Canal","The Erie Canal","The Grand Canal","The Grand Canal","The others are 19th century canals."
"The French Revolution","The American Revolution","The Haitian Revolution","The Industrial Revolution","The Industrial Revolution","The others are 19th century political revolutions."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Great Wall of China","The Great Wall of China","The others are 19th century structures."
"The Telegraph","The Steam Engine","The Telephone","The Internet","The Internet","The others are 19th century communication inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Trail of Tears","The Trail of Tears","The others are 19th century events related to westward expansion."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","Charles Dickens","Charles Dickens","The others are 19th century American authors."
"The American Civil War","The War of 1812","The Spanish-American War","World War I","World War I","The others are 19th century wars."
"The Suez Canal","The Panama Canal","The Erie Canal","The Amazon River","The Amazon River","The others are 19th century man-made waterways."
"The French Revolution","The American Revolution","The Haitian Revolution","The Renaissance","The Renaissance","The others are 19th century revolutions."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Pyramids of Giza","The Pyramids of Giza","The others are 19th century structures."
"The Telegraph","The Steam Engine","The Telephone","The Wheel","The Wheel","The others are 19th century inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Silk Road","The Silk Road","The others are 19th century events related to westward expansion."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","Shakespeare","Shakespeare","The others are 19th century American authors."
"The American Civil War","The War of 1812","The Spanish-American War","The Trojan War","The Trojan War","The others are 19th century wars."
"The Suez Canal","The Panama Canal","The Erie Canal","The Mississippi River","The Mississippi River","The others are 19th century man-made waterways."
"The French Revolution","The American Revolution","The Haitian Revolution","The Scientific Revolution","The Scientific Revolution","The others are 19th century revolutions."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Colosseum","The Colosseum","The others are 19th century structures."
"The Telegraph","The Steam Engine","The Telephone","The Compass","The Compass","The others are 19th century inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Crusades","The Crusades","The others are 19th century events related to westward expansion."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","Dante Alighieri","Dante Alighieri","The others are 19th century American authors."
"The American Civil War","The War of 1812","The Spanish-American War","The Peloponnesian War","The Peloponnesian War","The others are 19th century wars."
"The Suez Canal","The Panama Canal","The Erie Canal","The Nile River","The Nile River","The others are 19th century man-made waterways."
"The French Revolution","The American Revolution","The Haitian Revolution","The Agricultural Revolution","The Agricultural Revolution","The others are 19th century revolutions."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Parthenon","The Parthenon","The others are 19th century structures."
"The Telegraph","The Steam Engine","The Telephone","The Abacus","The Abacus","The others are 19th century inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Exodus","The Exodus","The others are 19th century events related to westward expansion."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","Homer","Homer","The others are 19th century American authors."
"The American Civil War","The War of 1812","The Spanish-American War","The Punic Wars","The Punic Wars","The others are 19th century wars."
"The Suez Canal","The Panama Canal","The Erie Canal","The Yangtze River","The Yangtze River","The others are 19th century man-made waterways."
"The French Revolution","The American Revolution","The Haitian Revolution","The Digital Revolution","The Digital Revolution","The others are 19th century revolutions."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Acropolis","The Acropolis","The others are 19th century structures."
"The Telegraph","The Steam Engine","The Telephone","The Paper","The Paper","The others are 19th century inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Oregon Treaty","The Oregon Treaty","The others are 19th century events related to westward expansion."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","Geoffrey Chaucer","Geoffrey Chaucer","The others are 19th century American authors."
"The American Civil War","The War of 1812","The Spanish-American War","The Persian Wars","The Persian Wars","The others are 19th century wars."
"The Suez Canal","The Panama Canal","The Erie Canal","The Danube River","The Danube River","The others are 19th century man-made waterways."
"The French Revolution","The American Revolution","The Haitian Revolution","The Green Revolution","The Green Revolution","The others are 19th century revolutions."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Sphinx","The Sphinx","The others are 19th century structures."
"The Telegraph","The Steam Engine","The Telephone","The Papyrus","The Papyrus","The others are 19th century inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Treaty of Tordesillas","The Treaty of Tordesillas","The others are 19th century events related to westward expansion."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","Virgil","Virgil","The others are 19th century American authors."
"The American Civil War","The War of 1812","The Spanish-American War","The Gallic Wars","The Gallic Wars","The others are 19th century wars."
"The Suez Canal","The Panama Canal","The Erie Canal","The Rhine River","The Rhine River","The others are 19th century man-made waterways."
"The French Revolution","The American Revolution","The Haitian Revolution","The Industrial Revolution","The Industrial Revolution","The others are 19th century political revolutions."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Hanging Gardens of Babylon","The Hanging Gardens of Babylon","The others are 19th century structures."
"The Telegraph","The Steam Engine","The Telephone","The Pencil","The Pencil","The others are 19th century inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Gadsden Purchase","The Gadsden Purchase","The others are 19th century events related to westward expansion."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","John Milton","John Milton","The others are 19th century American authors."
"The American Civil War","The War of 1812","The Spanish-American War","The Hundred Years' War","The Hundred Years' War","The others are 19th century wars."
"The Suez Canal","The Panama Canal","The Erie Canal","The Amazon River","The Amazon River","The others are 19th century man-made waterways."
"The French Revolution","The American Revolution","The Haitian Revolution","The Cultural Revolution","The Cultural Revolution","The others are 19th century revolutions."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Great Pyramid of Giza","The Great Pyramid of Giza","The others are 19th century structures."
"The Telegraph","The Steam Engine","The Telephone","The Printing Press","The Printing Press","The others are 19th century inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Louisiana Purchase","The Louisiana Purchase","The others are 19th century events related to westward expansion in the United States."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","William Wordsworth","William Wordsworth","The others are 19th century American poets."
"The American Civil War","The War of 1812","The Spanish-American War","The Napoleonic Wars","The Napoleonic Wars","The others are 19th century wars involving the United States."
"The Suez Canal","The Panama Canal","The Erie Canal","The Grand Canal","The Grand Canal","The others are 19th century canals."
"The French Revolution","The American Revolution","The Haitian Revolution","The Industrial Revolution","The Industrial Revolution","The others are 19th century political revolutions."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Great Wall of China","The Great Wall of China","The others are 19th century structures."
"The Telegraph","The Steam Engine","The Telephone","The Internet","The Internet","The others are 19th century communication inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Trail of Tears","The Trail of Tears","The others are 19th century events related to westward expansion."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","Charles Dickens","Charles Dickens","The others are 19th century American authors."
"The American Civil War","The War of 1812","The Spanish-American War","World War I","World War I","The others are 19th century wars."
"The Suez Canal","The Panama Canal","The Erie Canal","The Amazon River","The Amazon River","The others are 19th century man-made waterways."
"The French Revolution","The American Revolution","The Haitian Revolution","The Renaissance","The Renaissance","The others are 19th century revolutions."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Pyramids of Giza","The Pyramids of Giza","The others are 19th century structures."
"The Telegraph","The Steam Engine","The Telephone","The Wheel","The Wheel","The others are 19th century inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Silk Road","The Silk Road","The others are 19th century events related to westward expansion."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","Shakespeare","Shakespeare","The others are 19th century American authors."
"The American Civil War","The War of 1812","The Spanish-American War","The Trojan War","The Trojan War","The others are 19th century wars."
"The Suez Canal","The Panama Canal","The Erie Canal","The Mississippi River","The Mississippi River","The others are 19th century man-made waterways."
"The French Revolution","The American Revolution","The Haitian Revolution","The Scientific Revolution","The Scientific Revolution","The others are 19th century revolutions."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Colosseum","The Colosseum","The others are 19th century structures."
"The Telegraph","The Steam Engine","The Telephone","The Compass","The Compass","The others are 19th century inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Crusades","The Crusades","The others are 19th century events related to westward expansion."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","Dante Alighieri","Dante Alighieri","The others are 19th century American authors."
"The American Civil War","The War of 1812","The Spanish-American War","The Peloponnesian War","The Peloponnesian War","The others are 19th century wars."
"The Suez Canal","The Panama Canal","The Erie Canal","The Nile River","The Nile River","The others are 19th century man-made waterways."
"The French Revolution","The American Revolution","The Haitian Revolution","The Agricultural Revolution","The Agricultural Revolution","The others are 19th century revolutions."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Parthenon","The Parthenon","The others are 19th century structures."
"The Telegraph","The Steam Engine","The Telephone","The Abacus","The Abacus","The others are 19th century inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Exodus","The Exodus","The others are 19th century events related to westward expansion."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","Homer","Homer","The others are 19th century American authors."
"The American Civil War","The War of 1812","The Spanish-American War","The Punic Wars","The Punic Wars","The others are 19th century wars."
"The Suez Canal","The Panama Canal","The Erie Canal","The Yangtze River","The Yangtze River","The others are 19th century man-made waterways."
"The French Revolution","The American Revolution","The Haitian Revolution","The Digital Revolution","The Digital Revolution","The others are 19th century revolutions."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Acropolis","The Acropolis","The others are 19th century structures."
"The Telegraph","The Steam Engine","The Telephone","The Paper","The Paper","The others are 19th century inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Oregon Treaty","The Oregon Treaty","The others are 19th century events related to westward expansion."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","Geoffrey Chaucer","Geoffrey Chaucer","The others are 19th century American authors."
"The American Civil War","The War of 1812","The Spanish-American War","The Persian Wars","The Persian Wars","The others are 19th century wars."
"The Suez Canal","The Panama Canal","The Erie Canal","The Danube River","The Danube River","The others are 19th century man-made waterways."
"The French Revolution","The American Revolution","The Haitian Revolution","The Green Revolution","The Green Revolution","The others are 19th century revolutions."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Sphinx","The Sphinx","The others are 19th century structures."
"The Telegraph","The Steam Engine","The Telephone","The Papyrus","The Papyrus","The others are 19th century inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Treaty of Tordesillas","The Treaty of Tordesillas","The others are 19th century events related to westward expansion."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","Virgil","Virgil","The others are 19th century American authors."
"The American Civil War","The War of 1812","The Spanish-American War","The Gallic Wars","The Gallic Wars","The others are 19th century wars."
"The Suez Canal","The Panama Canal","The Erie Canal","The Rhine River","The Rhine River","The others are 19th century man-made waterways."
"The French Revolution","The American Revolution","The Haitian Revolution","The Industrial Revolution","The Industrial Revolution","The others are 19th century political revolutions."
"The Eiffel Tower","The Statue of Liberty","The Brooklyn Bridge","The Hanging Gardens of Babylon","The Hanging Gardens of Babylon","The others are 19th century structures."
"The Telegraph","The Steam Engine","The Telephone","The Pencil","The Pencil","The others are 19th century inventions."
"The Oregon Trail","The California Gold Rush","The Homestead Act","The Gadsden Purchase","The Gadsden Purchase","The others are 19th century events related to westward expansion."
"Edgar Allan Poe","Emily Dickinson","Walt Whitman","John Milton","John Milton","The others are 19th century American authors"
"The Beatles","The Rolling Stones","The Who","Neil Armstrong","Neil Armstrong","The others are 1960s music bands."
"JFK","Martin Luther King Jr.","Robert Kennedy","Richard Nixon","Richard Nixon","The others were assassinated in the 1960s."
"Woodstock","Monterey Pop","Altamont Free Concert","The Ed Sullivan Show","The Ed Sullivan Show","The others are 1960s music festivals."
"Mini Skirt","Bell-bottoms","Tie-dye shirts","Zoot Suit","Zoot Suit","The others are 1960s fashion trends."
"Apollo 11","Apollo 12","Apollo 14","Apollo 13","Apollo 13","The others successfully landed on the moon."
"Bob Dylan","Jimi Hendrix","Janis Joplin","Andy Warhol","Andy Warhol","The others are 1960s musicians."
"Volkswagen Beetle","Ford Mustang","Chevrolet Camaro","Boeing 747","Boeing 747","The others are 1960s cars."
"The Graduate","Easy Rider","Bonnie and Clyde","The Sound of Music","The Sound of Music","The others are 1960s American New Wave films."
"The Civil Rights Act","The Voting Rights Act","The Fair Housing Act","The Immigration Act","The Immigration Act","The others are 1960s US civil rights legislation."
"The Feminine Mystique","Silent Spring","Unsafe at Any Speed","The Catcher in the Rye","The Catcher in the Rye","The others are 1960s non-fiction books."
"Vietnam War","Cold War","Space Race","Korean War","Korean War","The others are conflicts involving the US in the 1960s."
"The Supremes","The Temptations","The Four Tops","The Beach Boys","The Beach Boys","The others are Motown groups."
"Twiggy","Jean Shrimpton","Veruschka","Marilyn Monroe","Marilyn Monroe","The others are 1960s fashion models."
"Twiggy","Jean Shrimpton","Veruschka","Marilyn Monroe","Marilyn Monroe","The others are 1960s fashion models."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling Stones","The Who","The Doors","The Doors","The others are British bands."
"The Beatles","The Rolling",,,,
"Led Zeppelin","Pink Floyd","The Rolling Stones","ABBA","ABBA","The others are British bands"
"Jaws","The Godfather","The Exorcist","Taxi Driver","Taxi Driver","The others are horror films"
"Elvis Presley","David Bowie","Elton John","Bruce Springsteen","Bruce Springsteen","The others are British artists"
"Volkswagen Beetle","Ford Pinto","AMC Gremlin","Chevrolet Camaro","Chevrolet Camaro","The others are economy cars"
"Star Wars","Jaws","The Godfather","The Exorcist","Star Wars","The others are not sci-fi movies"
"Ford Mustang","Dodge Challenger","Chevrolet Camaro","Volkswagen Beetle","Volkswagen Beetle","The others are American muscle cars"
"The Beatles","The Rolling Stones","Led Zeppelin","ABBA","ABBA","The others disbanded in the 1970s"
"Muhammad Ali","Joe Frazier","George Foreman","Jack Nicklaus","Jack Nicklaus","The others are boxers"
"The Rolling Stones","Queen","Led Zeppelin","The Who","Queen","The others did not have a film made about them"
"The Exorcist","Jaws","The Godfather","Star Wars","Star Wars","The others are based on books"
"Elvis Presley","David Bowie","Elton John","Bob Marley","Bob Marley","The others are not reggae artists"
"Volkswagen Beetle","Ford Pinto","AMC Gremlin","Toyota Corolla","Toyota Corolla","The others are not Japanese cars"
"Richard Nixon","Gerald Ford","Jimmy Carter","Margaret Thatcher","Margaret Thatcher","The others are American presidents"
"Muhammad Ali","George Foreman","Joe Frazier","Pele","Pele","The others are not footballers"
"Led Zeppelin","The Rolling Stones","The Beatles","The Bee Gees","The Bee Gees","The others are rock bands"
"The Godfather","Jaws","The Exorcist","The Texas Chainsaw Massacre","The Texas Chainsaw Massacre","The others won Academy Awards"
"David Bowie","Elton John","Elvis Presley","Frank Sinatra","Frank Sinatra","The others are not crooners"
"Ford Mustang","Dodge Challenger","Chevrolet Camaro","Ferrari 308","Ferrari 308","The others are not Italian cars"
"AMC Gremlin","Ford Pinto","Volkswagen Beetle","Porsche 911","Porsche 911","The others are not sports cars"
"Jimmy Carter","Gerald Ford","Richard Nixon","Pierre Trudeau","Pierre Trudeau","The others are not Canadian prime ministers"
