"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"Orca's Social Behavior","Dolphin's Social Behavior","Orca's Solitary Behavior","Lion's Social Behavior","Orca's Solitary Behavior","The others are social behaviors"
"Marie Curie","Linus Pauling","Richard Feynman","Albert Einstein","Albert Einstein","The others have won the Nobel Prize in more than one category."
"Onion, Garlic, Ginger, Potato, Potato, The others are spices.",,,,,
"Polio","Measles","Malaria","Hemophilia","Hemophilia","The others are infectious diseases"
"Biscotti, Shortbread, Bagel, Pretzel, Pretzel, The others are sweet.",,,,,
"Cardamom","Coriander","Bay Leaves","Cinnamon","Cinnamon","The others are green."
"Marathon","Olympics","Gladiators","Chess","Chess","The others are physical competitive events"
"Steppe","Prairie","Tundra","Rainforest","Rainforest","The others are types of grasslands"
"Homo Sapiens","Homo Neanderthalensis","Homo Floresiensis","Australopithecus","Australopithecus","The others are Homo."
"Oleander","Rhododendron","English Yew","Rosemary","Rosemary","The others are poisonous plants"
"Swordtail","Mollie","Gourami","Clownfish","Clownfish","The others are freshwater fish"
"The Boston Museum Heist","The Isabella Stewart Gardner Museum Heist","The Banco Central Heist","The Antwerp Diamond Heist","The Antwerp Diamond Heist","The others are related to art thefts."
"Triathlon","Decathlon","100m Sprint","1500m Swim","100m Sprint","The others are multi-discipline events"
"Cheese Quesadilla","Chicken Quesadilla","Cheese Pizza","Cheese Burger","Cheese Pizza","The others are served in a bun"
"Brian Griffin","Meg Griffin","Chris Griffin","Peter Griffin","Brian Griffin","The others are human characters."
"King of Pop","MJ","The Gloved One","Queen of Pop","Queen of Pop","The others are aliases for Michael Jackson"
"Mars Rover Spirit, Mars Rover Opportunity, Luna 1, Voyager 1, Voyager 1, The others are unmanned spacecrafts that landed on Mars or the Moon.",,,,,
"Mayor Quimby","Chief Wiggum","Homer","Moe Szyslak","Moe Szyslak","The others are portrayed as incompetent at their jobs."
"Right to vote, Right to public participation, Right to freedom of movement, Right to bear arms, Right to bear arms, The others are civil liberties related to democratic participation.",,,,,
"Woolsthorpe Manor","Trinity College","Harvard University","University of Oxford","Woolsthorpe Manor","The others are universities."
"Electric Can Opener","Electric Knife","Washing Machine","Electric Car","Electric Car","The others are used indoors."
"African Clawed Frog, African Dwarf Frog, Japanese Giant Salamander, African Elephant, African Elephant, The others are amphibians.",,,,,
"Bryce Canyon National Park, Capitol Reef National Park, Yellowstone National Park, Yosemite National Park, Yosemite National Park, The others are in Utah.",,,,,
"Manchego","Pecorino Romano","Mascarpone","Gorgonzola","Gorgonzola","The others are made from sheep's milk"
"obj_3: Right to freedom of movement",,,,,
"obj_4: Right to bear arms",,,,,
"odd: Right to bear arms",,,,,
"reason_for_similarity: The others are Human Rights according to the United Nations' Universal Declaration of Human Rights.",,,,,
"Forgiveness","Mercy","Vengeance","Justice","Vengeance","The others are virtues."
"Mars 3","Mars 6","Pioneer 11","Voyager 2","Voyager 2","The others are missions that did not successfully complete their mission"
"24th Amendment","26th Amendment","18th Amendment","19th Amendment","18th Amendment","The others are Amendments that expanded voting rights"
"Singapore","Vatican City","Manila","Amsterdam","Amsterdam","The others are in Asia"
"Battle of Bosworth Field","Battle of Agincourt","Battle of Lepanto","Battle of Gettysburg","Battle of Gettysburg","The others are battles from the 15th century."
"Claustrophobia","Nyctophobia","Hydrophobia","Xenophobia","Xenophobia","The others are specific phobias related to fear of certain physical conditions or situations."
"Free Healthcare","Welfare","Life Insurance","Stock Market","Stock Market","The others are forms of social security"
"Parsley","Cilantro","Basil","Mint","Mint","The others are not in the mint family."
"obj_2: Mount Elbert",,,,,
"obj_3: Mount Cook",,,,,
"obj_4: Mount Kilimanjaro",,,,,
"odd: Mount Kilimanjaro",,,,,
"reason_for_similarity: The others are in countries that are part of the Seven Summits.",,,,,
"obj_3: Pinot Grigio",,,,,
"obj_4: Chardonnay",,,,,
"odd: Chardonnay",,,,,
"reason_for_similarity: The others are red wines.",,,,,
"Assembly Line, Factory System, Telegraph, Steam Engine, Telegraph, The others are related to manufacturing process.",,,,,
"Marlin","Swordfish","Trout","Penguin","Penguin","The others are fish"
"Rhone River","Loire River","Volga River","Amazon River","Amazon River","The others are in Europe"
"Bell's wife","Bell's mother","Bell's assistant","Bell's dog","Bell's assistant","The others are Bell's family members."
"Zygomatic","Maxilla","Femur","Ribs","Femur","The others are bones in the skull"
"Black-capped Chickadee, Mountain Chickadee, Black-capped Vireo, Black-capped Flycatcher, Black-capped Flycatcher, The others are North American species.",,,,,
"Freedom of speech","Freedom of assembly","Right to bear arms","Right to vote","Right to vote","The others are freedoms explicitly protected by the First Amendment of the U.S. Constitution"
"Orca's Apex Predator Status","Lion's Apex Predator Status","Orca's Prey Status","Human's Apex Predator Status","Orca's Prey Status","The others are apex predators."
"Silk Blouse","Cotton T-shirt","Silk Scarf","Cotton Pants","Cotton T-shirt","The others are Silk material"
"Leather Gloves","Denim Gloves","Leather Jacket","Denim Jacket","Denim Gloves","The others are made of leather"
"Otto","Bart","Marge","Lisa","Otto","The others are members of the Simpson family"
"Mount Ararat","Mount Damavand","Mount Logan","Mount Vesuvius","Mount Vesuvius","The others are in North America"
"Red-spotted Newt","Eastern Newt","Jefferson Newt","African Bullfrog","African Bullfrog","The others are Newts."
"Root Beer","Ginger Beer","Chamomile Tea","Ginger Ale","Chamomile Tea","The others are carbonated"
"Newton's Reflecting Telescope","Newtonian Telescope","Galilean Telescope","Hubble Space Telescope","Hubble Space Telescope","The others are ground-based telescopes"
"Marie Curie, Michael Faraday, James Clerk Maxwell, Albert Einstein, Albert Einstein, The others are not Nobel laureates in Physics.",,,,,
"Homo Erectus, Homo Heidelbergensis, Homo Neanderthalensis, Homo Sapiens, Homo Sapiens, The others are extinct human species.",,,,,
"George Washington","John Adams","Thomas Paine","Benjamin Franklin","Thomas Paine","The others are Presidents of the United States."
"Cockatoo","Parrot","Penguin","Sparrow","Penguin","The others are songbirds."
"Olm","Hellbender","European Tree Frog","Gila Monster","Gila Monster","The others are amphibians."
"Common Frog","Marsh Frog","Chinese Giant Salamander","Axolotl","Axolotl","The others are true frogs."
"Compass, GPS, Binoculars, Telescope, Telescope, The others are used for navigation.",,,,,
"Julius Caesar","Mark Antony","Ptolemy XIII","Attila the Hun","Attila the Hun","The others are figures from the Roman era."
"Cymric","Manx","Birman","Siamese","Siamese","The others are tailless breeds of cats"
"Caesar's Reforms","Antony's Reforms","Cicero's Reforms","Augustus' Reforms","Cicero's Reforms","The others are Triumvirs."
"Pyrophobia","Hylophobia","Aerophobia","Claustrophobia","Claustrophobia","The others are phobias related to the natural elements"
"Metatarsals","Tarsals","Carpals","Femur","Femur","The others are types of short bones."
"Zucchini","Cucumber","Eggplant","Apple","Apple","The others are members of the squash family"
"Southern Alps","Remarkables","Andes","Sahara","Sahara","The others are mountain ranges"
"Hollywood Sign","Walk of Fame","Broadway","Eiffel Tower","Eiffel Tower","The others are iconic locations in the United States."
"Sodom","Gomorrah","Xanadu","Atlantis","Xanadu","The others are cities that were destroyed according to myth/religion"
"Stephen Hawking's Universe","The Universe in a Nutshell","The Grand Design","A Brief History of Time","A Brief History of Time","The others are written by Stephen Hawking and Leonard Mlodinow"
"Kiwi, Lime, Peach, Tomato, Tomato, The others are fruits that are not typically used in savory dishes.",,,,,
"Homo Neanderthalensis","Homo Denisova","Homo Sapiens","Homo Floresiensis","Homo Floresiensis","The others are archaic humans"
"Cannoli","Tiramisu","Churros","Bagel","Bagel","The others are desserts."
"Buzz Lightyear","Woody","Jessie","Bo Peep","Buzz Lightyear","The others are made of cloth"
"Beat It","Billie Jean","The Girl Is Mine","Thriller","The Girl Is Mine","The others are singles from Michael Jackson's Thriller album."
"Chicken Biscuit","Sausage Biscuit","Chicken Tenders","Chicken Noodle Soup","Chicken Noodle Soup","The others are fast food items"
"Brazilian Wandering Spider, Gooty Tarantula, Javan Rhinoceros, Emperor Scorpion, Javan Rhinoceros, The others are arachnids.",,,,,
"Lemon","Orange","Banana","Carrot","Carrot","The others are fruits"
"Pina Colada","Bloody Mary","Orange Soda","Espresso","Espresso","The others are cocktails"
"obj_3: The Treaty of Amiens",,,,,
"obj_4: The Treaty of Versailles",,,,,
"odd: The Treaty of Versailles",,,,,
"reason_for_similarity: The others are treaties signed during the Napoleonic Wars.",,,,,
"Ford Piquette Avenue Plant","Highland Park Ford Plant","Ford Rouge Plant","Ford Mustang","Ford Mustang","The others are Ford production facilities"
"Groundskeeper Willie","Janitor Scratchy","Homer","Moe","Homer","The others are characters with jobs related to cleaning"
"Motor Neurone Disease","Quantum Physics","General Relativity","Photosynthesis","Photosynthesis","The others are studied in the field of Physics"
"Dionysus","Apollo","Mars","Neptune","Neptune","The others are gods of Olympus"
"Emmental, Gruyere, Cream Cheese, Apple, Apple, The others are types of cheese.",,,,,
"Moth","Butterfly","Dragonfly","Bee","Bee","The others are types of Lepidoptera"
"Lincoln's Emancipation Proclamation, Lincoln's Gettysburg Address, Lincoln's Cooper Union Address, Lincoln's Second Inaugural Address, Lincoln's Second Inaugural Address, The others are speeches given before Lincoln's second term.",,,,,
"Meg Griffin","Chris Griffin","Lois Griffin","Peter Griffin","Meg Griffin","The others are adults."
"Green Frog","Pickerel Frog","Tiger Salamander","Red-eyed Tree Frog","Tiger Salamander","The others are true frogs."
"Water","Soda Water","Ale","Coffee","Coffee","The others are transparent."
"Martin Luther King Jr.","Rosa Parks","Elvis Presley","Malcolm X","Elvis Presley","The others are civil rights activists"
"Russell's Viper","Saw-Scaled Viper","Green Tree Python","Emerald Tree Boa","Emerald Tree Boa","The others are Vipers"
"Mars Pathfinder","Mars Global Surveyor","Pioneer Venus Multiprobe","Voyager 1","Pioneer Venus Multiprobe","The others are unmanned spacecrafts that have explored the outer planets."
"Panna Cotta","Gelato","Risotto","Tiramisu","Risotto","The others are desserts"
"Archipelago","Island","Peninsula","Mountain","Mountain","The others are surrounded by water"
"Beetle","Ladybug","Cricket","Hummingbird","Hummingbird","The others are insects"
"Pankration","Boxing","Chariot racing","Chess","Chess","The others are physical sports"
"Glossophobia","Social Phobia","Acousticophobia","Agoraphobia","Agoraphobia","The others are related to communication."
"Cumin","Coriander","Bay Leaves","Nutmeg","Nutmeg","The others are leaf spices"
"obj_3: Hot Dog",,,,,
"obj_4: Chicken Salad",,,,,
"odd: Hot Dog",,,,,
"reason_for_similarity: The others are made from chicken.",,,,,
"Radish","Beetroot","Onion","Potato","Potato","The others are roots."
"Senate","Populares","Optimates","Consul","Consul","The others are political factions in ancient Rome"
"Pyrenees","Carpathians","Atlas Mountains","Andes","Andes","The others are in Europe."
"Patella","Femur","Hyoid","Radius","Hyoid","The others are long bones"
"Elephant, Kangaroo, Rhino, Shark, Kangaroo, The others are mammals that do not lay eggs.",,,,,
"Peru","Chile","India","Japan","Japan","The others are in the Southern Hemisphere"
"Sun Tzu","Machiavelli","Nietzsche","Picasso","Picasso","The others are philosophers."
"Boni Giant Sengi","Elephant Shrew","Gooty Tarantula","African Lion","Gooty Tarantula","The others are African mammals"
"Chai Tea","Earl Grey Tea","Green Tea","Pepsi","Pepsi","The others are types of tea"
"Foot Washing Basin","Prayer Mat","Throne","Chalice","Chalice","The others are used for sitting or kneeling."
"The Jacksons","Jackson 5","The Beatles","The Osmonds","The Beatles","The others are family bands."
"Plum","Apricot","Watermelon","Banana","Banana","The others have a pit."
"Treaty of Paris","Treaty of Alliance","Olive Branch Petition","Monroe Doctrine","Monroe Doctrine","The others are related to the American Revolutionary War"
"Dubai","Hong Kong","Jakarta","Sydney","Sydney","The others are in Asia"
"Scream","You Are Not Alone","Randy Jackson","Thriller","Scream","The others are Michael Jackson's songs."
"Doberman","Rottweiler","Border Collie","Siamese Cat","Siamese Cat","The others are dog breeds"
"House Finch","Purple Finch","House Sparrow","Peregrine Falcon","Peregrine Falcon","The others are Passerine birds"
"Sweet Corn","Sweet Peas","Sweet Potato","Sweet Lime","Sweet Lime","The others are vegetables"
"Guatemalan Antigua","Costa Rican Tarrazu","Sulawesi Toraja","Darjeeling Tea","Darjeeling Tea","The others are types of coffee"
"Bolognese Sauce","Alfredo Sauce","Cannoli","French Baguette","French Baguette","The others are Italian foods."
"Israel","Saudi Arabia","China","Brazil","Brazil","The others are in Asia"
"Gnocchi","Ravioli","Salami","Baguette","Salami","The others are types of pasta"
"Koala","Kangaroo","Wombat","Bear","Bear","The others are marsupials"
"SpongeBob SquarePants","Patrick Star","Dora","Mickey Mouse","Dora","The others are characters from Nickelodeon shows."
"Genuphobia","Gonasiophobia","Pogonophobia","Arachnophobia","Gonasiophobia","The others are fears related to specific physical objects or beings."
"Eastern Box Turtle","Red Eared Slider","Veiled Chameleon","Russian Tortoise","Veiled Chameleon","The others are types of Turtles."
"Black Hole Paradox","Event Horizon","Singularity","Wormhole","Wormhole","The others are related to black holes"
"Limoncello","Grappa","Minestrone","Margherita Pizza","Margherita Pizza","The others are Italian drinks."
"Mount Damavand","Mount Ararat","Mount Etna","Lake Baikal","Lake Baikal","The others are mountains."
"Marie Curie","Richard Feynman","Robert Oppenheimer","Nikola Tesla","Nikola Tesla","The others are Nobel laureates in Physics."
"Batman","Superman","Naruto","Sherlock Holmes","Sherlock Holmes","The others are superheroes"
"Homo Sapiens","Homo Denisova","Homo Erectus","Homo Antecessor","Homo Antecessor","The others are not direct ancestors of modern humans."
"Indiana","Ohio","Washington","Paris","Paris","The others are U.S. States"
"Right to vote","Right to public participation","Right to own property","Right to bear arms","Right to bear arms","The others are civil rights."
"Marie Curie","James Watson","Rosalind Franklin","Albert Einstein","Albert Einstein","The others are Nobel laureates in Physiology or Medicine."
"Boxer","Pit Bull","German Shepherd","Chihuahua","Chihuahua","The others are large breed dogs."
"Gourami","Betta","Koi","Goldfish","Goldfish","The others are labyrinth fish"
"Newt","Toad","Frog","Salamander","Toad","The others are Amphibians that undergo metamorphosis"
"Orca Echolocation","Dolphin Echolocation","Orca Vocalization","Bat Echolocation","Orca Vocalization","The others are forms of Echolocation"
"Homo Sapiens","Homo Denisova","Homo Floresiensis","Homo Neanderthalensis","Homo Neanderthalensis","The others are discovered in Asia"
"Montana","Washington","New Jersey","California","California","The others are not coastal states"
"Declaration of Independence","Articles of Confederation","Constitution","Magna Carta","Magna Carta","The others are American documents."
"Al-Farabi","Ibn Sina","Ibn Rushd","Aristotle","Aristotle","The others are Islamic philosophers."
"Sabre","Cutlass","Katana","Crossbow","Crossbow","The others are types of swords."
"Herodotus","Thucydides","Livy","Homer","Homer","The others are historians"
"Tasmanian Devil","Tasmanian Tiger","Dhole","Bengal Tiger","Bengal Tiger","The others are not from Asia"
"Yukon River","Mackenzie River","Thames River","Amazon River","Thames River","The others are in North America"
"Limburger","Taleggio","Boursin","Cheddar","Cheddar","The others are French cheeses"
"Turnip","Radish","Carrot","Potato","Potato","The others are root crops"
"Donuts","Croissant","Scones","Baguette","Baguette","The others are sweet pastries."
"Mount Baldy","Mount Hood","Mount Everest","Mount Vesuvius","Mount Vesuvius","The others are in the United States."
"Riesling","Sauvignon Blanc","Zinfandel","Chardonnay","Zinfandel","The others are white wines"
"Mexican Altura","Colombian Supremo","Ethiopian Yirgacheffe","Darjeeling Tea","Darjeeling Tea","The others are coffee types"
"Earning a Master's degree","Building a successful startup","Going to a party","Completing a marathon","Going to a party","The others are long-term commitments"
"Sweet Potato, Yam, Pumpkin, Butternut Squash, Pumpkin, The others are tubers.",,,,,
"Turkish Van","Balinese","Ocicat","Bengal","Bengal","The others are all breeds of cats that originated from the United States."
"Lincoln's Presidential Campaign","Lincoln's Reelection","Lincoln's Vice President","Lincoln's Assassination","Lincoln's Vice President","The others are directly related to Lincoln's life events"
"Kangaroo","Wallaby","Koala","Elephant","Elephant","The others are marsupials"
"Philippine Tarsier","Tarsier Spectral","Harpy Eagle","Lemur","Harpy Eagle","The others are primates"
"American Sparrow","European Sparrow","American Goldfinch","European Starling","European Starling","The others are American birds."
"Magnolia","Orchid","Fern","Pine","Pine","The others are flowering plants"
"Tian Shan","Kunlun Mountains","Southern Alps","Mount Fuji","Mount Fuji","The others are mountain ranges."
"Stephen Hawking","Albert Einstein","Isaac Newton","Charles Darwin","Charles Darwin","The others are physicists"
"Phalanges (hand)","Metacarpals","Phalanges (foot)","Carpals","Carpals","The others are bones directly connected to the phalanges."
"Lincoln's Writings","Lincoln's Letters","Lincoln's Assassination Letter","Lincoln's Speech","Lincoln's Assassination Letter","The others are Lincoln's own words"
"Sit-ins","Freedom Rides","Women's Suffrage March","Boston Tea Party","Boston Tea Party","The others are Civil Rights movements."
"Pocahontas","Mulan","Ariel","Elsa","Elsa","The others are not royalty by birth."
"Tiana","Prince Naveen","Ariel","Moana","Prince Naveen","The others are Disney Princesses."
"Latte","Americano","Espresso","Sprite","Sprite","The others are types of coffee."
"Telegraph","Telephone","Steam Engine","Light Bulb","Light Bulb","The others are communication devices"
"Pliers","Scissors","Wire cutters","Hammer","Hammer","The others are used for cutting."
"Brownie","Blondie","Cannoli","Baguette","Baguette","The others are desserts"
"Brazil","Peru","Argentina","Egypt","Egypt","The others are in South America"
"Hooded Pitohui, Northern Quoll, Kiwi Bird, Blue Whale, Blue Whale, The others are poisonous.",,,,,
"Ichthyophobia","Selachophobia","Pediophobia","Claustrophobia","Claustrophobia","The others are phobias related to living beings."
"Chimpanzee","Gorilla","Lemur","Kangaroo","Kangaroo","The others are primates."
"Mr. Burns","Smithers","Apu","Marge","Marge","The others are employees of the Kwik-E-Mart or the Nuclear Power Plant"
"Golden Eagle","Bald Eagle","Golden Pheasant","Peregrine Falcon","Golden Pheasant","The others are Eagles."
"Building a business","Writing a book","Taking a nap","Climbing a mountain","Taking a nap","The others are activities that produce a tangible result"
"The Alamo","Gettysburg","Dunkirk","Pearl Harbor","Dunkirk","The others are in the United States"
"Pancreatic Cancer","Liver Cancer","Colon Cancer","Asthma","Asthma","The others are types of Cancer"
"Singapore","Monaco","Tokyo","Sydney","Sydney","The others are city-states"
"Right to health","Right to education","Freedom from slavery","Right to bear arms","Right to bear arms","The others are human rights outlined in the Universal Declaration of Human Rights."
"obj_3: Carrot",,,,,
"obj_4: Potato",,,,,
"odd: Carrot",,,,,
"reason_for_similarity: The others are tuberous vegetables.",,,,,
"Everglades National Park","Biscayne National Park","Joshua Tree National Park","Central Park","Central Park","The others are National Parks"
"Dhole","African Wild Dog","Boni Giant Sengi","Bengal Tiger","Boni Giant Sengi","The others are Canids"
"obj_3: Brazilian Santos",,,,,
"obj_4: Darjeeling Tea",,,,,
"odd: Darjeeling Tea",,,,,
"reason_for_similarity: The others are types of coffee beans.",,,,,
"Pennines","Scottish Highlands","Eastern Ghats","Mount Everest","Mount Everest","The others are not the highest peaks on their respective continents."
"Asparagus","Green Beans","Celery","Broccoli","Broccoli","The others are stalk vegetables"
"The Last Supper","The Baptism of Christ","Codex Leicester","The Birth of Venus","Codex Leicester","The others are paintings by Leonardo da Vinci."
"Thomas Edison","J.K. Rowling","Albert Einstein","Vincent van Gogh","Vincent van Gogh","The others are not primarily known for visual arts"
"Cleopatra's Barge","Cleopatra's Needle","Rome","Cleopatra's Pearl","Rome","The others are associated with Cleopatra."
"Brussels Sprout","Cabbage","Spinach","Potato","Potato","The others are leafy green vegetables"
"Mount Rainier","Mount Fuji","Mount Eiger","Mount Vesuvius","Mount Vesuvius","The others are not volcanically active."
"obj_3: The Great Train Robbery",,,,,
"obj_4: The Mona Lisa Theft",,,,,
"odd: The Great Train Robbery",,,,,
"reason_for_similarity: The others are jewelry heists.",,,,,
"Charlie Brown","Snoopy","Simba","Peter Parker","Peter Parker","The others are not human characters"
"Principal Skinner","Superintendent Chalmers","Maggie","Moe Szyslak","Maggie","The others are adults in The Simpsons."
"Homo Sapiens","Homo Denisova","Homo Floresiensis","Homo Neanderthalensis","Homo Sapiens","The others are extinct Homo species."
"Ant, Termite, Bee, Spider, Spider, The others are Hymenoptera.",,,,,
"Ethiopian Sidamo","Tanzanian Peaberry","Jamaican Blue Mountain","Colombian Supremo","Colombian Supremo","The others are African Coffees"
"Churros","Beignets","Trifle","Sushi","Sushi","The others are desserts."
"Washing Hands","Washing Feet","Brushing Teeth","Washing Dishes","Brushing Teeth","The others are washing tasks."
"Homo Neanderthalensis","Homo Heidelbergensis","Homo Denisova","Homo Sapiens","Homo Sapiens","The others are extinct hominids"
"Pocahontas","Mulan","Belle","Ariel","Pocahontas","The others are from European fairy tales"
"Oasis, Wetland, Desert, Forest, Desert, The others are ecosystems with abundant water.",,,,,
"Atoll","Reef","Island","Delta","Delta","The others are surrounded by water on all sides"
"The Theory of Everything","The Imitation Game","A Beautiful Mind","Interstellar","Interstellar","The others are based on real-life characters."
"Tiger","Lion","Dolphin","Cheetah","Dolphin","The others are big cats."
"obj_3: Ford Model A",,,,,
"obj_4: Chevrolet Model C",,,,,
"odd: Chevrolet Model C",,,,,
"reason_for_similarity: The others are Ford models.",,,,,
"Troy","Carthage","Shangri-La","Atlantis","Shangri-La","The others are lost cities"
"HIV","Hepatitis C","Hemophilia","Influenza","Hemophilia","The others are Viruses"
"Multiple Sclerosis","ALS","Diabetes","Migraine","Migraine","The others are chronic diseases without a known cure"
"Cinderella","Aurora","Elsa","Mulan","Mulan","The others are not warriors"
"Cannoli","Eclair","Macaron","Baguette","Baguette","The others are pastries filled with cream"
"Aristotle's Logic","Aristotelian Ethics","Aristotelian Metaphysics","Platonic Epistemology","Platonic Epistemology","The others are Aristotelian."
"This Is It","Bad 25","Marlon Jackson","Thriller 25","Marlon Jackson","The others are Michael Jackson's albums"
"Persepolis","Babylon","Athens","Jerusalem","Jerusalem","The others are ancient capitals of empires."
"Gray Tree Frog","Red-eyed Tree Frog","Red-spotted Newt","Yellow-bellied Toad","Yellow-bellied Toad","The others are arboreal (tree-dwelling) species."
"Battle of Ypres","Battle of the Somme","Battle of Leipzig","Battle of Waterloo","Battle of Leipzig","The others are battles of World War I."
"Black or White","Remember the Time","Jermaine Jackson","Thriller","Jermaine Jackson","The others are songs by Michael Jackson"
"Lisa Marie Presley","Debbie Rowe","Diana Ross","Priscilla Presley","Diana Ross","The others are ex-wives of Elvis Presley"
"Mount Elbrus","Mount Fuji","Mount McKinley","Kilimanjaro","Kilimanjaro","The others are in the Seven Summits list."
"Darjeeling Tea","Assam Tea","Rooibos Tea","Green Tea","Rooibos Tea","The others are from Camellia sinensis plant"
"obj_3: Bell's work in the United States",,,,,
"obj_4: Bell's invention of the telephone",,,,,
"odd: Bell's invention of the telephone",,,,,
"reason_for_similarity: The others are related to Bell's personal life events",,,,,
"Golden Mean","Virtue Ethics","Platonic Dualism","Quantum Physics","Quantum Physics","The others are concepts from ancient Greek philosophy."
"Stewie Griffin","Brian Griffin","Peter Griffin","Homer Simpson","Homer Simpson","The others are Griffins."
"Selkirk Rex","LaPerm","Egyptian Mau","Alaskan Malamute","Alaskan Malamute","The others are breeds of cats."
"Pompey","Crassus","Cicero","Augustus","Cicero","The others are Roman Generals."
"Ivy","Bamboo","Tulip","Oak","Bamboo","The others are types of plants with flowers"
"Congo River","Niger River","Rhine River","Amazon River","Rhine River","The others are in Africa"
"Angelfish","Discus","Guppy","Seahorse","Seahorse","The others are freshwater fish"
"Cloves","Allspice","Ginger","Pepper","Pepper","The others are baking spices"
"Lacrimal","Nasal","Mandible","Humerus","Humerus","The others are facial bones."
"Chausie","Bengal","Persian","Siamese","Siamese","The others are hybrid breeds"
"Chisel, Saw, Axe, Hammer, Hammer, The others are sharp.",,,,,
"Manx","Cymric","Siamese","Bengal","Bengal","The others are tailless cat breeds."
"Yacht","Catamaran","Canoe","Airplane","Airplane","The others are water vessels"
"Mollie","Swordtail","Pufferfish","Clownfish","Clownfish","The others are freshwater fish"
"Ice Cream Maker, Yogurt Maker, Iron, Bread Maker, Iron, The others are used for making food.",,,,,
"obj_3: Orca's Stationary Life",,,,,
"obj_4: Dolphin's Stationary Life",,,,,
"odd: Orca's Stationary Life",,,,,
"reason_for_similarity: The others are migratory behaviors.",,,,,
"obj_3: Orca's Silent Nature",,,,,
"obj_4: Bat's Echolocation",,,,,
"odd: Orca's Silent Nature",,,,,
"reason_for_similarity: The others use sound for communication.",,,,,
"Selma to Montgomery marches","March on Washington","Boston Tea Party","Women's Suffrage Parade of 1913","Boston Tea Party","The others are civil rights movements in the 20th century"
"Homo Erectus","Homo Heidelbergensis","Homo Sapiens","Homo Habilis","Homo Habilis","The others are not the first known tool makers"
"Nelson Mandela","Mahatma Gandhi","Adolf Hitler","Winston Churchill","Adolf Hitler","The others are Nobel Peace Prize laureates."
"Peas","Green Beans","Corn","Carrot","Carrot","The others are green."
"Trout","Salmon","Marlin","Eagle","Eagle","The others are types of fish"
"Route 66","Pacific Coast Highway","Wall Street","Appalachian Trail","Wall Street","The others are famous routes for road trips in the United States."
"Caesar's Will","Triumvirate","Dictatorship","Republic","Republic","The others are forms of autocracy"
"Spiny-tailed Lizard","Green Iguana","Gaboon Viper","Blue Whale","Blue Whale","The others are reptiles"
"The Peninsular War, The War of the Third Coalition, The Hundred Days, The Spanish Armada, The Spanish Armada, The others are Napoleonic Wars.",,,,,
"Yogi Bear, Boo-Boo Bear, Taz, Winnie the Pooh, Taz, The others are anthropomorphic bears.",,,,,
"Mushroom","Eggplant","Tomato","Potato","Potato","The others are non-root vegetables"
"The Banco Central Heist","The Antwerp Diamond Heist","The Isabella Stewart Gardner Museum Heist","The Great Train Robbery","The Great Train Robbery","The others are art heists"
"Crossbow","Longbow","Spear","Sword","Sword","The others are ranged weapons"
"Clownfish","Goldfish","Yellow Perch","Hummingbird","Hummingbird","The others are types of fish"
"Lincoln's Second Inaugural Address","Lincoln's First Inaugural Address","Lincoln-Douglas debates","Gettysburg Address","Lincoln-Douglas debates","The others are speeches delivered by Lincoln as President."
"Pumpkin","Squash","Melon","Cabbage","Cabbage","The others are gourds"
"Brazilian Wandering Spider","Sydney Funnel-web Spider","Wolf Spider","Tarantula","Tarantula","The others are not tarantulas"
"Battle of the Granicus","Battle of Chaeronea","Battle of Salamis","Battle of Thermopylae","Battle of Thermopylae","The others are battles won by Alexander the Great."
"Olympic National Park","North Cascades National Park","Dry Tortugas National Park","Central Park","Central Park","The others are National Parks."
"Siege of Halicarnassus","Siege of Gaza","Siege of Troy","Battle of Waterloo","Battle of Waterloo","The others are sieges."
"Great Dividing","Tasmanian Highlands","Sierra Nevada","Amazon Rainforest","Amazon Rainforest","The others are mountain ranges"
"Malbec","Pinot Noir","Riesling","Champagne","Champagne","The others are still wines"
"Mayor West","Lois Griffin","Peter Griffin","Brian Griffin","Mayor West","The others are Griffins"
"Shih Tzu","Lhasa Apso","Dalmatian","Saint Bernard","Dalmatian","The others are small dog breeds"
"Corsica","France","Russia","New Zealand","New Zealand","The others are in Europe"
"Ocicat","Bengal","Persian","Siamese","Siamese","The others are breeds of cats that originated from the United States."
"Macedonia","Persia","Egypt","Australia","Australia","The others are ancient civilizations."
"Mars Observer","Mars Climate Orbiter","Pioneer Venus Orbiter","Voyager 2","Voyager 2","The others are Mars orbiters"
"Mango","Peach","Lime","Tomato","Tomato","The others are fruits with a pit."
"Bamboo","Grass","Tulip","Cactus","Cactus","The others are vascular plants"
"obj_3: Asthma",,,,,
"obj_4: Hay Fever",,,,,
"odd: Hay Fever",,,,,
"reason_for_similarity: The others are neurodegenerative diseases",,,,,
"Roman Republic","Roman Empire","Ptolemaic Egypt","Ming Dynasty","Ming Dynasty","The others are Roman."
"obj_3: Battle of Marathon",,,,,
"obj_4: Battle of Waterloo",,,,,
"odd: Battle of Waterloo",,,,,
"reason_for_similarity: The others are battles fought by Persians.",,,,,
"Marie Curie","Johannes Kepler","Galileo Galilei","Albert Einstein","Marie Curie","The others are Astronomers."
"Beetroot","Carrot","Radish","Apple","Apple","The others are root vegetables"
