"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"Scarlet Witch, Vision, Spiderman, Black Widow, Spiderman, The others are members of the Avengers who have no superhuman abilities but gained them through artificial means.",,,,,
"Mastaba","Step Pyramid","Rosetta Stone","Great Sphinx","Rosetta Stone","The others are ancient Egyptian monuments."
"Leonardo da Vinci","Michelangelo","Rembrandt","Picasso","Picasso","The others are Renaissance artists"
"The Anaconda Plan, The March to the Sea, The Manhattan Project, The Emancipation Proclamation, The Manhattan Project, The others are related to the American Civil War.",,,,,
"Benjamin Harrison","William McKinley","Thomas Jefferson","Neil Armstrong","Neil Armstrong","The others are U.S. Presidents"
"Athens","Rome","Ankara","Tokyo","Tokyo","The others are capitals of countries in Europe"
"obj_3: French Third Republic",,,,,
"obj_4: French Fifth Republic",,,,,
"odd: French Fifth Republic",,,,,
"reason_for_similarity: The others are the first three French republics.",,,,,
"Andrew Johnson","Ulysses S. Grant","Richard Nixon","John F. Kennedy","John F. Kennedy","The others were impeached."
"The Tower of London","The British Museum","The Louvre","The Burj Khalifa","The Burj Khalifa","The others are museums"
"African elephant","African lion","Siberian tiger","African penguin","Siberian tiger","The others are African"
"Benjamin Franklin","John Adams","Louis XVI","Thomas Jefferson","Louis XVI","The others are Founding Fathers of the United States"
"Rockies","Carpathian","Alps","Himalayas","Himalayas","The others are in Europe"
"Impressionism","Cubism","Protestant Reformation","Surrealism","Protestant Reformation","The others are art movements"
"Lil Wayne","Snoop Dogg","Dr. Dre","Eminem","Eminem","The others are from the West Coast."
"Femur","Tibia","Humerus","Radius","Radius","The others are bones in the leg"
"Cleopatra","Queen Victoria","George Washington","Mahatma Gandhi","Mahatma Gandhi","The others are not Indians"
"Zinc","Cadmium","Gallium","Aluminium","Aluminium","The others are transition metals"
"Gabbro","Basalt","Marble","Chalk","Chalk","The others are igneous rocks"
"Sequoia","Oak","Banana","Rose","Banana","The others are deciduous trees"
"Justin Timberlake","U2","Coldplay","Michael Jackson","Justin Timberlake","The others are Grammy Award winners for Album of the Year."
"Canberra, Wellington, Jakarta, London, Jakarta, The others are capitals of countries in the Commonwealth of Nations.",,,,,
"Roman Senate","Roman Consul","British Parliament","U.S. President","U.S. President","The others are legislative bodies"
"Black Hole","Neutron Star","White Dwarf","Supernova","Supernova","The others are stellar remnants."
"Peanuts","Garfield","Family Circus","The Simpsons","The Simpsons","The others are comic strips"
"Bit","Byte","Pixel","Nibble","Pixel","The others are units of data storage."
"Hanbok","Kimono","Sari","Toga","Toga","The others are Asian traditional dresses"
"Young Thug","DaBaby","T.I.","Snoop Dogg","Snoop Dogg","The others are from Atlanta."
"Dexter","Breaking Bad","How I Met Your Mother","The Big Bang Theory","Dexter","The others are sitcoms."
"James Clerk Maxwell","Heinrich Hertz","Albert Einstein","Eli Whitney","Eli Whitney","The others are famous physicists."
"obj_3: Sewing Machine",,,,,
"obj_4: Steam Iron",,,,,
"odd: Sewing Machine",,,,,
"reason_for_similarity: The others are powered by steam.",,,,,
"Daffy Duck","Porky Pig","Minnie Mouse","Tom Cat","Tom Cat","The others are from Warner Bros."
"Linkin Park","Papa Roach","Fleetwood Mac","Coldplay","Fleetwood Mac","The others are Nu Metal bands"
"Gratian","Valentinian II","Nero","Constantine","Nero","The others are not from the Julio-Claudian dynasty."
"Taekwondo","Boxing","Kendo","Chess","Chess","The others are martial arts"
"Civil Rights Act of 1964","Civil Rights Act of 1957","Civil Rights Act of 1960","Voting Rights Act of 1965","Voting Rights Act of 1965","The others are Civil Rights Acts."
"Enrico Fermi","Marie Curie","Albert Einstein","Thomas Edison","Thomas Edison","The others are Nobel laureates in Physics"
"The Claimers","Hilltop Colony","The Scavengers","Alexandria","Alexandria","The others are antagonist groups in The Walking Dead."
"Nelson Mandela","Mother Teresa","Attila the Hun","Albert Einstein","Attila the Hun","The others are Nobel Peace Prize laureates"
"Potassium","Rubidium","Gallium","Hydrogen","Gallium","The others are alkali metals"
"Tomato Juice","Carrot Juice","Milk","Orange Juice","Milk","The others are fruit juices"
"Monsoon","Trade Winds","Jet Stream","Gulf Stream","Gulf Stream","The others are atmospheric winds"
"Mordor, Isengard, Rohan, Rivendell, Rivendell, The others are ruled by men.",,,,,
"Treebeard","Tom Bombadil","Radagast","Frodo Baggins","Frodo Baggins","The others are non-human characters from Middle Earth."
"Louis XVIII","Louis XVI","Louis XVII","Napoleon","Napoleon","The others are Louis of France"
"Beat Generation","Lost Generation","Harlem Renaissance","Industrial Revolution","Industrial Revolution","The others are literary and artistic movements"
"obj_3: Sahara Desert",,,,,
"obj_4: Indian Ocean",,,,,
"odd: Sahara Desert",,,,,
"reason_for_similarity: The others are Oceans.",,,,,
"The Avengers","Iron Man","The Dark Knight","Spider-Man","The Dark Knight","The others are Marvel characters."
"Gutenberg's Printing Press","Compass","Telescope","Light Bulb","Light Bulb","The others are inventions of the Renaissance period."
"Battle of Midway","Battle of Guadalcanal","Battle of Stalingrad","Battle of Hastings","Battle of Hastings","The others are battles in World War II."
"Albariño (Spain)","Tempranillo (Spain)","Albariño (Portugal)","Chardonnay (France)","Tempranillo (Spain)","The others are Albariño."
"Agile","Scrum","Python","Java","Java","The others are methodologies in software development"
"Galapagos","Falkland Islands","Bermuda","New Zealand","New Zealand","The others are British Overseas Territories."
"The Seven Mile Bridge","The Itaipu Dam","The New River Gorge Bridge","The Eiffel Tower","The Eiffel Tower","The others are in the Americas."
"Violin","Cocaine","Morphine","Guitar","Guitar","The others are illegal drugs."
"Metallica","Slayer","Queen","The Beatles","The Beatles","The others are heavy metal bands"
"Animal Farm","1984","The Great Gatsby","To Kill a Mockingbird","To Kill a Mockingbird","The others are written by British authors."
"Lyre","Aulos","Harp","Guitar","Aulos","The others are string instruments"
"Captain Cold","Reverse Flash","The Flash","Green Lantern","Green Lantern","The others are primarily Flash villains."
"Septimius Severus","Caracalla","Trajan","Marcus Aurelius","Trajan","The others are related by blood."
"Mr. Burns","Smithers","Chief Wiggum","Lisa Simpson","Lisa Simpson","The others are adult male characters in The Simpsons"
"RV","Pontiac Aztek","Chrysler 300 SRT8","Honda Civic","RV","The others are passenger cars"
"Ashanti Empire","Zulu Kingdom","Roman Empire","Hanseatic League","Hanseatic League","The others are located in Africa"
"Sycamore","London Plane","Pine","Maple","Pine","The others are deciduous trees."
"North America","South America","Asia","Australia","Australia","The others are in the Northern Hemisphere"
"Vespasian","Titus","Marcus Aurelius","Julius Caesar","Julius Caesar","The others are Flavian Emperors."
"Designated Hitter","Pinch Runner","Baseball Glove","Football Helmet","Football Helmet","The others are baseball positions."
"Nile Crocodile","Saltwater Crocodile","Komodo Dragon","Gila Monster","Gila Monster","The others are native to Indonesia."
"Wall-E","Up","Inglourious Basterds","Toy Story","Inglourious Basterds","The others are Pixar movies."
"Orchid, Lily, Pine, Maple, Pine, The others are flowering plants.",,,,,
"Robert De Niro","Dustin Hoffman","Johnny Depp","Meryl Streep","Meryl Streep","The others are male."
"The Matrix","The Matrix Revolutions","Speed","John Wick","Speed","The others are Keanu Reeves movies"
"Great Barrier Reef","Amazon Rainforest","Lake Baikal","Mount Everest","Mount Everest","The others are bodies of water"
"The Birth of Venus","Venus and Mars","The Night Watch","Mona Lisa","Mona Lisa","The others are by Dutch artists."
"Goku","Vegeta","Naruto","Spiderman","Spiderman","The others are anime characters"
"Cactus","Fern","Pine Tree","Moss","Cactus","The others are non-desert plants"
"George Orwell","Aldous Huxley","Charles Dickens","Ernest Hemingway","Ernest Hemingway","The others are British authors."
"Schumann","Beethoven","Vivaldi","Picasso","Picasso","The others are classical composers"
"Ernest O. Lawrence","Maria Goeppert-Mayer","Gabriel Garcia Marquez","Albert Einstein","Gabriel Garcia Marquez","The others are Nobel laureates in Physics"
"French First Republic","French Second Republic","French Consulate","French Revolution","French Revolution","The others are forms of government in France"
"The Pieta by Michelangelo","The Discobolus of Myron","The Starry Night","The Persistence of Memory by Salvador Dali","The Starry Night","The others are sculptures"
"Central Powers, Allied Powers, Axis Powers, United Nations, United Nations, The others are military alliances during World Wars.",,,,,
"Normandy","Iwo Jima","Sydney","Stalingrad","Sydney","The others are World War II battle sites"
"The Angel of North","Ushiku Daibutsu","Christ Redeemer","The Mona Lisa","The Mona Lisa","The others are statues."
"Bipartisan","Partisan","Nonpartisan","Multicellular","Multicellular","The others are related to political affiliation"
"Green Bay Packers","Pittsburgh Steelers","Dallas Cowboys","New England Patriots","New England Patriots","The others are in the National Football Conference (NFC)."
"Djoser","Khufu","Hyksos","Cleopatra","Hyksos","The others are Egyptian rulers."
"Tragedy Plays","Comedy Plays","Mystery Plays","Biographical Plays","Biographical Plays","The others are fictional."
"Black Panther","Spiderman","Doctor Strange","Iron Man","Iron Man","The others are not humans"
"The Venus of Willendorf","The Statue of Zeus at Olympia","The Lincoln Memorial","The Great Pyramid of Giza","The Great Pyramid of Giza","The others are sculptures."
"Berlin Wall","Iron Curtain","Eiffel Tower","Great Wall","Eiffel Tower","The others are walls."
"Rudyard Kipling","Winston Churchill","Ernest O. Lawrence","Isaac Newton","Isaac Newton","The others are Nobel laureates."
"John F. Kennedy","Lyndon B. Johnson","Richard Nixon","Winston Churchill","Winston Churchill","The others are U.S. Presidents."
"Louis Braille","Alexander Graham Bell","Thomas Edison","Isaac Newton","Isaac Newton","The others are inventors of communication devices"
"Dacite","Rhyolite","Chert","Granite","Chert","The others are types of igneous rocks"
"RAID","SCSI","HDMI","USB","HDMI","The others are storage interfaces"
"Senate","Consul","Pharaoh","Emperor","Emperor","The others are not monarchs"
"Gorilla Grodd","Sinestro","Wonder Girl","Bruce Wayne","Bruce Wayne","The others are super-powered."
"Nanjing Road","Wangfujing","Grafton Street","Times Square","Times Square","The others are not located in the United States"
"The Nazca Lines","The Uffington White Horse","The Voynich Manuscript","The Rosetta Stone","The Uffington White Horse","The others are undeciphered or untranslated."
"Quark","Rom","Data","Worf","Data","The others are Ferengi"
"Mount Rushmore","The Grand Canyon","The Louvre","The Great Wall of China","The Louvre","The others are in the USA"
"Justin Bieber","Selena Gomez","Imagine Dragons","Ed Sheeran","Ed Sheeran","The others are Americans"
"Sunflower","Rose","Oak Tree","Carrot","Carrot","The others are primarily pollinated"
"obj_3: Gymnastics Chalk",,,,,
"obj_4: Gymnastics Mat",,,,,
"odd: Gymnastics Chalk",,,,,
"reason_for_similarity: The others are pieces of gymnastics equipment you can physically perform exercises on.",,,,,
"Bruins","Sabres","Canucks","Patriots","Patriots","The others are NHL teams"
"Banana","Coconut","Oak","Rose","Rose","The others are types of trees"
"Brachiosaurus","Stegosaurus","Triceratops","Megalodon tooth","Megalodon tooth","The others are herbivorous dinosaurs"
"4x100m Relay","4x400m Relay","1500m","100m Sprint","1500m","The others are relay races"
"Skateboarding","Snowboarding","Mountain Biking","Scuba Diving","Scuba Diving","The others are board sports."
"Microeconomics","Macroeconomics","Econometrics","Astrophysics","Astrophysics","The others are branches of Economics"
"Brock Cantillo","Holly White","Walter White Jr","Jesse Pinkman","Jesse Pinkman","The others are children."
"Vector","Matrix","Set","Array","Set","The others are data structures that maintain order of elements"
"Ancient Japan","Ancient China","Ancient Rome","Ancient Greece","Ancient Rome","The others are Asian civilizations"
"The Ushiku Daibutsu","The Angel of the North","The Girl with a Pearl Earring","The Statue of Liberty","The Girl with a Pearl Earring","The others are large outdoor sculptures."
"Stockholm Syndrome","Cognitive Dissonance","Bipolar Disorder","Schizophrenia","Schizophrenia","The others are mood disorders."
"Gregor Mendel","James Watson","Nikola Tesla","Charles Darwin","Nikola Tesla","The others are known for their contributions to biology."
"Book of Gates","Book of Caverns","Lotus","Book of Dead","Lotus","The others are books"
"Sea Cucumber, Jellyfish, Lobster, Starfish, Lobster, The others are Echinoderms.",,,,,
"Egyptian Pyramids","Mayan Pyramids","Roman Colosseum","Angkor Wat","Roman Colosseum","The others are ancient temples"
"Maurya Empire","Persian Empire","Mayan Empire","Aztec Empire","Aztec Empire","The others are Asian Empires."
"Plesiosaur","Mosasaur","Woolly rhinoceros","Saber-toothed tiger","Woolly rhinoceros","The others are marine reptiles."
"John Hancock","Robert Morris","King Louis XVI","Benjamin Franklin","King Louis XVI","The others are signers of the United States Declaration of Independence."
"Red Raspberry","Black Raspberry","Yellow Peach","Blueberry","Blueberry","The others are raspberries"
"Hadrian","Trajan","Constantine","Augustus","Augustus","The others are not part of the Five Good Emperors"
"Lemon Tea, Green Tea, Coffee, Hot Chocolate, Coffee, The others are types of tea.",,,,,
"Hawkman","Cyborg","Black Adam","Green Arrow","Green Arrow","The others are from alien origin."
"Lute, Harpsichord, Saxophone, Violin, Saxophone, The others are string instruments.",,,,,
"The Sumerian King List","The Code of Hammurabi","The Lion Man of the Hohlenstein Stadel","The Epic of Gilgamesh","The Lion Man of the Hohlenstein Stadel","The others are ancient Mesopotamian texts"
"Alexander the Great","Genghis Khan","Nelson Mandela","Steve Jobs","Steve Jobs","The others are historical military leaders."
"Hershel Greene","Maggie Greene","Rick Grimes","Daryl Dixon","Daryl Dixon","The others are from Greene family in The Walking Dead."
"Phaser","Tricorder","Communicator","Lightsaber","Lightsaber","The others are Star Trek technology"
"Delphi","Olympia","Rome","Alexandria","Rome","The others are in Greece."
"Collective Unconscious","Archetypes","Conditioned Stimulus","Personal Unconscious","Conditioned Stimulus","The others are concepts from Jungian Psychology."
"John Legend, Ed Sheeran, Maroon 5, Adele, Adele, The others are all male artists.",,,,,
"The Hunger Games","Divergent","The Catcher in the Rye","The Great Gatsby","The Great Gatsby","The others are dystopian novels."
"Joey Tribbiani","Chandler Bing","Mike Hannigan","Ross Geller","Mike Hannigan","The others are roommates in Friends."
"Art Deco","Art Nouveau","Impressionism","French Revolution","French Revolution","The others are Art Movements."
"Baker Street","221B","Scotland Yard","Wall Street","Wall Street","The others are related to Sherlock Holmes."
"Tom","Jerry","Scooby Doo","Mickey Mouse","Mickey Mouse","The others are Hanna-Barbera characters"
"Magna Carta","Bill of Rights","Constitution of the United States","Eiffel Tower","Eiffel Tower","The others are historical documents"
"Queen Isabella I","Queen Elizabeth I","George Washington","King Louis XIV","King Louis XIV","The others are not monarchs by birthright"
"obj_3: Baseball Bat",,,,,
"obj_4: Football Helmet",,,,,
"odd: Football Helmet",,,,,
"reason_for_similarity: The others are Baseball equipment.",,,,,
"The Triple Entente","The Triple Alliance","The Non-Aligned Movement","The United Nations","The United Nations","The others are alliances formed during World War I."
"Venice Canals","Amsterdam Canals","The Nile River","Sahara Desert","Sahara Desert","The others are bodies of water"
"The Persistence of Memory","Guernica","The Arnolfini Portrait","The Starry Night","The Arnolfini Portrait","The others are painted by Spanish artists"
"The Velvet Underground","The Stooges","Muse","Pink Floyd","Muse","The others are American bands"
"Nero","Caligula","Marcus Aurelius","Julius Caesar","Marcus Aurelius","The others are Julio-Claudian Emperors"
"Containment","Domino Theory","Sputnik Launch","Bay of Pigs Invasion","Bay of Pigs Invasion","The others are related to the Cold War policy."
"Seven of Nine","Data","Worf","Spock","Seven of Nine","The others are from Star Trek: The Original Series"
"Toby Keith, Trace Adkins, Katy Perry, Bob Dylan, Bob Dylan, The others are Country Singers.",,,,,
"Erwin Rommel","George S. Patton","Albert Einstein","Charles de Gaulle","Albert Einstein","The others are military generals."
"Chives","Scallions","Garlic","Cloves","Cloves","The others are Allium genus plants"
"Valley of the Kings","Valley of the Queens","Cartouche","Great Sphinx of Giza","Cartouche","The others are archaeological sites in Egypt"
"Ethiopian Christianity","Coptic Christianity","Roman Catholicism","Islam","Islam","The others are forms of Christianity"
"The Doors","The Who","Pearl Jam","Mozart","Mozart","The others are rock bands."
"obj_3: Beef Bourguignon",,,,,
"obj_4: Chicken Tikka Masala",,,,,
"odd: Chicken Tikka Masala",,,,,
"reason_for_similarity: The others are Italian dishes.",,,,,
"Gerrymandering","Redistricting","Census","Voter Registration","Voter Registration","The others are methods of manipulating political boundaries"
"Maslow's Hierarchy of Needs, Pavlov's Dogs, Skinner's Box, Freud's Psychosexual Stages, Freud's Psychosexual Stages, The others are related to behaviorism.",,,,,
"U-boat, Bismarck, HMS Hood, Titanic, Titanic, The others are military vessels.",,,,,
"The Birth of Venus","American Gothic","The Persistence of Memory","Starry Night","Starry Night","The others are not by Van Gogh."
"Loving v. Virginia","Heart of Atlanta Motel Inc. v. United States","Roe v. Wade","The Civil Rights Act of 1964","The Civil Rights Act of 1964","The others are Supreme Court cases"
"The Decameron","The Divine Comedy","Macbeth","The Picture of Dorian Gray","The Picture of Dorian Gray","The others are written by authors who are not English."
"Julia Child","Jacques Pepin","Ken Hom","Gordon Ramsay","Gordon Ramsay","The others are not British."
"Zorbing","Sphereing","Canoeing","Bouldering","Bouldering","The others are activities involving a spherical object"
"Corn","Wheat","Apple","Gold","Gold","The others are crops"
"Booster Gold","Shazam","Solomon Grundy","Wolverine","Wolverine","The others are DC Comics characters."
"Chicago Bears","Green Bay Packers","Miami Dolphins","New York Yankees","New York Yankees","The others are NFL teams"
"obj_3: Carolina Panthers",,,,,
"obj_4: Detroit Lions",,,,,
"odd: Detroit Lions",,,,,
"reason_for_similarity: The others are in the AFC (American Football Conference)",,,,,
"War Machine","Iron Man","Hulk","Thor","Thor","The others are human beings."
"Nile River, Amazon River, Mount Vesuvius, Lake Victoria, Mount Vesuvius, The others are bodies of water.",,,,,
"Pusha T","YG","Ludacris","Dua Lipa","Dua Lipa","The others are American rappers."
"obj_3: Aikido",,,,,
"obj_4: Chess",,,,,
"odd: Chess",,,,,
"reason_for_similarity: The others are martial arts.",,,,,
"Arms Race","Space Race","Bay of Pigs Invasion","Cuban Missile Crisis","Bay of Pigs Invasion","The others are Cold War confrontations between the US and USSR."
"War and Peace","Anna Karenina","Pride and Prejudice","The Great Gatsby","The Great Gatsby","The others are written by authors who were not American."
"Christ the Redeemer","The Great Sphinx","Winged Victory of Samothrace","The Statue of Liberty","The Statue of Liberty","The others are ancient statues."
"Wiz Khalifa","Rick Ross","Big Sean","Bruno Mars","Bruno Mars","The others are rappers"
"Mitosis","Meiosis","Photosynthesis","Transcription","Photosynthesis","The others are types of cell division."
"Mount Fuji","Mount Kilimanjaro","Uluru","Sahara Desert","Sahara Desert","The others are mountains"
"The Entombment","The Coronation of the Virgin","The Scream","Starry Night","The Scream","The others are painted by Italian artists"
"The Enlightenment","Romanticism","Neoclassicism","Cubism","Cubism","The others are 18th century movements."
"Korean Cuisine","Japanese Cuisine","French Cuisine","Thai Cuisine","Thai Cuisine","The others are based on countries that are members of the G7."
"The Terror of War","The Burning Monk","The Hindenburg Disaster","The Moon Landing","The Moon Landing","The others are tragedies."
"Chord Progression","Key Change","Time Signature Change","Melody Creation","Melody Creation","The others are changes in music composition."
"Arctic Ocean","Tasman Sea","Atlantic Ocean","Sahara Desert","Sahara Desert","The others are bodies of water."
"Grand Canyon","Yellowstone National Park","Mediterranean Sea","Mount Everest","Mediterranean Sea","The others are located in the United States."
"African Tribal Wars","Mfecane","World War II","The Cold War","The Cold War","The others are conflicts that occurred within a single continent"
"Declaration of the Rights of Man and Citizen","Civil Constitution of the Clergy","Napoleonic Code","The United States Constitution","The United States Constitution","The others are French legal documents"
"Atlantic Ocean","Caribbean Sea","Pacific Ocean","Sahara Desert","Sahara Desert","The others are bodies of water"
"Medici Family","Borgia Family","Tudor Family","Windsor Family","Windsor Family","The others are Italian Renaissance families"
"Bald Eagle","Golden Eagle","Peregrine Falcon","Sparrow","Sparrow","The others are birds of prey."
"Martian Manhunter","Superman","Batman","Wonder Woman","Martian Manhunter","The others are founding members of Justice League in comic books"
"Nerva","Trajan","Nero","Julius Caesar","Julius Caesar","The others are from the Five Good Emperors."
"Legato","Staccato","Vibrato","Crescendo","Crescendo","The others are articulation techniques in music."
"Deerstalker hat","Pipe","Magnifying glass","Violin","Violin","The others are commonly used by Sherlock Holmes in detective work"
"The Clash","Sex Pistols","Radiohead","The Beatles","Radiohead","The others are punk rock bands"
"Linux","Windows","Android","macOS","Android","The others are desktop operating systems"
"The Reichenbach Fall","The Final Problem","A Scandal in Bohemia","The Adventure of the Blue Carbuncle","The Adventure of the Blue Carbuncle","The others are Sherlock Holmes stories featuring Professor Moriarty."
"Benjamin Franklin","Thomas Edison","Louis Pasteur","Albert Einstein","Louis Pasteur","The others are Americans"
"Seattle Seahawks","Philadelphia Eagles","Denver Broncos","New York Yankees","New York Yankees","The others are NFL teams"
"Presidential Debate","State of the Union Address","Inauguration Speech","Nobel Prize Acceptance Speech","Nobel Prize Acceptance Speech","The others are speeches given by U.S. Presidents."
"Power Loom","Steam Engine","Telephone","Light Bulb","Light Bulb","The others are inventions of the Industrial Revolution"
"Cyprus","Crete","Malta","Iceland","Iceland","The others are Mediterranean islands."
"Andes","Himalayas","Alps","Atlantic Ocean","Atlantic Ocean","The others are mountain ranges"
"Treaty of Tordesillas","Treaty of Westphalia","Magna Carta","Declaration of Independence","Magna Carta","The others are peace treaties."
"DNA","Protein","Lipid","Glucose","Glucose","The others are macromolecules"
"Dallas Cowboys","Houston Texans","Philadelphia Eagles","New England Patriots","New England Patriots","The others are in states that were part of the Confederate States during the American Civil War"
"Jackson Pollock","Mark Rothko","Andy Warhol","Salvador Dali","Salvador Dali","The others are associated with Abstract Expressionism"
"The Palantir, The Silmarils, The Arkenstone, The One Ring, The Palantir, The others are objects of desire that cause corruption and downfall.",,,,,
"Charlemagne","Louis XIV","William the Conqueror","William Shakespeare","William Shakespeare","The others are monarchs."
"Flames","Panthers","Penguins","Orca","Orca","The others are sports teams in the National Hockey League."
"Ginger Ale","Sprite","Orange Juice","Milk","Milk","The others are carbonated."
"Carbon","Silicon","Phosphorus","Neon","Neon","The others are nonmetals"
"Napoleon, Hitler, Churchill, Gandhi, Gandhi, The others are wartime leaders of their countries.",,,,,
"William J. Clinton","George W. Bush","John Adams","Benjamin Franklin","Benjamin Franklin","The others are U.S. Presidents."
"Vanadium","Niobium","Chromium","Copper","Copper","The others are transition metals."
"Hank Williams Jr.","Merle Haggard","Drake","Johnny Cash","Drake","The others are country music artists."
"San Francisco 49ers","Kansas City Chiefs","Miami Dolphins","New York Yankees","New York Yankees","The others are NFL teams"
"To Kill a Mockingbird","The Catcher in the Rye","The Hobbit","Moby Dick","Moby Dick","The others are set in fictional places"
"Telephone","Telegraph","Spinning Jenny","Radio","Spinning Jenny","The others are communication devices"
"The Golden Pince-Nez","The Missing Three-Quarter","The Abbey Grange","The Valley of Fear","The Missing Three-Quarter","The others are Sherlock Holmes novels."
"The Sunshine Skyway Bridge","The Tacoma Narrows Bridge","The Bosphorus Bridge","The London Bridge","The London Bridge","The others are suspension bridges"
"Dandelion","Sunflower","Oak","Cactus","Cactus","The others are not desert plants"
"Hangul","Kanji","Latin","Binary","Binary","The others are writing systems used by humans"
"Mean","Median","Mode","Range","Range","The others are measures of central tendency"
"Impeachment, Resignation, Assassination, Election, Election, The others are methods of removing a person from a position of power.",,,,,
"Triad","Seventh Chord","Scale","Ostinato","Ostinato","The others are types of chords."
"Morcilla","Black Pudding","Chorizo","Pancetta","Pancetta","The others are types of blood sausage"
"Buenos Aires","Cordoba","New York","Sydney","Sydney","The others are in Americas"
"Hangzhou Bay Bridge, Oresund Bridge, Severn Bridge, Golden Gate Bridge, Golden Gate Bridge, The others are not in countries that are permanent members of the United Nations Security Council.",,,,,
"Fossilized fern","Fossilized flower","Saber-toothed tiger fang","Fossilized dinosaur bone","Saber-toothed tiger fang","The others are plant fossils."
"Julia Roberts","Sandra Bullock","Natalie Portman","Meryl Streep","Meryl Streep","The others have won an Oscar for Best Actress in a Leading Role."
"Recession","Depression","Inflation","Growth","Growth","The others are economic downturns"
"Auschwitz","Dachau","The Louvre","The Hermitage","The Louvre","The others are WWII concentration camps"
"Larch","Tamarack","Oak","Ivy","Ivy","The others are types of trees"
"Rodeo Drive","Fifth Avenue","Sunset Boulevard","Wall Street","Wall Street","The others are in California"
"Nick Fury","Maria Hill","Thor","Tony Stark","Tony Stark","The others are not billionaires."
"Blackhawks","Red Wings","Canadiens","Patriots","Patriots","The others are NHL teams"
"Elisha Otis","Alexander Graham Bell","Thomas Edison","Albert Einstein","Albert Einstein","The others are American inventors"
"Heinrich Himmler","Hermann Göring","Dwight D. Eisenhower","Winston Churchill","Dwight D. Eisenhower","The others are not Americans."
"Edvard Munch","Grant Wood","Georgia O'Keeffe","Pablo Picasso","Pablo Picasso","The others are American artists."
"Feudalism","Manorialism","Monarchy","Democracy","Democracy","The others are forms of non-democratic governance."
"Family Circus","Cathy","Calvin and Hobbes","Garfield","Garfield","The others are not cats."
"obj_3: Game of Thrones",,,,,
"obj_4: The Crown",,,,,
"odd: The Crown",,,,,
"reason_for_similarity: The others are American television series.",,,,,
"Neo","Thomas A. Anderson","Morpheus","Trinity","Morpheus","The others are alter egos of the same person"
"Werner Heisenberg","Max Planck","Isaac Newton","Albert Einstein","Albert Einstein","The others are not Nobel Laureates in Physics"
"Valentinian I","Valens","Augustus","Nero","Augustus","The others are Gothic War emperors"
"Rio de Janeiro","Sao Paulo","Rome","Sydney","Sydney","The others are in the Southern Hemisphere"
"John Wilkes Booth","Lewis Powell","Lee Harvey Oswald","James Earl Ray","Lewis Powell","The others are known for assassinating U.S. presidents."
"Indiana Pacers, Chicago Bulls, LA Lakers, New York Yankees, New York Yankees, The others are NBA teams.",,,,,
"The Sistine Chapel","St. Peter's Basilica","The Uffizi Gallery","The Louvre","The Uffizi Gallery","The others are located in Vatican City"
"Edgar Allan Poe","H.P. Lovecraft","Mark Twain","J.K. Rowling","J.K. Rowling","The others are 19th century authors."
"Rugby Sevens","Football","Long Jump","Chess","Chess","The others are physical sports"
"The Usual Suspects","American Beauty","The Departed","The Dark Knight","The Dark Knight","The others are winners of the Best Picture Oscar"
"Grover Cleveland","Benjamin Harrison","Jimmy Carter","Franklin Roosevelt","Franklin Roosevelt","The others are non-consecutive presidents."
"Freestyle Wrestling","Greco-Roman Wrestling","Judo","800m Sprint","800m Sprint","The others are combat sports"
"Marigold","Daisy","Maple","Sunflower","Maple","The others are flowers"
"SPQR","Pax Romana","Magna Carta","US Constitution","Magna Carta","The others are related to Ancient Rome"
"The Great Gatsby","The Catcher in the Rye","Moby Dick","The Old Man and the Sea","The Old Man and the Sea","The others are set in the United States."
"Silk Road","Trans-Siberian Railway","Panama Canal","Mount Everest","Mount Everest","The others are trade routes"
"Kalahari","Thar","Atacama","Great Basin","Great Basin","The others are in the Eastern Hemisphere"
"Buckingham Palace, Windsor Castle, St. Peter's Basilica, The White House, St. Peter's Basilica, The others are British royal residences.",,,,,
"Mustard Gas","Machine Gun","Atomic Bomb","Kitchen Knife","Kitchen Knife","The others are weapons of war."
"Meiji Restoration","Edo Period","French Revolution","American Revolution","French Revolution","The others are periods of significant change in Japanese history."
"Gabriel Garcia Marquez","Bob Dylan","Carl Wieman","Isaac Newton","Isaac Newton","The others are Nobel Prize winners."
"Ancient Greece","Ancient Rome","Ancient China","Stonehenge","Stonehenge","The others are ancient civilizations"
"Vera Rubin","Carl Sagan","Gregor Mendel","Albert Einstein","Albert Einstein","The others are not primarily known for their work in theoretical physics."
"Algebra","Geometry","Calculus","Poetry","Poetry","The others are branches of Mathematics"
"Galileo Galilei","Isaac Newton","William Shakespeare","Albert Einstein","William Shakespeare","The others are physicists"
"Banyan","Peepal","Oak","Rose","Rose","The others are types of trees."
"The Discobolus","Winged Victory of Samothrace","The Statue of Liberty","The Colossus of Rhodes","The Statue of Liberty","The others are ancient Greek sculptures."
"Marshall Plan, Truman Doctrine, Space Race, Cuban Missile Crisis, Space Race, The others are related to Cold War policies.",,,,,
"Obsidian","Pumice","Sandstone","Diamond","Diamond","The others are igneous rocks."
"Ruby Grapefruit","Pink Grapefruit","Yellow Passionfruit","Red Apple","Yellow Passionfruit","The others are types of Grapefruit"
"obj_3: Friends",,,,,
