Luke Skywalker,Anakin Skywalker,Han Solo
The Palantir,The Silmarils,The Arkenstone
Charlemagne,Louis XIV,William Shakespeare
Jet Stream,Trade Winds,Gulf Stream
Flames,Panthers,Penguins
Ginger Ale,Sprite,Orange Juice
Carbon,Silicon,Phosphorus
Napoleon,Hitler,Churchill
Merle Dixon,Daryl Dixon,Rick Grimes
William J. Clinton,George W. Bush,John Adams
Vanadium,Niobium,Chromium
Ewoks,Wookiees,Tusken Raiders
Hank Williams Jr.,Merle Haggard,Drake
San Francisco 49ers,Kansas City Chiefs,Miami Dolphins
Chainmail,Plate Armor,Tunic
To Kill a Mockingbird,The Catcher in the Rye,The Hobbit
Telephone,Telegraph,Spinning Jenny
The Golden Pince-Nez,The Missing Three-Quarter,The Abbey Grange
The Last Supper,The Baptism of Christ,The Persistence of Memory
The Sunshine Skyway Bridge,The Tacoma Narrows Bridge,The Bosphorus Bridge
Grape Juice,Apple Juice,Milk
Dandelion,Sunflower,Oak
Hangul,Kanji,Latin
Mean,Median,Mode
Impeachment,Resignation,Assassination
Triad,Seventh Chord,Scale
The High Bridge,The Rama VIII Bridge,The Peace Bridge
Constantine,Julian,Claudius
Morcilla (Blood Sausage),Black Pudding,Chorizo
Sous-vide,Poaching,Baking
Battle of Bunker Hill,Battle of Lexington,French Revolution
Buenos Aires,Cordoba,New York
The Hangzhou Bay Bridge,The Oresund Bridge,The Severn Bridge
Fossilized fern,Fossilized flower,Saber-toothed tiger fang
Julia Roberts,Sandra Bullock,Natalie Portman
Recession,Depression,Inflation
Great Barrier Reef,Red Sea Coral Reef,Amazon River
Auschwitz,Dachau,The Louvre
Grilling,Baking,Roasting
Larch,Tamarack,Oak
Rodeo Drive,Fifth Avenue,Sunset Boulevard
Terminus Cannibals,The Saviors,The Kingdom
Nick Fury,Maria Hill,Thor
Blackhawks,Red Wings,Canadiens
The Governor,Negan,Rick Grimes
Elisha Otis,Alexander Graham Bell,Thomas Edison
Trajan's Column,Arch of Constantine,Statue of Liberty
Heinrich Himmler,Hermann Göring,Dwight D. Eisenhower
Edvard Munch,Grant Wood,Georgia O'Keeffe
Feudalism,Manorialism,Monarchy
Family Circus,Cathy,Calvin and Hobbes
The Good Place,Parks and Recreation,Game of Thrones
Coriander,Cilantro,Ginger
Neo,Thomas A. Anderson,Morpheus
Harry Potter,The Hobbit,To Kill a Mockingbird
Kylo Ren,Darth Maul,General Grievous
Werner Heisenberg,Max Planck,Isaac Newton
Valentinian I,Valens,Augustus
Rio de Janeiro,Sao Paulo,Rome
John Wilkes Booth,Lewis Powell,Lee Harvey Oswald
Indiana Pacers,Chicago Bulls,LA Lakers
The Sistine Chapel,St. Peter's Basilica,The Uffizi Gallery
The Matrix,Matrix Code,The Matrix Revolutions
Battle of Valmy,Battle of Waterloo,Battle of Jemappes
Edgar Allan Poe,H.P. Lovecraft,Mark Twain
Rugby Sevens,Football,Long Jump
The Usual Suspects,American Beauty,The Departed
Grover Cleveland,Benjamin Harrison,Jimmy Carter
Freestyle Wrestling,Greco-Roman Wrestling,800m Sprint
Marigold,Daisy,Maple
SPQR,Pax Romana,Magna Carta
The Great Gatsby,The Catcher in the Rye,Moby Dick
Richard P. Feynman,Julian Schwinger,Desmond Tutu
Silk Road,Trans-Siberian Railway,Panama Canal
Kalahari,Thar,Atacama
The Buckingham Palace,The Windsor Castle,The St. Peter's Basilica
Mustard Gas,Machine Gun,Atomic Bomb
Indian Ocean,Southern Ocean,East China Sea
Bessemer Process,Open Hearth Furnace,Power Loom
Meiji Restoration,Edo Period,French Revolution
Gabriel Garcia Marquez,Bob Dylan,Carl Wieman
Ancient Greece,Ancient Rome,Ancient China
Joey Tribbiani,Chandler Bing,Carol Willick
Forrest Gump,The Lion King,Pulp Fiction
Vera Rubin,Carl Sagan,Gregor Mendel
Algebra,Geometry,Calculus
Galileo Galilei,Isaac Newton,William Shakespeare
Wingsuit Flying,Skydiving,Snowboarding
Banyan,Peepal,Oak
The Discobolus,Winged Victory of Samothrace,The Statue of Liberty
Marshall Plan,Truman Doctrine,Space Race
Obsidian,Pumice,Sandstone
Ruby Grapefruit,Pink Grapefruit,Yellow Passionfruit
The Witcher,Game of Thrones,Friends
Gladius,Pilum,Katana
American Beauty (1999),Gladiator (2000),Inception (2010)
Paul Bocuse,Joël Robuchon,Rick Bayless
Aragorn,Legolas,Gimli
Octave,Fifth,Tonic
Emily Bronte,Charlotte Bronte,Jane Austen
Brazilian Jiu Jitsu,Judo,Capoeira
Ibis,Stork,Eagle
Souvlaki,Moussaka,Enchiladas
The Parthenon,The Acropolis,The Amazon Rainforest
Baroque,Rococo,French Revolution
Mead,Ale,Water
Silver Blaze,The Cardboard Box,The Yellow Face
Jane Margolis,Andrea Cantillo,Lydia Rodarte-Quayle
Bacchus and Ariadne,The Rape of Europa,American Gothic
Reign of Terror,Committee of Public Safety,National Convention
The Birth of Venus,Primavera,The School of Athens
Chandler Bing,Ross Geller,Phoebe Buffay
Incisors,Canines,Molars
Council of Trent,Peace of Augsburg,Treaty of Tordesillas
Ethiopian Cuisine,Indian Cuisine,British Cuisine
Arctic Ocean,Atlantic Ocean,Barents Sea
Green Anaconda,Reticulated Python,Green Iguana
Black Death,Spanish Flu,Industrial Revolution
Guernica,The Persistence of Memory,The Birth of Venus
Alexander Fleming,Louis Pasteur,Isaac Newton
Herbert Hoover,Franklin D. Roosevelt,Donald Trump
Cherry Blossom,Apple Blossom,Pine
Joule,Watt,Newton
Galileo Galilei,Nicolaus Copernicus,Thomas Edison
Owl,Bat,Snake
Spinning Jenny,Cotton Gin,Steamboat
Vietnamese Cuisine,Thai Cuisine,American Cuisine
Porgs,Ewoks,Womp Rats
Gymnastics Vault,Gymnastics Springboard,Gymnastics Rope
Pierre Gagnaire,Alain Ducasse,Emeril Lagasse
Champs-Élysées,Orchard Road,Broadway
Charlemagne,Constantine,William Shakespeare
Toronto,Vancouver,Seoul
The Hound,The Mountain,Bronn
Steamboat,Steam Locomotive,Cotton Gin
The Wall,Winterfell,King's Landing
Phoebe Buffay,Rachel Green,Janice Litman
Magnesium,Calcium,Aluminum
Nikita Khrushchev,Leonid Brezhnev,Richard Nixon
The Colossus of Rhodes,The Terracotta Army,The Sistine Chapel ceiling
Mansa Musa,Sundiata Keita,Alexander the Great
Iris,Cornea,Retina
Chocolate Eclair,Cream Puff,Jello
Mount Everest,K2,Nile River
Battle of the Somme,Battle of Verdun,Battle of Waterloo
James Meredith,Ruby Bridges,Neil Armstrong
Rialto Bridge,Ponte Vecchio,Millau Viaduct
Hanoi,Phnom Penh,Seoul
Eowyn,Arwen,Galadriel
Inertia,Momentum,Force
Dark Matter,Dark Energy,Antimatter
Enigma Machine,Radar,Television
The Game,2 Chainz,Common
The Statue of Liberty,The Lincoln Memorial,The Sydney Opera House
The Twins,The Agents,The Keymaker
Starfire,Raven,Deadshot
Willow,Poplar,Cedar
Avenida Paulista,Calle Florida,Park Avenue
Harriet Tubman,Frederick Douglass,Martin Luther King Jr.
The White House,The Capitol Building,Buckingham Palace
Thomas Paine,Patrick Henry,Voltaire
Mount Kilimanjaro,Mount Fuji,Lake Victoria
Rudolf Diesel,Karl Benz,George Stephenson
Pigeon,Dove,Falcon
The Old Man and the Sea,Moby Dick,War and Peace
Millard Fillmore,Franklin Pierce,Ronald Reagan
Thomas Gainsborough,Joshua Reynolds,Mary Cassatt
Cyclops,Hawkeye,Captain Marvel
Corsica,Sardinia,Elba
The Girl with a Pearl Earring,Mona Lisa,The Scream
Milk,Beer,Wine
Woodrow Wilson,William Howard Taft,George W. Bush
Polynomial,Quadratic equation,Logarithm
Senet,Mehen,Shabti
Madonna of the Meadow,The Annunciation,The Night Watch
Blitzkrieg,Kamikaze,Operation Overlord
Poaching,Simmering,Grilling
Java,Borneo,Luzon
Gymnastics Trampoline,Gymnastics Ribbon,Gymnastics Hoop
Water,Soda,Wine
Horcrux,Portkey,Invisibility Cloak
Doonesbury,Dilbert,Peanuts
The Scream,Guernica,The Persistence of Memory
Houston Rockets,Dallas Mavericks,Boston Celtics
Thor,Loki,Thanos
Indian Ocean,Arctic Ocean,Adriatic Sea
Minstrel,Bard,Knight
New York,London,Mount Fuji
Beorn,Bombur,Bifur
Dead Sea,Mariana Trench,Great Blue Hole
Dugout,Bullpen,Baseball Bat
Krav Maga,Boxing,Kendo
Declaration of the Rights of Man,Civil Constitution of the Clergy,Napoleonic Code
The Dead Sea,The Great Salt Lake,The Grand Canyon
Marlon Brando,Anthony Hopkins,Leonardo DiCaprio
Roman Baths,Roman Villas,Medieval Castles
Basalt,Andesite,Sandstone
Baklava,Moussaka,Tiramisu
Seventh Inning Stretch,Batting Practice,Baseball Glove
Robert Fulton,James Watt,Benjamin Franklin
The Dark Knight Rises,Interstellar,Braveheart
Nitrogen,Phosphorus,Sulfur
Green Tea,Black Tea,Coffee
Maximilien Robespierre,Louis Antoine de Saint-Just,Georges Danton
Emmanuelle Charpentier,Jennifer Doudna,Liu Xiaobo
The Motherland Calls,The Little Mermaid,The Great Sphinx
Bacchus and Ariadne,The Rape of Europa,American Gothic
Quarter Note,Half Note,Dotted Quarter Note
Pumpkin Pie,Pecan Pie,Trifle
Trench Foot,Shell Shock,PTSD
Bengal Tiger,Siberian Tiger,Bengal Cat
Shaka Zulu,Cetshwayo kaMpande,Napoleon Bonaparte
Middle Kingdom,New Kingdom,Rosetta Stone
Sushi,Ramen,Pizza
Neutrino,Photon,Electron
Johnny Depp,Helena Bonham Carter,Orlando Bloom
Macrinus,Elagabalus,Augustus
Snow Leopard,Clouded Leopard,Snowy Owl
Agent Smith,Agent Brown,Agent Jones
Capoeira,Samba,Karate
Fossilized fish,Fossilized squid,Dinosaur eggshell
Vivaldi,Bach,Beethoven
Machu Picchu,Chichen Itza,The White House
Braising,Stewing,Sauteing
Gothic Revival,Neoclassicism,Civil Rights Movement
Fossilized starfish,Fossilized trilobite,Dinosaur feather
Lucille (Negan's Bat),Rick's Colt Python,Carl's Hat
Aurora Borealis,Aurora Australis,Iguazu Falls
The Loch Ness Monster,The First Photograph,Raising a Flag over the Reichstag
Fossilized pine cone,Fossilized seed,Fossilized dinosaur tooth
Stock,Bond,Commodity
Beijing,Shanghai,Moscow
Manhattan Project,Trinity Test,Apollo Program
Brad Paisley,Keith Urban,Ed Sheeran
Badger,Combo,Todd Alquist
Antoninus Pius,Marcus Aurelius,Vespasian
Grey's Anatomy,ER,The Simpsons
Prime number,Composite number,Negative number
The Birth of Venus,The Creation of Adam,The Persistence of Memory
Popeye,Olive Oyl,Betty Boop
Tapestry,Mosaic,Scroll
Thomas Jefferson,James Madison,Abraham Lincoln
The Golden Gate Bridge,The Empire State Building,The Kremlin
Robert Koch,Louis Pasteur,Neil deGrasse Tyson
Captain Atom,Firestorm,Nightcrawler
Bora Bora,The Maldives,The Sahara Desert
The Venus of Willendorf,The Venus de Milo,The Last Supper
Toronto Raptors,Vancouver Grizzlies,LA Lakers
Helen Mirren,Julianne Moore,Charlize Theron
Francis Crick,James Watson,Thomas Edison
Dolly Parton,Kenny Rogers,Michael Jackson
Kiwi,Emu,Pelican
The Great Barrier Reef,The Amazon Rainforest,The Colosseum
Syrah (France),Grenache (France),Syrah (South Africa)
The Crown,Downton Abbey,Stranger Things
Hank Schrader,Steve Gomez,Skyler White
Sheet Music,Tablature,MIDI
Battle of Valmy,Battle of Jemappes,Battle of Trafalgar
Blitzkrieg,Kamikaze,Trench warfare
Atom,Molecule,Ion
Simmering,Boiling,Grilling
Ganges River,Nile River,Australia
Adolf Hitler,Benito Mussolini,Winston Churchill
Lunar Eclipse,Solar Eclipse,Meteor Shower
Chestnut,Walnut,Fir
Owl,Hawk,Parrot
Pine,Fir,Maple
Atomic Bomb,V2 Rocket,Enigma Machine
Starfleet,Klingon Empire,Romulan Empire
Emancipation Proclamation,Thirteenth Amendment,Declaration of Independence
The Venus of Hohle Fels,The Venus of Lespugue,The Ishtar Gate
Thutmose,Ramses,Rosetta Stone
Tom Hanks,Kevin Spacey,Matthew McConaughey
American Indian Movement,Chicano Movement,Prohibition
Tsing Ma Bridge,Forth Bridge,Pont Alexandre III
The Statue of David,The Venus of Milo,Christ the Redeemer
Thurgood Marshall,Earl Warren,Richard Nixon
Shiraz (Australia),Cabernet Sauvignon (Australia),Cabernet Sauvignon (Chile)
Chiffon Cake,Sponge Cake,Ice Cream
Brontosaurus,Diplodocus,Dire wolf skull
Ancient Babylon,Ancient Sumer,Ancient Rome
Sémillon (Australia),Shiraz (Australia),Sémillon (France)
The Big Lebowski,Fargo,Goodfellas
Cairo,Johannesburg,Madrid
Pacific Ocean,Indian Ocean,Bering Sea
The Sugar Act,The Tea Act,The Corn Laws
Fugu (Pufferfish),Sannakji (Live Octopus),Haggis
Amazon Rainforest,Sahara Desert,Pacific Ocean
Carpathian,Rockies,Himalayas
Mirror of Erised,Marauder's Map,Time Turner
BMX,Mountain Biking,Whitewater Rafting
Teak,Mahogany,Fir
Atacama,Gobi,Mojave
The Catcher in the Rye,To Kill a Mockingbird,The Hobbit
Meryl Streep,Katharine Hepburn,Jennifer Lawrence
Fluorine,Chlorine,Argon
Simba,Mufasa,Baloo
The Pieta,The Thinker,The Terracotta Army
North America,Europe,Australia
Mount Everest,K2,Pacific Ocean
Rhaegal,Viserion,Nymeria
Saul Goodman,Mike Ehrmantraut,Todd Alquist
The Pieta by Michelangelo,The Last Judgment,The Night Watch
Cappuccino,Mocha,Tea
Flames,Oilers,Maple Leafs
Havana,Kingston,Nassau
The Yardbirds,Cream,Red Hot Chili Peppers
Navel Orange,Blood Orange,Blueberries
Tokyo,Beijing,Sydney
Jupiter,Saturn,Neptune
Newfoundland,Prince Edward Island,Tasmania
Ancient Egypt,Ancient India,Ancient China
J.D. Salinger,Harper Lee,John Grisham
Sonoran,Sahara,Namib
Gymnastic Club,Gymnastic Ribbon,Gymnastic Shoes
Searing,Grilling,Poaching
Dobby,Kreacher,Hedwig
Bauhaus,Art Nouveau,Protestant Reformation
Iron Curtain,Berlin Wall,Domino Theory
Aqueduct,Circus Maximus,Great Wall
Marcus Aurelius,Julius Caesar,Albert Einstein
Pop Fly,Ground Ball,Baseball Helmet
Oracle of Delphi,Pythia,Vestal Virgin
Grand Canyon,Amazon Rainforest,Venice Canals
The Matrix,Lord of the Rings: The Fellowship of the Ring,Gladiator
Abraham Lincoln,Jefferson Davis,George Washington
Fencing,Archery,Gymnastics
Ice Sailing,Windsurfing,Mountain Unicycling
Syncopation,Off-beat,On-beat
JavaScript,TypeScript,Swift
Doctor Strange,Scarlet Witch,Hulk
The Dancing Men,The Valley of Fear,The Five Orange Pips
Storming of the Bastille,Women's March on Versailles,Battle of Waterloo
Iaido,Kendo,Taekwondo
Bessemer Process,Open Hearth Furnace,Power Loom
Sequoia,Redwood,Palm
Anubis,Osiris,Nile River
Archaeopteryx,Pterodactyl,Saber-toothed tiger
Darth Vader,Emperor Palpatine,Boba Fett
The Bruce-Partington Plans,The Dying Detective,The Devil's Foot
Karate,Jiu Jitsu,Muay Thai
Bourbon,Scotch,Beer
Solar Flare,Aurora,Comet
Ray Bradbury,Isaac Asimov,Ernest Hemingway
Nas,Biggie Smalls,Ice Cube
Montgomery Bus Boycott,Birmingham Campaign,Cuban Missile Crisis
Ethernet,Wi-Fi,Bluetooth
African Lion,Mountain Lion,Sea Lion
Rick Stein,Delia Smith,Ferran Adrià
Turkish Cuisine,Greek Cuisine,Mexican Cuisine
Aggressive Inline Skating,Skateboarding,Free Diving
Lemon Tart,Apple Tart,Chocolate Mousse
Arctic Hare,Snowshoe Hare,Arctic Fox
Ben Affleck,Matt Damon,Casey Affleck
Guns N' Roses,Motley Crue,U2
Rockies,Carpathian,Great Dividing
Ducks,Penguins,Sharks
Swing State,Red State,Blue State
The Pictish Stones,The Stonehenge,The Tomb of the Leopards
AT-AT,AT-ST,TIE Fighter
Sandra Bullock,George Clooney,Julia Roberts
Brahms,Wagner,Handel
Hawaii,Maui,Fiji
Capitals,Coyotes,Jets
Giant Panda,Red Panda,Giant Anteater
"Id, Ego, Superego",Operant Conditioning,Positive Reinforcement
John Steinbeck,F. Scott Fitzgerald,George R. R. Martin
