"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"The Sagrada Familia","The St. Basil's Cathedral","The Lincoln Memorial","The Sydney Opera House","The Lincoln Memorial","The others are religious buildings"
".docx",".xlsx",".jpg",".mp3",".mp3","The others are file formats primarily used for visual content"
"Moon","Sun","Mars","Venus","Sun","The others are planets"
"Mona Lisa","The Last Supper","Starry Night","The Persistence of Memory","Starry Night","The others are painted by Leonardo da Vinci"
"Modern Pentathlon","Decathlon","Triple Jump","100m Sprint","Triple Jump","The others are multi-event competitions"
"Namib","Patagonian","Atacama","Sahara","Sahara","The others are in South America"
"Washington Wizards","Toronto Raptors","LA Lakers","Manchester United","Manchester United","The others are NBA teams."
"Joey Tribbiani","Ross Geller","Phoebe Buffay","Monica Geller","Joey Tribbiani","The others are siblings"
"Oslo","Copenhagen","Helsinki","Stockholm","Stockholm","The others are capital cities of countries that are members of the European Union"
"Peach Cobbler","Apple Cobbler","Blueberry Cobbler","Pudding","Pudding","The others are types of cobbler."
"Romulus","Remus","Hercules","Dionysus","Dionysus","The others are demigods from Roman mythology."
"Million Dollar Baby (2004)","The Artist (2011)","Avatar (2009)","The Dark Knight (2008)","The Dark Knight (2008)","The others are Best Picture Oscar winners"
"Roman bath","Villa","Pyramid","The Great Wall","The Great Wall","The others are structures associated with individual or small group use."
"obj_3: Gubernatorial Election",,,,,
"obj_4: Electoral College",,,,,
"odd: Electoral College",,,,,
"reason_for_similarity: The others are types of direct elections.",,,,,
"Sri Lanka","Madagascar","Borneo","Greenland","Greenland","The others are tropical islands."
"Addition","Subtraction","Integration","Multiplication","Multiplication","The others are operations in Calculus"
"Christmas Truce","Zimmermann Telegram","Treaty of Ghent","Declaration of Independence","Declaration of Independence","The others are related to World War I"
"SPQR","Roman Numerals","Hieroglyphics","Morse Code","SPQR","The others are systems of communication"
"Hercules","Achilles","Beowulf","King Arthur","King Arthur","The others are demigods."
"obj_3: Milky Way",,,,,
"obj_4: Grand Canyon",,,,,
"odd: Grand Canyon",,,,,
"reason_for_similarity: The others are astronomical phenomena.",,,,,
"Tornado","Tsunami","Hurricane","Earthquake","Earthquake","The others are atmospheric disturbances"
"The Kiss by the Hotel de Ville","The Last Supper","The Birth of Venus","Starry Night","Starry Night","The others are not by Vincent van Gogh"
"Anne Hathaway","Hugh Jackman","Christian Bale","Robert Downey Jr.","Robert Downey Jr.","The others are Oscar hosts."
"Sistine Chapel","Uffizi Gallery","Louvre Museum","Guggenheim Museum","Guggenheim Museum","The others are in Europe"
"Mayor Quimby","Chief Wiggum","Marge Simpson","Bart Simpson","Bart Simpson","The others are adults in the show ""The Simpsons""."
"obj_3: J.R.R. Tolkien",,,,,
"obj_4: Charles Dickens",,,,,
"odd: Charles Dickens",,,,,
"reason_for_similarity: The others are 20th-century authors.",,,,,
"Gamma Rays","X-Rays","Microwaves","Radio Waves","Microwaves","The others are Ionizing radiation."
"Franklin D. Roosevelt","Harry S. Truman","Bill Clinton","George Washington","George Washington","The others are 20th-century presidents"
"The School of Athens","The Transfiguration","Guernica","The Starry Night","The Starry Night","The others are painted by Renaissance artists"
"Pearl Harbor, Hiroshima, Titanic, Apollo 13, Apollo 13, The others are related to water disasters.",,,,,
"Dennis the Menace","Family Circus","Doonesbury","The Far Side","The Far Side","The others are not single-panel comic strips."
"Black Sabbath","Deep Purple","The Beatles","Oasis","Oasis","The others are formed in 60s."
"North America","Asia","Australia","Antarctica","Antarctica","The others are inhabited continents."
"Africa","Australia","North America","Antarctica","Antarctica","The others are populated continents"
"Lion Man of the Hohlenstein Stadel","Venus de Milo","The Behistun Inscription","The Rosetta Stone","Lion Man of the Hohlenstein Stadel","The others are inscriptions"
"Albert Schweitzer","Desmond Tutu","Paul L. Modrich","Marie Curie","Paul L. Modrich","The others are Nobel Peace Prize laureates"
"The Lewis Chessmen","The Moai Statues","The Ishtar Gate","The Rosetta Stone","The Lewis Chessmen","The others are inscribed with text."
"Tasmania","New Zealand","Madagascar","Greenland","Greenland","The others are islands in the Southern Hemisphere."
"Michonne","Carol Peletier","Negan","Rick Grimes","Negan","The others are original members of the Atlanta survivor group in The Walking Dead."
"The Nebuchadnezzar","The Logos","The Hammer","The Mjolnir","The Mjolnir","The others are ships in The Matrix series."
"Marmaduke","Garfield","Dennis the Menace","Snoopy","Dennis the Menace","The others are comic strip dogs"
"Sumatra","Sulawesi","Baffin Island","Java","Baffin Island","The others are Indonesian Islands"
"The Zombies","The Animals","Kings of Leon","The Beatles","The Beatles","The others are named after non-human entities."
"The Directory","The Consulate","The Monarchy","The Corporation","The Corporation","The others are forms of government"
"Flint","Chert","Diorite","Granite","Granite","The others are sedimentary rocks"
"Los Pollos Hermanos","Car Wash","A1A Car Wash","Grey Matter","Grey Matter","The others are businesses in Breaking Bad"
"Sahara","Namib","Thar","Amazon","Amazon","The others are deserts"
"Chalk","Coal","Peridotite","Graphite","Graphite","The others are sedimentary rocks"
"Aspen","Cottonwood","Cedar","Oak","Oak","The others are softwoods."
"Rockies","Ural","Atlas","Andes","Andes","The others are named after mythological figures"
"obj_3: Green Kiwi",,,,,
"obj_4: Red Apple",,,,,
"odd: Red Apple",,,,,
"reason_for_similarity: The others are tropical fruits.",,,,,
"Louis Pasteur","Robert Koch","Niels Bohr","Isaac Newton","Niels Bohr","The others are known for their contributions to the field of biology."
"obj_3: Raymond Blanc",,,,,
"obj_4: Nigella Lawson",,,,,
"odd: Nigella Lawson",,,,,
"reason_for_similarity: The others are male chefs",,,,,
"The Venus de Milo","The Statue of David","The Birth of Venus","The Thinker","The Thinker","The others are depictions of mythological figures."
"Ant-Man, Wasp, Spiderman, Hulk, Hulk, The others are insects.",,,,,
"Rome","Vatican City","Lisbon","Sydney","Sydney","The others are European cities."
"Manila","Jakarta","Singapore","Sydney","Sydney","The others are in Southeast Asia"
"Salvador Dali","Joan Miro","Frida Kahlo","Leonardo da Vinci","Leonardo da Vinci","The others are Spanish artists."
"Committee of Public Safety","National Convention","Estates-General","The Declaration of the Rights of Man and Citizen","The Declaration of the Rights of Man and Citizen","The others are governing bodies during the French Revolution."
"Alder","Birch","Pine","Oak","Oak","The others are pioneer species"
"Ariel","Ursula","Cinderella","Rapunzel","Ursula","The others are princesses."
"The Musgrave Ritual","The Crooked Man","The Resident Patient","The Final Problem","The Final Problem","The others are not Sherlock Holmes stories involving a crime."
"Volleyball, Basketball, Weightlifting, Chess, Chess, The others are physical sports.",,,,,
"Stormtrooper, Clone Trooper, Rebel Soldier, Darth Vader, Darth Vader, The others are soldiers.",,,,,
"Bruno Mars","Lady Gaga","Rihanna","Ed Sheeran","Ed Sheeran","The others are American artists"
"Saul Goodman","Jimmy McGill","Kim Wexler","Mike Ehrmantraut","Mike Ehrmantraut","The others are lawyers"
"The Sarcophagus of Ahiram","The Sarcophagus of Tutankhamun","The Chauvet Cave","The Rosetta Stone","The Chauvet Cave","The others are artifacts with inscriptions"
"Gatorade","Powerade","Coffee","Red Bull","Coffee","The others are sports drinks"
"The Little Mermaid","The Charging Bull","The Girl with a Pearl Earring","The Starry Night","The Charging Bull","The others are works of art."
"Confucianism","Taoism","Christianity","Atheism","Atheism","The others are religions"
"The Pazzi Conspiracy","The Sack of Rome","The French Revolution","The Boston Tea Party","The Boston Tea Party","The others are events that occurred in Europe"
"Angle bisector, Median of a triangle, Radius of a circle, Height of a triangle, Radius of a circle, The others are line segments associated with triangles.",,,,,
"Levee en Masse","Conscription","Emigres","Taxation","Emigres","The others are forms of government mandates"
"Constantius II","Julian","Vespasian","Marcus Aurelius","Marcus Aurelius","The others are not considered as one of the Five Good Emperors of Rome."
"The Proclamation of 1763, The Quebec Act, The Emancipation Proclamation, The Stamp Act, The Emancipation Proclamation, The others are acts passed by the British Parliament.",,,,,
"Garfield","Marmaduke","Calvin and Hobbes","Snoopy","Snoopy","The others are comic strips that feature human characters."
"Blondie","Cathy","Popeye","Batman","Batman","The others are comic strip characters"
"C Major","A Minor","G Minor","F Sharp Major","F Sharp Major","The others are natural keys"
"Alfred Nobel","Marie Curie","James Watt","Albert Einstein","James Watt","The others are Nobel Prize laureates"
"Einstein's Tongue","Guerrillero Heroico","Bliss","Mona Lisa","Einstein's Tongue","The others are iconic images."
"Rutherford B. Hayes","James A. Garfield","Bill Clinton","Thomas Jefferson","Thomas Jefferson","The others were presidents after the Civil War."
"Jaqen H'ghar, The Waif, Melisandre, Ned Stark, Ned Stark, The others are associated with the Faceless Men.",,,,,
"Trade Deficit","Trade Surplus","Trade Agreement","Trade Wind","Trade Wind","The others are related to economic trade"
"Sun Tzu","Machiavelli","Leonardo Da Vinci","Isaac Newton","Isaac Newton","The others are from Italy."
"Foul Ball","Home Run","Baseball Glove","Ice Skate","Ice Skate","The others are related to baseball"
"Reba McEntire","Kelly Clarkson","Beyonce","Whitney Houston","Reba McEntire","The others are winners of Grammy Award for Best Female Pop Vocal Performance"
"Street Luging, Downhill Skateboarding, Ice Climbing, Bungee Jumping, Ice Climbing, The others are gravity sports performed on wheels.",,,,,
"CPI","PPI","GDP","NASDAQ","NASDAQ","The others are economic indicators not directly tied to a stock market index"
"Chicken Parmesan","Beef Bourguignon","Sushi","French Fries","Sushi","The others are cooked in a sauce"
"Pinotage (South Africa)","Chenin Blanc (South Africa)","Pinotage (New Zealand)","Chardonnay (France)","Chardonnay (France)","The others are types of Pinotage"
"Atlantic Ocean","Indian Ocean","Andaman Sea","Lake Superior","Lake Superior","The others are saltwater bodies"
"Firewall","Antivirus","Photoshop","Encryptor","Photoshop","The others are security software"
"Nubian Pyramids","Aztec Pyramids","Mayan Pyramids","Egyptian Pyramids","Aztec Pyramids","The others are located in Africa"
"Cinnamon","Allspice","Rosemary","Mint","Mint","The others are bark spices"
"South America","North America","Europe","Antarctica","Antarctica","The others are continents"
"The Colosseum","The Great Wall of China","The Brandenburg Gate","The Eiffel Tower","The Eiffel Tower","The others are ancient structures."
"The Christ the Redeemer Statue","The Statue of Liberty","The CN Tower","The Eiffel Tower","The CN Tower","The others are statues"
"Keanu Reeves","Laurence Fishburne","Sandra Bullock","Johnny Depp","Johnny Depp","The others are cast members of the movie ""The Matrix""."
"Sewing Machine","Power Loom","Steam Hammer","Telescope","Telescope","The others are industrial machines"
"Siege Tower","Battering Ram","Horse","Crossbow","Horse","The others are siege weapons."
"Mariah Carey","Whitney Houston","Kanye West","Bob Dylan","Bob Dylan","The others are Grammy winners for Best Contemporary R&B Album"
"obj_3: Blake Lively",,,,,
"obj_4: Hugh Jackman",,,,,
"odd: Hugh Jackman",,,,,
"reason_for_similarity: The others are in the movie Deadpool.",,,,,
"Carl Wieman","Eric A. Cornell","Wolfgang Ketterle","Kofi Annan","Kofi Annan","The others are Nobel laureates in Physics."
"Cabinet","Congress","Parliament","Judiciary","Judiciary","The others are legislative bodies"
"Popeye","B.C.","Beetle Bailey","Garfield","Garfield","The others are human characters"
"The Disc of Phaistos","The Rongorongo Tablets","The Terracotta Army","The Rosetta Stone","The Terracotta Army","The others are undeciphered scripts."
"Kid Cudi","J. Cole","Lil Kim","Madonna","Madonna","The others are hip hop artists."
"Dilbert","Doonesbury","The Far Side","Peanuts","The Far Side","The others are office-based comics."
"The Beatles","The Rolling Stones","Ariana Grande","Ludwig van Beethoven","Ludwig van Beethoven","The others are popular music artists from the 20th and 21st centuries"
"Kingdom of Aksum","Kingdom of Kush","Kingdom of Mali","Kingdom of England","Kingdom of England","The others are African Kingdoms"
"The West Wing","House of Cards","The Witcher","Breaking Bad","The Witcher","The others are American TV shows."
"Commodus","Caracalla","Augustus","Nero","Nero","The others are not involved in the Year of the Five Emperors."
"AC/DC","Aerosmith","Blink-182","Coldplay","Coldplay","The others are rock bands"
"The Maldives","Santorini","The Great Wall of China","Mount Everest","Mount Everest","The others are all at sea level"
"obj_3: Marshall Plan",,,,,
"obj_4: United Nations",,,,,
"odd: Marshall Plan",,,,,
"reason_for_similarity: The others are international organizations.",,,,,
"Gymnastic Wristbands","Gymnastic Handguards","Gymnastic Trampoline","Gymnastic Leotard","Gymnastic Trampoline","The others are worn on the body"
"Thomas Jefferson","Benjamin Franklin","Albert Einstein","Isaac Newton","Isaac Newton","The others are Americans."
"Yorktown","Saratoga","Waterloo","Pearl Harbor","Pearl Harbor","The others are battles in the Napoleonic Wars."
"Jane Goodall","Dian Fossey","Rachel Carson","Steve Irwin","Steve Irwin","The others are female conservationists"
"Holodeck","Replicator","Shuttlecraft","Tricorder","Tricorder","The others are used for transportation or creating environments."
"Bessemer Process","Open Hearth Furnace","Steamboat","Electric Locomotive","Steamboat","The others are methods of steel production"
"Beethoven","Chopin","Bach","Einstein","Einstein","The others are classical composers."
"Paul Klee","Wassily Kandinsky","Claude Monet","Pablo Picasso","Pablo Picasso","The others are associated with expressionism"
"Mahatma Gandhi","Martin Luther King Jr.","Adolf Hitler","Nelson Mandela","Adolf Hitler","The others are recipients of the Nobel Peace Prize"
"Spitfire","Hurricane","Tiger Tank","Bismarck","Bismarck","The others are land vehicles"
"South America","Africa","Australia","Antarctica","Antarctica","The others are habitable"
"obj_3: Baseball Cap",,,,,
"obj_4: Tennis Racket",,,,,
"odd: Tennis Racket",,,,,
"reason_for_similarity: The others are associated with Baseball.",,,,,
"Robespierre","Danton","Lafayette","Napoleon","Napoleon","The others are leaders of the French Revolution"
"Vanilla","Almond Extract","Sage","Mint","Sage","The others are used in baking."
"Dubai","Abu Dhabi","Athens","Sydney","Athens","The others are in countries where Arabic is an official language."
"Squirrel","Rabbit","Bird","Kangaroo","Kangaroo","The others are small mammals"
"Joey Tribbiani","Ross Geller","Mike Hannigan","Chandler Bing","Mike Hannigan","The others are roommates of Joey Tribbiani"
"Ushabti","Canopic Jars","Demotic","Rosetta Stone","Demotic","The others are physical artifacts from ancient Egypt."
"Faubourg Saint-Honoré","Via Condotti","Gran Via","Times Square","Times Square","The others are located in Europe"
"Circle","Ellipse","Square","Triangle","Square","The others are round"
"obj_3: The Office",,,,,
"obj_4: Breaking Bad",,,,,
"odd: Breaking Bad",,,,,
"reason_for_similarity: The others are based on books.",,,,,
"Desmond Tutu","Jimmy Carter","John Nash","Elon Musk","Elon Musk","The others are Nobel Prize winners"
"Athens","Thessaloniki","Moscow","Sydney","Sydney","The others are in Europe"
"Winston Churchill","Ernest Miller Hemingway","Richard P. Feynman","Albert Einstein","Albert Einstein","The others are Nobel laureates"
"Handball","Water Polo","Hammer Throw","Volleyball","Hammer Throw","The others are team sports."
"The Source","The Door","The Key","The Map","The Source","The others are used for navigation"
"The Motherland Calls","The Pieta","The Discobolus of Myron","The Mona Lisa","The Motherland Calls","The others are Italian art pieces."
"French Revolution","Russian Revolution","Industrial Revolution","Scientific Revolution","Scientific Revolution","The others are political revolutions."
"Power Loom","Steam Engine","Telephone","Light Bulb","Light Bulb","The others are inventions of the Industrial Revolution"
"The X-Files, Twin Peaks, The Office, Breaking Bad, The Office, The others are dramas with elements of mystery and suspense.",,,,,
"Colosseum","Pantheon","Parthenon","Eiffel Tower","Eiffel Tower","The others are ancient Roman or Greek structures."
"Moussaka, Souvlaki, Beef Stroganoff, Paella, Beef Stroganoff, The others are traditional Mediterranean dishes.",,,,,
"The Armistice of 11 November 1918, The Treaty of Versailles, The Munich Agreement, The Magna Carta, The Magna Carta, The others are related to World War I.",,,,,
"Jane Austen","Emily Bronte","J.R.R. Tolkien","George Orwell","George Orwell","The others are known for their works in the genre of romance."
"Red Sea Coral Reef","Great Barrier Reef","Mount Kilimanjaro","Amazon Rainforest","Mount Kilimanjaro","The others are underwater ecosystems."
"Mojave","Thar","Gobi","Sahara","Sahara","The others are in Asia"
"Scarlett Johansson","Jeremy Renner","Mark Ruffalo","Robert Downey Jr.","Robert Downey Jr.","The others are left-handed"
"Hagar the Horrible","Beetle Bailey","The Far Side","Calvin and Hobbes","The Far Side","The others are comic strips centered around a main human character"
"The Birth of Venus, The Last Supper, American Gothic, The Persistence of Memory, The Birth of Venus, The others are Northern Renaissance or High Renaissance works.",,,,,
"Peter Paul Rubens","Anthony van Dyck","Albrecht Durer","Vincent van Gogh","Vincent van Gogh","The others are from the Baroque period"
"Schindler's List","Saving Private Ryan","The Silence of the Lambs","Titanic","The Silence of the Lambs","The others are based on true stories"
"obj_3: Operation Desert Storm",,,,,
"obj_4: Operation Paperclip",,,,,
"odd: Operation Paperclip",,,,,
"reason_for_similarity: The others are military invasions.",,,,,
"Tres Leches Cake","Flan","S'mores","Baguette","S'mores","The others are types of desserts that originated from Spanish-speaking countries."
"Pi","Euler's number (e)","Square root of 2","Golden ratio","Square root of 2","The others are irrational numbers that are also transcendental numbers"
"Mao Zedong","Joseph Stalin","Winston Churchill","Franklin D. Roosevelt","Winston Churchill","The others are Communists."
"Guillotine","Firing Squad","Hanging","Electric Chair","Firing Squad","The others are methods of execution that do not involve electricity."
"Roman Empire","Han Dynasty","Mayan Civilization","Ancient Egypt","Ancient Egypt","The others collapsed due to internal factors"
"obj_3: Hulk",,,,,
"obj_4: Batman",,,,,
"odd: Batman",,,,,
"reason_for_similarity: The others are Marvel characters.",,,,,
"Rogue","Mystique","Batwoman","Spiderman","Batwoman","The others are mutants in the Marvel Universe"
"Mongol Empire","Ottoman Empire","British Empire","Roman Empire","Roman Empire","The others are Asian Empires"
"Rangers","Islanders","Senators","Bruins","Bruins","The others are named after geographical features."
"Little Big Town","Florida Georgia Line","One Direction","The Beatles","The Beatles","The others are country music bands"
"Dew Point","Relative Humidity","Barometric Pressure","Wind Speed","Wind Speed","The others are measures of atmospheric moisture."
"Rachel Green","Ross Geller","Carol Willick","Chandler Bing","Chandler Bing","The others are involved in a romantic relationship with Ross Geller."
"Jennifer Lawrence","Bradley Cooper","Ryan Gosling","Meryl Streep","Meryl Streep","The others are Academy Award nominees who have not won"
"Ancient India","Ancient China","Ancient Greece","Modern India","Modern India","The others are ancient civilizations."
"The Birth of Venus","Primavera","The Starry Night","The Persistence of Memory","The Starry Night","The others are by Botticelli."
"obj_3: Jelly Roll",,,,,
"obj_4: Sorbet",,,,,
"odd: Sorbet",,,,,
"reason_for_similarity: The others are made with cream.",,,,,
"Alpha Centauri","Proxima Centauri","Sirius","Andromeda Galaxy","Andromeda Galaxy","The others are stars"
"Mountain Unicycling","Mountain Biking","Bungee Jumping","Mountain Climbing","Bungee Jumping","The others are mountain sports"
"Trojan War, Persian Wars, Punic Wars, Hundred Years' War, Hundred Years' War, The others are wars involving ancient civilizations.",,,,,
"The Situation Room","Behind the Gare Saint-Lazare","The Tetons and the Snake River","The Last Supper","The Last Supper","The others are photographs taken by famous photographers"
"The Lion Man","The Great Sphinx of Giza","The Persistence of Memory","The Mona Lisa","The Persistence of Memory","The others are sculptures."
"John Nash","Leonid Hurwicz","Albert Schweitzer","Roger Penrose","Albert Schweitzer","The others are Nobel laureates in Economic Sciences"
"Versailles Treaty","Maastricht Treaty","Geneva Convention","Kyoto Protocol","Kyoto Protocol","The others are European treaties"
"Tomato, Eggplant, Oak, Bell Pepper, Oak, The others are nightshades.",,,,,
"obj_3: Flat Note",,,,,
"obj_4: Quarter Rest",,,,,
"odd: Quarter Rest",,,,,
"reason_for_similarity: The others are types of musical notes.",,,,,
"Reign of Terror, Thermidorian Reaction, Brumaire Coup, Napoleonic Code, Napoleonic Code, The others are events related to the French Revolution.",,,,,
"Porto","Lisbon","Rome","Brussels","Brussels","The others are in countries that border the Mediterranean Sea."
"Kendrick Lamar","Kanye West","Tupac","Bob Dylan","Bob Dylan","The others are hip-hop artists"
"Meiji Restoration","Edo Period","Taisho Democracy","Showa Period","Showa Period","The others are periods before 1900s."
"Crusades","Inquisition","Renaissance","Industrial Revolution","Renaissance","The others are religious events"
"obj_3: Roman Legion",,,,,
"obj_4: Ming Dynasty",,,,,
"odd: Ming Dynasty",,,,,
"reason_for_similarity: The others are European military forces",,,,,
"Red Wedding","Purple Wedding","Battle of Bastards","Battle of Blackwater","Battle of Blackwater","The others are massacres resulting in Stark deaths"
"Wynonna Judd","Naomi Judd","Madonna","Ashley Judd","Madonna","The others are Judds"
"Diocletian","Maximian","Tiberius","William the Conqueror","William the Conqueror","The others are Roman Emperors"
"Slumdog Millionaire (2008)","The Hurt Locker (2009)","The Social Network (2010)","Inception (2010)","Inception (2010)","The others are Best Picture Oscar winners"
"Transference","Countertransference","Systematic Desensitization","Cognitive Behavioral Therapy","Cognitive Behavioral Therapy","The others are psychoanalytic techniques."
"Fossilized fern","Fossilized pine cone","Mammoth tusk","Fossilized dinosaur egg","Mammoth tusk","The others are fossilized plants"
"Statue of Liberty, Christ the Redeemer, Sistine Chapel ceiling, The Great Pyramid of Giza, The Great Pyramid of Giza, The others are associated with Christianity.",,,,,
"Ygritte","Tormund Giantsbane","Sandor Clegane","Jon Snow","Sandor Clegane","The others are members of the Free Folk"
"Monk","Friar","Bishop","Merchant","Merchant","The others are religious figures"
"Europe","North America","Australia","Antarctica","Antarctica","The others are inhabited continents"
"Blue Whale","Fin Whale","Blue Shark","Blue Jay","Blue Jay","The others are marine animals"
"The Terracotta Army","The Great Sphinx","Christ the Redeemer","The Statue of Liberty","The Terracotta Army","The others are single, standalone structures"
"Quicksilver","Scarlet Witch","Vision","Iron Man","Iron Man","The others are directly related."
"Boston Tea Party","Stamp Act","Magna Carta","French Revolution","French Revolution","The others are related to British history."
"The Night Watch","The Arnolfini Portrait","Guernica","The Persistence of Memory","The Persistence of Memory","The others are housed in their country of origin"
"Atacama","Mojave","Sonoran","Amazon","Amazon","The others are desert biomes."
"Dua Lipa","Billie Eilish","Post Malone","Taylor Swift","Taylor Swift","The others are Grammy winners for Best New Artist in their debut year"
"Fraction","Decimal","Percentage","Integral","Integral","The others are non-integral number representations"
"Debussy","Ravel","Haydn","Bach","Haydn","The others are French composers"
"Pride and Prejudice","Emma","The Great Gatsby","To Kill a Mockingbird","The Great Gatsby","The others are written by English authors."
"Ottawa","Washington D.C.","Mexico City","Tokyo","Tokyo","The others are in North America."
"Squire","Page","Serf","Knight","Serf","The others are ranks within a feudal system that are directly related to knighthood."
"The Beach Boys","The Monkees","Coldplay","ABBA","ABBA","The others are all-male bands."
"Devils","Rangers","Canadiens","Penguins","Penguins","The others are original six teams in the NHL"
"Rachel Green","Monica Geller","Mike Hannigan","Ross Geller","Mike Hannigan","The others are Geller's."
"obj_3: Sisko",,,,,
"obj_4: Spock",,,,,
"odd: Spock",,,,,
"reason_for_similarity: The others are Star Trek Captains",,,,,
"obj_3: Treaty of Paris",,,,,
"obj_4: Magna Carta",,,,,
"odd: Magna Carta",,,,,
"reason_for_similarity: The others are American historical documents.",,,,,
"Pan frying, Deep frying, Boiling, Baking, Baking, The others involve cooking in liquid.",,,,,
"Rowing","Sailing","Discus Throw","Swimming","Discus Throw","The others are water sports"
"Windblown Jackie","Leap into Freedom","Fairytale For Sale","The Great Escape","The Great Escape","The others are art pieces by Banksy."
"Wind Vane","Anemometer","Barometer","Sundial","Sundial","The others are weather tools."
"Tax Evasion","Tax Avoidance","Tax Relief","Sales Tax","Sales Tax","The others are forms of tax non-payment."
"Cuban Missile Crisis","Bay of Pigs Invasion","Korean War","Vietnam War","Vietnam War","The others are conflicts directly involving the United States and Cuba"
"Paul McCartney","Michael Jackson","Stevie Wonder","Ludwig van Beethoven","Ludwig van Beethoven","The others are Rock and Roll Hall of Fame inductees."
"Carpathian","Great Dividing","Andes","Mississippi","Mississippi","The others are mountain ranges"
"War Bonds","Liberty Bonds","Savings Bonds","James Bond","James Bond","The others are types of financial bonds"
"The Great Sphinx","Christ the Redeemer","The Pieta","The Statue of Liberty","The Pieta","The others are colossal statues that are national symbols."
"Glen Campbell","Jimmy Webb","Justin Bieber","Wolfgang Amadeus Mozart","Justin Bieber","The others are Grammy Lifetime Achievement Award recipients"
"Bastille","Versailles","Tuileries Palace","Eiffel Tower","Eiffel Tower","The others are royal residences"
"SS","Gestapo","MI6","KGB","MI6","The others are part of the Axis Powers"
"Roman Calendar","Julian Calendar","Gregorian Calendar","Mayan Calendar","Mayan Calendar","The others are calendars introduced by Romans"
"Malcolm X","Medgar Evers","Lyndon B. Johnson","Martin Luther King Jr.","Lyndon B. Johnson","The others are civil rights activists who were assassinated."
"Berlin","Munich","London","Sydney","Sydney","The others are in Europe"
"William the Conqueror","Charlemagne","Winston Churchill","Alexander the Great","Winston Churchill","The others are ancient rulers."
"Liberal","Conservative","Nonpartisan","Libertarian","Libertarian","The others are major US political affiliations"
"Fannie Lou Hamer","Ella Baker","Rosa Parks","Marilyn Monroe","Marilyn Monroe","The others are Civil Rights Activists."
"Social Loafing","Groupthink","Classical Conditioning","Operant Conditioning","Operant Conditioning","The others are types of social psychology phenomena."
"The Empire State Building","The Chrysler Building","The Parthenon","The Great Pyramid of Giza","The Great Pyramid of Giza","The others are Art Deco style buildings."
"Indian Ocean","Caribbean Sea","Mount Everest","Nile River","Mount Everest","The others are bodies of water"
"Elsa","Anna","Rapunzel","Merida","Merida","The others are from movies where the main character has magical abilities"
"Blue Sky","Chili P","Ricin","Breaking Bad","Blue Sky","The others are related to Breaking Bad"
"Cactus","Aloe","Maple","Fern","Maple","The others are succulents"
"obj_3: Fight Club",,,,,
"obj_4: The Godfather",,,,,
"odd: The Godfather",,,,,
"reason_for_similarity: The others are directed by Steven Spielberg.",,,,,
"Romulan","Cardassian","Ferengi","Human","Human","The others are Star Trek alien species"
"South America","Africa","Antarctica","Australia","Australia","The others are not surrounded by all of the world's oceans."
"Cuckoo","Dove","Penguin","Bat","Bat","The others are birds."
"Iron Maiden","Judas Priest","The Ramones","Led Zeppelin","The Ramones","The others are British bands"
"Piccadilly","Regent Street","Madison Avenue","Times Square","Times Square","The others are named after streets"
"Ankara","Cairo","Riyadh","Sydney","Sydney","The others are capitals of countries where Arabic is an official language"
"Joey Tribbiani","Janice Litman","Chandler Bing","Ross Geller","Janice Litman","The others are members of the main Friends cast"
"Gravity","Friction","Magnetism","Light","Light","The others are forces."
"LeAnn Rimes","Trisha Yearwood","Lady Gaga","Bruce Springsteen","Bruce Springsteen","The others are female singers."
"Drawbridge","Moat","Throne","Crown","Crown","The others are architectural features."
"Filipino Cuisine, Chinese Cuisine, French Cuisine, Basketball, Basketball, The others are types of cuisines.",,,,,
"Sierra Nevada","Himalayas","Andes","Mount Olympus","Mount Olympus","The others are mountain ranges"
"Handel","Vivaldi","Liszt","Picasso","Picasso","The others are composers"
"Iron","Ruthenium","Cobalt","Helium","Helium","The others are transition metals"
"Bangkok","Kuala Lumpur","Jakarta","Singapore","Singapore","The others are capitals of countries that do not have English as an official language"
"La Brea Avenue","Mulholland Drive","Oxford Street","Pacific Coast Highway","Pacific Coast Highway","The others are not named after geographical features"
"Table Tennis","Tennis","Cycling","Chess","Chess","The others are physical sports"
"Integer","Rational number","Irrational number","Complex number","Complex number","The others are Real numbers"
"Arthur Conan Doyle","Agatha Christie","J.D. Salinger","William Shakespeare","J.D. Salinger","The others are British authors."
"Genghis Khan","Alexander the Great","Nelson Mandela","Albert Einstein","Albert Einstein","The others are famous leaders of nations."
"The Oseberg Ship, The Gokstad Ship, The Dead Sea Scrolls, The Rosetta Stone, The Dead Sea Scrolls, The others are Viking ships.",,,,,
"Gryffindor's Sword, Hufflepuff's Cup, Ravenclaw's Diadem, Slytherin's Locket, Gryffindor's Sword, The others are Horcruxes.",,,,,
"Abraham Lincoln","John F. Kennedy","Winston Churchill","Steve Jobs","Steve Jobs","The others are former heads of state"
"Agnes Skinner","Seymour Skinner","Bart Simpson","Lisa Simpson","Bart Simpson","The others are members of Simpsons family"
"Mount Everest","Mount Kilimanjaro","Sahara Desert","Mount Fuji","Sahara Desert","The others are mountains."
"William H. Taft","Woodrow Wilson","George Washington","Abraham Lincoln","Woodrow Wilson","The others are on Mount Rushmore"
