Henry IV,Henry V,Twelfth Night
Pancreatic Cancer,Liver Cancer,Asthma
Gharial,American Crocodile,Jackson's Chameleon
Singapore,Monaco,Tokyo
Right to health,Right to education,Freedom from slavery
Continental Navy,Royal Navy,French Navy
Broccoli,Cauliflower,Carrot
Leek,Onion,Carrot
Comic Book Guy,Milhouse,Marge
Everglades National Park,Biscayne National Park,Joshua Tree National Park
Alchemy,Theology,Sociology
Dhole,African Wild Dog,Boni Giant Sengi
Costa Rican Tarrazu,Guatemalan Antigua,Brazilian Santos
Pennines,Scottish Highlands,Eastern Ghats
Asparagus,Green Beans,Celery
The Last Supper,The Baptism of Christ,Codex Leicester
Codex Leicester,Codex on the Flight of Birds,The Last Supper
Thomas Edison,J.K. Rowling,Albert Einstein
Cleopatra's Barge,Cleopatra's Needle,Rome
Brussels Sprout,Cabbage,Spinach
Mount Rainier,Mount Fuji,Mount Eiger
The Antwerp Diamond Heist,The Harry Winston Heist,The Great Train Robbery
Charlie Brown,Snoopy,Simba
Principal Skinner,Superintendent Chalmers,Maggie
Homo Sapiens,Homo Denisova,Homo Floresiensis
Yellow-bellied Toad,Oriental Fire-bellied Toad,Smooth Newt
Ant,Termite,Bee
Ethiopian Sidamo,Tanzanian Peaberry,Jamaican Blue Mountain
Altruism,Selflessness,Selfishness
Dragonfly,Cricket,Firefly
Palm Leaves,Crown of Thorns,Gold Crown
Mosquito,Fly,Spider
Churros,Beignets,Trifle
Acadia National Park,Shenandoah National Park,Hawaii Volcanoes National Park
Washing Hands,Washing Feet,Brushing Teeth
Homo Neanderthalensis,Homo Heidelbergensis,Homo Denisova
Pocahontas,Mulan,Belle
Oasis,Wetland,Desert
Atoll,Reef,Island
The Theory of Everything,The Imitation Game,A Beautiful Mind
Tiger,Lion,Dolphin
Ford Model T,Ford Model N,Ford Model A
Troy,Carthage,Shangri-La
Cinnamon Roll,Sticky Bun,Danish
Mars Polar Lander,Phoenix Mars Lander,Luna 9
HIV,Hepatitis C,Hemophilia
Multiple Sclerosis,ALS,Diabetes
Cinderella,Aurora,Elsa
Scone,Biscuit,Pretzel
Kouign-Amann,Danish,Bagel
Cannoli,Eclair,Macaron
Albatross,Petrel,Sparrow
Orzo,Orecchiette,Lasagna
Aristotle's Logic,Aristotelian Metaphysics,Platonic Epistemology
This Is It,Bad 25,Marlon Jackson
Persepolis,Babylon,Athens
Gray Tree Frog,Red-eyed Tree Frog,Red-spotted Newt
Moraine,Drumlin,Esker
Battle of Ypres,Battle of the Somme,Battle of Leipzig
Black or White,Remember the Time,Jermaine Jackson
Lisa Marie Presley,Debbie Rowe,Diana Ross
Mount Elbrus,Mount Fuji,Mount McKinley
Darjeeling Tea,Assam Tea,Rooibos Tea
Bell's birth in Scotland,Bell's death in Canada,Bell's work in the United States
Golden Mean,Virtue Ethics,Platonic Dualism
Stewie Griffin,Brian Griffin,Peter Griffin
Selkirk Rex,LaPerm,Egyptian Mau
Pompey,Crassus,Cicero
Indian Python,Burmese Python,Tuatara
White Snakeroot,Milkweed,Monkshood
Ivy,Bamboo,Tulip
Tundra,Taiga,Rainforest
Congo River,Niger River,Rhine River
Angelfish,Discus,Guppy
Cloves,Allspice,Ginger
Lacrimal,Nasal,Humerus
Chausie,Bengal,Persian
Chisel,Saw,Axe
Castor Bean,Rosary Pea,Jimson Weed
Manx,Cymric,Siamese
Yacht,Catamaran,Canoe
Mollie,Swordtail,Pufferfish
Yellow Warbler,Yellowhammer,Yellow-billed Cuckoo
Ice Cream Maker,Yogurt Maker,Iron
Orca's Migration,Dolphin's Migration,Orca's Stationary Life
Orca's Vocal Communication,Dolphin's Vocal Communication,Orca's Silent Nature
Selma to Montgomery marches,March on Washington,Boston Tea Party
Homo Erectus,Homo Heidelbergensis,Homo Sapiens
Nelson Mandela,Mahatma Gandhi,Adolf Hitler
Peas,Green Beans,Corn
Pro Bono Work,Volunteer Work,Paid Work
Elsa,Anna,Cinderella
Trout,Salmon,Marlin
Thomas Lincoln,Nancy Hanks Lincoln,Abraham Lincoln
Route 66,Pacific Coast Highway,Wall Street
Caesar's Will,Triumvirate,Dictatorship
Spiny-tailed Lizard,Green Iguana,Gaboon Viper
Pudding,Custard,Brownie
Right to social security,Right to an adequate standard of living,Right to freedom of religion
Ice Cream Sundae,Gelato,Macaron
The Peninsular War,The War of the Third Coalition,The Hundred Days
Yogi Bear,Boo-Boo Bear,Taz
American Goldfinch,European Goldfinch,American Eagle
Gin,Whiskey,Apple Cider
Mushroom,Eggplant,Tomato
Battle of Grunwald,Battle of Varna,Battle of Navarino
The Banco Central Heist,The Antwerp Diamond Heist,The Isabella Stewart Gardner Museum Heist
Crossbow,Longbow,Spear
Clownfish,Goldfish,Yellow Perch
Dust,Ashes,Gold
Lincoln's Second Inaugural Address,Lincoln's First Inaugural Address,Lincoln-Douglas debates
Pumpkin,Squash,Cabbage
Brazilian Wandering Spider,Sydney Funnel-web Spider,Wolf Spider
Crepe,Pancake,Donut
Battle of the Granicus,Battle of Chaeronea,Battle of Salamis
Olympic National Park,North Cascades National Park,Dry Tortugas National Park
Siege of Halicarnassus,Siege of Gaza,Siege of Troy
Great Dividing,Tasmanian Highlands,Sierra Nevada
Zeus,Poseidon,Jupiter
Malbec,Pinot Noir,Riesling
Mayor West,Lois Griffin,Peter Griffin
Lupus,Rheumatoid Arthritis,Alzheimer's
Shih Tzu,Lhasa Apso,Dalmatian
Corsica,France,Russia
Simba,Mufasa,Bambi
Lex Luthor,Two-Face,Loki
Ocicat,Bengal,Persian
I Ching,Tao Te Ching,Dhammapada
Macedonia,Persia,Egypt
Mars Observer,Mars Climate Orbiter,Pioneer Venus Orbiter
Mango,Peach,Lime
Bamboo,Grass,Tulip
Parkinson's,Alzheimer's,Asthma
Roman Republic,Roman Empire,Ptolemaic Egypt
Battle of the Persian Gate,Battle of Cyropolis,Battle of Marathon
Marie Curie,Johannes Kepler,Galileo Galilei
Beetroot,Carrot,Radish
Bell Pepper,Jalapeno,Tomato
Boston University,University of Edinburgh,Harvard University
Ford Model A,Ford Model B,Ford Model C
Elmer Fudd,Yosemite Sam,Foghorn Leghorn
The Great Wall,Pyramids,Eiffel Tower
Cystic Fibrosis,Sickle Cell Anemia,Heart Disease
Cheesecake,Pavlova,Brownie
European Fire-bellied Toad,Oriental Fire-bellied Toad,Red Salamander
Buddha,Confucius,Laozi
Blue Jeans,Cowboy Boots,Baseball Cap
Rigatoni,Penne,Linguini
Cliff,Waterfall,Hill
Nineveh,Nimrud,Atlantis
Amazon Horned Frog,African Bullfrog,Alpine Newt
Chimpanzee,Bonobo,Gorilla
Nail gun,Staple gun,Drill
Rice Cooker,Slow Cooker,Fan
Cactus,Aloe Vera,Sunflower
Harbor,Bay,Ocean
Propeller,Rudder,Oars
Balinese,Siamese,Ragdoll
Pufferfish,Boxfish,Betta
The Adoration of the Magi,The Last Supper,Codex Atlanticus
Pikachu,Ash Ketchum,Jerry
Chimpanzee,Bonobo,Human
Seal,Walrus,Elephant
Krusty,Sideshow Bob,Bart
Right to life,Freedom from torture,Right to freedom of assembly
Rottweiler,Doberman,Golden Retriever
Ethiopian Harrar,Yemen Mocha Mattari,Sulawesi Toraja
Pita,Naan,Baguette
Power Loom,Spinning Mule,Open Hearth Furnace
White Pepper,Black Pepper,Cinnamon
Marie Curie,Ernest Rutherford,J.J. Thomson
Munchkin,Napoleon,Persian
American Alligator,Saltwater Crocodile,Bearded Dragon
Kiwi,Passionfruit,Apple
American Curl,Scottish Fold,Siberian
Hong Kong,Vatican City,Shanghai
Chimpanzee,Bonobo,Human
Rooibos Vanilla Tea,Rooibos Chai Tea,White Peach Tea
Mozzarella,Camembert,Parmesan
Democracy,Oligarchy,Republic
Newton's Method,Binomial Theorem,Pythagorean Theorem
Newton–Raphson method,Newton's identities,Euler's identity
Poison Oak,Poison Ivy,Poison Sumac
Siamese Fighter,Betta,Clownfish
Angel's Trumpet,Jimson Weed,Poison Ivy
Homo Sapiens,Homo Neanderthalensis,Homo Heidelbergensis
Northern Hairy-Nosed Wombat,Southern Hairy-Nosed Wombat,Tasmanian Devil
Rocky Mountains,Appalachian,Ural Mountains
Cavatelli,Rotini,Farfalle
Freedom Rides,Montgomery Bus Boycott,Selma March
Cabin Cruiser,Houseboat,Speedboat
Battle of Dien Bien Phu,Battle of Hamburger Hill,Battle of Cannae
Philip II of Macedon,Olympias,Darius III
Poison Dart Frog,Blue Poison Dart Frog,Tree Frog
Baklava,Turkish Delight,Eton Mess
Grape Juice,Pineapple Juice,Tequila
Chimpanzee,Bonobo,Baboon
Ireland,UK,France
Selachophobia,Galeophobia,Ornithophobia
Marie Curie,Stephen Hawking,Carl Sagan
Ergophobia,Ponophobia,Arithmophobia
Common European Adder,Gaboon Viper,Corn Snake
The Little Engine,Tortoise,Hare
The Battle of Austerlitz,The Battle of Eylau,The Battle of Leipzig
Manicotti,Tortellini,Pappardelle
Irish Breakfast Tea,Scottish Breakfast Tea,Yerba Mate Tea
Longsword,Rapier,Battle Axe
Strawberry Smoothie,Banana Smoothie,Lemon Soda
Technophobia,Cyberphobia,Ailurophobia
Giant Hogweed,Manchineel Tree,Belladonna
Roxana,Stateira II,Cleopatra
Passionfruit,Kiwi,Grape
Persian,Himalayan,Bengal
Donating Time,Donating Money,Earning Money
Singapura,Korat,Exotic Shorthair
Macaron,Meringue,Biscotti
Smooth Newt,Palmate Newt,Yellow-bellied Toad
Social Work,Community Service,Corporate Job
Illinois,Kentucky,Washington D.C
Cleopatra's Barge,Cleopatra's Palace,Cleopatra's Emerald
Roquefort,Blue Stilton,Feta
Marcus Aurelius,Seneca,Epictetus
Russian Blue,British Shorthair,Maine Coon
Wool Sweater,Wool Scarf,Denim Jeans
Moss,Grass,Magnolia
Oracle of Delphi,Oracle of Dodona,Oracle of Apollo
Farfalle,Ravioli,Fettuccine
Creme Brulee,Flan,Fudge
Harriet Tubman,Frederick Douglass,Susan B. Anthony
Oak Tree,Willow Tree,Marigold
John F. Kennedy,Barack Obama,George Washington
Fusilli,Penne,Farfalle
Edison's Alkaline Battery,Edison's Electric Pen,The Wright Brothers' Airplane
Pikes Peak,Mount Rushmore,Mount Kailash
Fruit Salad,Apple Crumble,Banana Split
Chili Powder,Paprika,Nutmeg
Mars 1,Mars 2,Pioneer Venus Orbiter
Lincoln's Birthplace,Lincoln's Boyhood Home,Lincoln Bedroom
Bald Eagle,American Flag,White House
Plateau,Plain,Canyon
Yellow Perch,Bluegill,Tuna
Eudemus of Rhodes,Nicomachus,Philip II of Macedon
Porpoise,Dolphin,Bat
Cave,Fjord,Glacier
Newton's Rings,Newton's Cannonball,Einstein's Theory of Relativity
Many-Banded Krait,Banded Sea Krait,King Cobra
Vijayanagara,Hampi,Biringan City
Butterfly,Moth,Dragonfly
Bacon Cheeseburger,Veggie Burger,Fish Tacos
Transantarctic,Ellsworth,Brooks Range
Olympias,Cleopatra Eurydice,Barsine
Vitruvian Man,The Baptism of Christ,The Adoration of the Magi
Beinn Bhreagh Hall,Bell's Volta Laboratory,Edison's Menlo Park
Poison Ivy,Harley Quinn,Black Cat
Artichoke,Broccoli,Cauliflower
The Battle of Wagram,The Battle of Friedland,The Battle of Trafalgar
Himalayan,Burmese,Tonkinese
Termite,Cockroach,Grasshopper
Joker,Penguin,Doctor Strange
Lincoln's Proclamation of Amnesty and Reconstruction,Lincoln's Ten percent plan,Lincoln's Thanksgiving Proclamation
Guinness,Budweiser,Gatorade
Humble Pie,Crown,Loaf of Bread
Uncle Sam,Liberty Bell,Times Square
Apple,Moon,Orange
Wolf,Fox,Dolphin
Corn Snake,Milk Snake,Tokay Gecko
Cruella De Vil,Jasper,Ursula
Peacock,Owl,Emu
Washing Dishes,Cleaning Floors,Painting Walls
Parrot,Pigeon,Falcon
Marshal Ney,Marshal Davout,Tsar Alexander I
Tanzanian Peaberry,Kenyan AA,Sulawesi Toraja
Nevada,Utah,Illinois
Alpine Newt,Palmate Newt,African Clawed Frog
Sacrum,Coccyx,Clavicle
Indian Monsooned Malabar,Sumatra Lintong,Kenyan AA
Swiss Chard,Spinach,Potato
Fundraiser,Crowdfunding,Stock Market
The Annunciation,The Adoration of the Magi,Codex on the Flight of Birds
Nebbiolo,Malbec,Pinot Gris
Battle of Guadalcanal,Battle of Coral Sea,Battle of Austerlitz
NFL,NBA,MLB
Feta,Halloumi,Camembert
Nearchus,Craterus,Julius Caesar
Visible Speech,Telephone,Photophone
Mount Baker,Mount Rainier,Mount Kailash
Fern,Moss,Rose
Ulna,Radius,Pelvis
Mars 2,Mars 5,Voyager 2
Georgia,South Dakota,North Dakota
NAACP,SNCC,ACLU
Tempranillo,Grenache,Chardonnay
Humanitarian Aid,Disaster Relief,Vacation
Edison's Phonograph,Edison's Dictating Machine,Apple's iPhone
Cleopatra's Pearl,Cleopatra's Emerald,Battle of Actium
The Continental System,The Concordat of 1801,The Confederation of the Rhine
Newton's laws of motion,Newton's law of cooling,Joule's law
Badland,Plateau,Butte
Boxfish,Pufferfish,Neon Tetra
Trout,Salmon,Swordfish
English Yew,Pacific Yew,Oleander
Aristotelianism,Peripatetic School,Platonism
Pinot Noir,Zinfandel,Sauvignon Blanc
Telephone,Telegraph,Internal Combustion Engine
Chicken Salad,Caesar Salad,Chicken Wrap
Harley Davidson,Chevrolet,Ford
Homo Sapiens,Homo Denisova,Homo Erectus
Zion National Park,Bryce Canyon National Park,Great Smoky Mountains National Park
Havarti,Monterey Jack,Gorgonzola
Sauvignon Blanc,Chardonnay,Syrah
Machu Picchu,Angkor Wat,The Lost City of Z
Mallian Campaign,Indian Campaign,Sicilian Campaign
Affirmative Action,Equal Pay Act,Patriot Act
Right to education,Right to health,Freedom of religion
Brazilian Santos,Hawaiian Kona,Yemen Mocha Mattari
Okra,Green Beans,Asparagus
Lettuce,Cabbage,Cucumber
The Isabella Stewart Gardner Museum Heist,The Boston Museum Heist,The Banco Central Heist
