Roman Law,Twelve Tables,Code of Hammurabi
Winter Soldier,Falcon,Black Panther
Pride and Prejudice,Emma,The Great Gatsby
Ottawa,Washington D.C,Mexico City
Squire,Page,Serf
The Beach Boys,The Monkees,Coldplay
Fresco,Oil Painting,Watercolor
Devils,Rangers,Canadiens
Rachel Green,Monica Geller,Mike Hannigan
Riker,Picard,Sisko
Feudalism,Absolute Monarchy,Constitutional Monarchy
Thermodynamics,Quantum Physics,Optics
Declaration of Independence,Constitution of the U.S.,Treaty of Paris
Pan frying,Deep frying,Boiling
Rowing,Sailing,Discus Throw
Fossilized leaf,Fossilized tree bark,Fossilized dinosaur bone
Windblown Jackie,Leap into Freedom,Fairytale For Sale
Wind Vane,Anemometer,Barometer
Tax Evasion,Tax Avoidance,Tax Relief
Crusades,Viking Raids,Renaissance
Cuban Missile Crisis,Bay of Pigs Invasion,Korean War
Paul McCartney,Michael Jackson,Stevie Wonder
Carpathian,Great Dividing,Andes
War Bonds,Liberty Bonds,Savings Bonds
The Great Sphinx,Christ the Redeemer,The Pieta
Tasha Yar,Geordi La Forge,Uhura
Glen Campbell,Jimmy Webb,Justin Bieber
Electoral College,Popular Vote,Referendum
The Colosseum,The Leaning Tower of Pisa,The Sydney Opera House
Bastille,Versailles,Tuileries Palace
SS,Gestapo,MI6
Roman Calendar,Julian Calendar,Gregorian Calendar
Malcolm X,Medgar Evers,Lyndon B. Johnson
Wrestling,Boxing,Triathlon
Berlin,Munich,London
Cave Diving,Scuba Diving,Snowkiting
William the Conqueror,Charlemagne,Winston Churchill
Liberal,Conservative,Nonpartisan
Leonardo da Vinci,Galileo Galilei,Johannes Gutenberg
Fannie Lou Hamer,Ella Baker,Marilyn Monroe
Social Loafing,Groupthink,Classical Conditioning
Bamboo Rat,Bat Soup,Crocodile Meat
The Empire State Building,The Chrysler Building,The Parthenon
Indian Ocean,Caribbean Sea,Mount Everest
Elsa,Anna,Rapunzel
Flanders Fields,Marne River,Pearl Harbor
Blue Sky,Chili P,Ricin
Cactus,Aloe,Maple
Jurassic Park,E.T.,Fight Club
Romulan,Cardassian,Ferengi
Sacrifice Fly,Sacrifice Bunt,Baseball Helmet
South America,Africa,Antarctica
Cuckoo,Dove,Penguin
Grilling,Broiling,Simmering
Iron Maiden,Judas Priest,The Ramones
Avalanche,Flames,Islanders
Piccadilly,Regent Street,Madison Avenue
Borg,Klingon,Vulcan
Ankara,Cairo,Riyadh
Eucalyptus,Acacia,Pine
Joey Tribbiani,Janice Litman,Chandler Bing
Gravity,Friction,Magnetism
Mojave,Atacama,Sonoran
Snake Wine,Scorpion Wine,Mezcal
Krusty the Clown,Sideshow Bob,Itchy
LeAnn Rimes,Trisha Yearwood,Lady Gaga
Drawbridge,Moat,Throne
Filipino Cuisine,Chinese Cuisine,French Cuisine
Sierra Nevada,Himalayas,Andes
Handel,Vivaldi,Liszt
Iron,Ruthenium,Cobalt
Bangkok,Kuala Lumpur,Jakarta
La Brea Avenue,Mulholland Drive,Oxford Street
Creme Brulee,Flan,Donuts
Elton John,Billy Joel,Foo Fighters
Table Tennis,Tennis,Cycling
Integer,Rational number,Irrational number
Arthur Conan Doyle,Agatha Christie,J.D. Salinger
Genghis Khan,Alexander the Great,Nelson Mandela
The Oseberg Ship,The Gokstad Ship,The Dead Sea Scrolls
Gryffindor's Sword,Hufflepuff's Cup,Ravenclaw's Diadem
Deadpool,Daredevil,Wolverine
Abraham Lincoln,John F. Kennedy,Winston Churchill
Agnes Skinner,Seymour Skinner,Bart Simpson
Mount Everest,Mount Kilimanjaro,Sahara Desert
William H. Taft,Woodrow Wilson,George Washington
Ibiza,Mallorca,Cyprus
Mona Lisa,Guernica,The Scream
Wonder Woman,Black Widow,Aquaman
Amazon Rainforest,Daintree Rainforest,Dead Sea
Modern Family,The Big Bang Theory,Breaking Bad
Saqqara,Giza,Maat
South African Cuisine,Ethiopian Cuisine,Italian Cuisine
Che Guevara,Fidel Castro,William the Conqueror
The School of Athens,The Transfiguration,The Persistence of Memory
Scarab,Ankh,Book of the Dead
Hertz,Pascal,Joule
Obi-Wan Kenobi,Qui-Gon Jinn,Princess Leia
Falconry,Hunting,Farming
Batting Cage,Pitching Mound,Baseball Glove
The Norwood Builder,The Solitary Cyclist,The Second Stain
Isis,Hathor,Amarna
Fiscal Policy,Monetary Policy,Trade Policy
Sewing Machine,Power Loom,Steam Hammer
Parkour,Free Running,Canyoning
The Little Mermaid,The Motherland Calls,The Statue of Liberty
The Entombment,The Coronation of the Virgin,The Scream
Groot,Rocket Raccoon,Iron Man
Madrid,Barcelona,Tokyo
Gucci Mane,21 Savage,Lil Jon
The Discobolus,Winged Victory of Samothrace,The Motherland Calls
Family Circus,Peanuts,Dennis the Menace
Denver Broncos,Indianapolis Colts,Seattle Seahawks
Roald Dahl,Dr. Seuss,Fyodor Dostoevsky
Scipio Africanus,Gaius Marius,Alexander the Great
Sahara Desert,Kalahari Desert,Mojave Desert
Nelson Muntz,Kearney,Otto Mann
Harper's Ferry,Andersonville,Alcatraz
The Byrds,Buffalo Springfield,Arctic Monkeys
Sicily,Sardinia,Hawaii
P-51 Mustang,Messerschmitt Bf 109,Yamato
Gymnastics Chalk,Gymnastics Grips,Gymnastics Ring
Wonder Woman,Aquaman,Harley Quinn
Tennis Court Oath,Storming of the Bastille,Reign of Terror
USS Arizona,USS Missouri,RMS Titanic
Game of Thrones,The Walking Dead,The Office
Constitution of 1791,Constitution of 1793,Constitution of 1795
The Petronas Towers,The Marina Bay Sands,The Amazon Rainforest
Black Lightning,Thor,Green Arrow
Manila,Cebu,Paris
Metacarpals,Metatarsals,Carpals
Guild,Confraternity,Market
Stanford Prison Experiment,Milgram's Obedience Experiment,Rorschach Test
The Scream,The Starry Night,The Night Watch
Theoden,Denethor,Eru Iluvatar
Brownie,Chocolate Chip Cookie,Lemon Cookie
Persian Empire,Ottoman Empire,Inca Empire
Maasai people,Zulu people,Inuit people
Clara Barton,Dorothea Dix,Florence Nightingale
Chromium,Molybdenum,Manganese
Klingon Bat'leth,Romulan Disruptor,Phaser
Grand Slam,Walk-off Home Run,Baseball Bat
Istanbul,Ankara,Paris
The Mona Lisa,The Starry Night,The Thinker
Firestorm,Blue Beetle,Doomsday
Great Zimbabwe,Pyramids of Giza,Stonehenge
Ancient Mesopotamia,Indus Valley Civilization,Ancient Japan
Dale's RV,Rick's Police Car,Daryl's Motorcycle
Red pill,Blue pill,Green pill
Joey Badass,Earl Sweatshirt,Flo Rida
The Trainman,The Merovingian,Seraph
John Logie Baird,Philo Farnsworth,Eli Whitney
Operation Sea Lion,Operation Downfall,Operation Paperclip
Ancient India,Ancient China,Ancient Rome
Compsognathus,Velociraptor,Woolly mammoth hair
Nazi Party,Fascist Party,Labour Party
Abraham Ford,Eugene Porter,Carol Peletier
Sahara,Gobi,Namib
The Birth of Venus,Primavera,The Scream
Oakland Raiders,Los Angeles Chargers,Tampa Bay Buccaneers
Magpie,Crow,Flamingo
Rabbit,Mouse,Spider
Louis XVIII,Charles X,Louis Philippe I
S'mores,Apple Pie,Cheesecake
Dunkirk Evacuation,Operation Dynamo,Berlin Wall
The Prince,The Decameron,Utopia
Tariff,Quota,Subsidy
Ulysses S. Grant,Robert E. Lee,Napoleon Bonaparte
Pacific Ocean,Southern Ocean,Baltic Sea
Oslo,Stockholm,London
Cuy (Guinea Pig),Kangaroo Meat,Foie Gras
Asia,Europe,Antarctica
The Liberty Bell,The Statue of Liberty,The Eiffel Tower
Max Planck,Albert Einstein,Charles Darwin
Victorian Era,Edwardian Era,Meiji Restoration
Baking,Roasting,Steaming
Ant-Man,Wasp,Nightwing
Haden Mango,Tommy Atkins Mango,Green Apple
Supernova,Nova,Pulsar
Gymnastic Ball,Gymnastic Hoop,Gymnastic Vault
Red Delicious Apple,McIntosh Apple,Red Grapes
Dothraki,Unsullied,Night's Watch
Thomas Keller,Grant Achatz,Nigella Lawson
Slate,Phyllite,Granite
The Broken Column,The Scream,Marilyn Monroe
Schubert,Beethoven,Bach
Africa,South America,Asia
Dvorak,Brahms,Handel
Black Hole,White Dwarf,Red Giant
The Statue of David,The Venus of Milo,The Terracotta Army
Moai Statues of Easter Island,The Great Sphinx of Giza,The Terracotta Army
Dian Fossey,Jane Goodall,Rosalind Franklin
Los Angeles Rams,San Francisco 49ers,Chicago Bears
Black Widow Spider,Brown Recluse Spider,Brown Bear
The Oracle,The Architect,The Merovingian
Terracotta Army,Great Wall,Pyramids of Giza
Olduvai Handaxe,Clovis Points,The Cyrus Cylinder
Phoebe Buffay,Mike Hannigan,Ross Geller
Angular,React,Django
Hurricane,Typhoon,Thunderstorm
The Medici Bank,The Fugger Bank,The Bank of England
Berber languages,Bantu languages,Romance languages
Drake,Lil Wayne,Ariana Grande
Pompeii,Herculaneum,Atlantis
The Tricolor,La Marseillaise,God Save the Queen
Lobbying,Campaigning,Fundraising
Kung Fu,Capoeira,Judo
Delhi,Mumbai,Bangkok
Fastball,Curveball,Baseball Glove
U-2 Incident,Cuban Missile Crisis,Prague Spring
Madonna of the Meadow,The Annunciation,The Starry Night
Siege of Vicksburg,Siege of Petersburg,Siege of Troy
Gala Apple,Fuji Apple,Yellow Pear
Mysterio,Vulture,Green Goblin
Fusion,Fission,Combustion
Tuco Salamanca,Krazy-8,Gustavo Fring
Roman calendar,Julian calendar,Mayan calendar
Pancreas,Gallbladder,Liver
Toucan,Hornbill,Osprey
The Notre-Dame Cathedral,The St. Peter's Basilica,The Great Wall of China
Ultron,Thanos,Loki
The Intolerable Acts,The Townshend Acts,The Napoleonic Code
Nature vs Nurture,Twin Studies,Cognitive Therapy
The School of Athens,The Transfiguration,Guernica
Arctic Ocean,Coral Sea,Pacific Ocean
Garth Brooks,Shania Twain,Britney Spears
Butterfly,Moth,Bee
Perfect Pitch,Relative Pitch,Tone Deafness
Alessandro Volta,Andre-Marie Ampere,Johannes Gutenberg
The Shard,The Gherkin,The Acropolis
Gymnastic Pommel Horse,Gymnastic Parallel Bars,Gymnastic Shoes
Washington Redskins,Kansas City Chiefs,New York Giants
Tom Cruise,Dustin Hoffman,Robert Redford
Jabba the Hutt,Yoda,Salacious Crumb
Zinfandel (California),Pinot Noir (California),Pinot Noir (Oregon)
Hugh Jackman,Patrick Stewart,Ian McKellen
Moby Dick,The Old Man and the Sea,The Scarlet Letter
Baltimore Ravens,Indianapolis Colts,Chicago Bears
Tonic,Dominant,Subdominant
LA Clippers,Brooklyn Nets,Boston Celtics
Cerebrum,Cerebellum,Medulla Oblongata
The White Stripes,The Black Keys,The Rolling Stones
Sonnet,Madrigal,Novel
Italian Renaissance,Northern Renaissance,Industrial Revolution
Castle,Palace,Hut
The Colosseum,The Parthenon,The Leaning Tower of Pisa
Tuff,Scoria,Lignite
Renaissance,Enlightenment,Protestant Reformation
Via Appia,Via Augusta,Silk Road
William Howard Taft,Herbert Hoover,George W. Bush
Great Britain,Ireland,Madagascar
The Arnolfini Portrait,The Night Watch,The Persistence of Memory
American Gothic,The Birth of Venus,The Starry Night
T-34,Sherman,B-17 Flying Fortress
Reformation,Counter-Reformation,Enlightenment
Steam Hammer,Open Hearth Furnace,Spinning Jenny
The Engineer's Thumb,The Stock-Broker's Clerk,The Disappearance of Lady Frances Carfax
Falcon,Hawk,Parrot
Venus Flytrap,Sundew,Oak
The New York Draft Riots,The Chicago Fire,The Boston Tea Party
Bruins,Blackhawks,Red Wings
Chester A. Arthur,Grover Cleveland,John F. Kennedy
The Birth of Venus,The Girl with a Pearl Earring,The Starry Night
Atlanta Hawks,New Orleans Pelicans,LA Lakers
The Venus de Milo,The Venus of Willendorf,The Motherland Calls
Asia,Antarctica,South America
Niels Bohr,Werner Heisenberg,Albert Einstein
Mint,Basil,Oak
Sacramento Kings,Phoenix Suns,Boston Celtics
Conglomerate,Breccia,Andesite
Gymnastic Springboard,Gymnastic Trampoline,Gymnastic Leotard
Paul L. Modrich,Aziz Sancar,Winston Churchill
Peacock,Turkey,Hummingbird
Smoothie,Milkshake,Soda
Tulip Tree,Magnolia,Cedar
Uncle Jack,Todd Alquist,Lydia Rodarte-Quayle
The Annunciation,The Adoration of the Magi,The Girl with a Pearl Earring
Mackinac Bridge,George Washington Bridge,Chengyang Bridge
Death of a Loyalist Soldier,Raising the Flag on Iwo Jima,Pale Blue Dot
Calvin and Hobbes,Dennis the Menace,Marmaduke
Machine Gun Kelly,G-Eazy,Lil Yachty
Richard Dawkins,Charles Darwin,Gregor Mendel
Gryffindor,Hufflepuff,Slytherin
Monica Geller,Chandler Bing,Gunther
Telegraph,Telephone,Steam Locomotive
Neo,Trinity,Morpheus
Comice Pear,Seckel Pear,Red Raspberry
The Space Needle,The CN Tower,The Notre-Dame Cathedral
Cannoli,Tiramisu,Profiteroles
Alexander the Great,Pericles,Julius Caesar
Halo Effect,Stereotyping,Operant Conditioning
George Eastman,Edwin Land,James Watt
Warsaw Pact,Iron Curtain,Bay of Pigs Invasion
Fern,Moss,Pine
Roman Republic,Roman Empire,British Empire
Space Race,Arms Race,Korean War
Sauvignon Blanc (New Zealand),Pinot Noir (New Zealand),Sauvignon Blanc (Chile)
The Bastille,Versailles,Louvre
Tim McGraw,Faith Hill,Adele
Alexander Fleming,Louis Pasteur,Carl Sagan
Samuel Morse,Guglielmo Marconi,George Eastman
Expressionism,Fauvism,Scientific Revolution
Spinning Jenny,Cotton Gin,Steamboat
Harlem Renaissance,Jazz Age,Industrial Revolution
Adolf Hitler,Benito Mussolini,Winston Churchill
Cotton Gin,Power Loom,Bessemer Process
Latin,Italian,French
The Last Judgement,The Creation of Adam,The Persistence of Memory
Free Diving,Scuba Diving,Wingsuit Flying
Wing Chun,Kung Fu,Jiu Jitsu
Tandoori Chicken,Chicken Tikka Masala,Chicken Parmesan
Escargot,Foie Gras,Caviar
Roasting,Grilling,Steaming
Biceps Brachii,Triceps Brachii,Gluteus Maximus
Stewing,Braising,Grilling
Boiling,Simmering,Searing
Checkpoint Charlie,Berlin Airlift,Cuban Missile Crisis
Red Baron,Eddie Rickenbacker,Amelia Earhart
Diego Velazquez,Francisco Goya,Jean-Michel Basquiat
Deep frying,Pan frying,Steaming
Ginza,Bahnhofstrasse,La Rambla
Africa,South America,Australia
Kendo,Iaido,Boxing
Telegraph,Telephone,Steam Locomotive
Hubble Telescope,James Webb Telescope,Mars Rover
The Little Mermaid,The Statue of Liberty,The Discobolus
Future,Migos,OutKast
Chinese Cuisine,Japanese Cuisine,Greek Cuisine
The Berlin Wall,Auschwitz Concentration Camp,The Great Buddha of Kamakura
Gymnastic Parallel Bars,Gymnastic Pommel Horse,Gymnastic Ball
Broiling,Grilling,Steaming
Rocky Mountain Oysters,Sweetbreads,Escamoles
Stranger Things,The Crown,The Simpsons
Coyotes,Panthers,Lightning
Pittsburgh Steelers,Cleveland Browns,Detroit Lions
Patagonian,Kalahari,Gobi
Mark Twain,Charles Dickens,Stephen King
Pink Panther,Inspector Clouseau,Woody Woodpecker
Clove,Allspice,Mint
Little Rock Nine,Greensboro Sit-ins,Berlin Wall
Europe,Asia,South America
Andes,Sierra Nevada,Appalachian
Codex,Manuscript,Sword
Vince Gill,Marty Stuart,Justin Bieber
Lemonade,Iced Tea,Hot Chocolate
Thanos,Loki,Doctor Doom
Will Smith,Tommy Lee Jones,Morgan Freeman
Namib,Thar,Sonoran
Highlining,Tightrope Walking,Skiing
Artistic Gymnastics,Rhythmic Gymnastics,Shot Put
Cobalt,Rhodium,Nickel
Gymnastic Handguards,Gymnastic Wristbands,Gymnastic Ball
Pacific Ocean,Arctic Ocean,Aegean Sea
Louis XIV,Henry VIII,Thomas Jefferson
Jousting,Sword Fighting,Farming
Apple,Pear,Banana
African Wild Dog,Dingo,African Elephant
Mississippi River,Yangtze River,Andes
Flyers,Penguins,Sharks
Joseph Stalin,Nikita Khrushchev,John F. Kennedy
Sean Penn,Denzel Washington,Russell Crowe
Nigella Lawson,Mary Berry,Thomas Keller
Union,Confederacy,British Empire
Masaharu Morimoto,Nobu Matsuhisa,Daniel Boulud
Indian Cuisine,Moroccan Cuisine,Italian Cuisine
Chicago Bulls,Detroit Pistons,Miami Heat
Hippocrates,Galen,Avicenna
Charlize Theron,Tom Hardy,Chris Pine
The Arnolfini Portrait,The Girl with a Pearl Earring,The Birth of Venus
Light wave,Sound wave,Water wave
Staccato,Legato,Pizzicato
The Wolves,The Whisperers,The Kingdom
Ears,Eyes,Nose
The Iron Bridge,The Humber Bridge,The Confederation Bridge
Punk Rock,New Wave,Civil Rights Movement
Russia,Canada,Ganges River
